#node1	node2
Q6P2Q9	Q9Y333
P31751	P46527
O14497	P51532
P19793	Q9Y6Q9
Q8WUW1	Q9Y3A3
Q99816	Q9H270
O00463	Q93009
O75365	Q9UI26
P62826	Q00005
P04637	Q15172
O95467	P50150
P51685	Q16663
P55957	Q16611
P49736	Q9BXI2
O75489	P28331
Q99459	Q9UHD8
Q13616	Q9UNS2
Q13310	Q9UBN6
P19022	P29350
P04141	Q01196
P28749	Q08999
P51946	Q13888
P25024	P51671
Q13315	Q9BQ15
P15018	P48551
406906	Q9Y243
O60828	P61006
P09455	P98164
P16885	P43405
P47992	P51679
P32121	Q9UGF6
O00329	P36888
P35228	Q15717
P22681	P23458
P01024	P08174
P22626	Q13242
P26038	P34741
A0MZ66	Q96KG7
P52789	Q969H0
407021	Q04206
P12814	P62736
Q13315	Q9NQ88
P15248	Q13651
O15118	Q9H1C4
P08887	P41159
O60729	Q9UJX4
O00574	P35626
P35626	Q8WZ92
406886	Q9H9Z2
P30291	P61981
P12544	Q01105
O60880	P60953
O15530	Q16827
Q9HB71	Q9Y478
O95167	O95182
P22694	Q8NFM4
O14508	Q01113
P05771	P61981
P35222	P49841
P63165	Q02078
P01243	Q13347
P22061	P23508
P09234	Q9BWF3
P27695	Q01105
Q15370	Q92830
P38405	Q8NGQ3
P02458	Q9UKX5
O94817	Q9BYX4
P84098	Q92901
Q03135	Q12933
Q93033	Q96QV1
O95347	P30457
P02511	Q07817
Q9Y243	Q9Y2T4
P17612	Q05397
P32321	Q8TBB1
P18846	Q6UUV9
Q8WYL5	Q9Y281
Q13617	Q9UK73
Q15111	Q16445
O94762	P49959
O00329	Q13733
Q8NEM7	Q96BN2
P27361	P43405
O15379	Q9P0M6
P51681	Q9Y258
P01106	Q8N883
O43570	P36542
O00329	Q6ZUJ8
Q14839	Q8WXI9
P45983	P84095
P67775	P78371
Q13315	Q8N3X1
P09693	P42338
P52306	Q9NS73
O94953	Q9BTT4
P41182	Q9NRA8
P52294	Q13255
P18084	Q92752
P12814	Q5TCQ9
P01889	P15170
P51693	Q93074
Q01668	Q13237
P00338	Q16665
P46108	P46109
P07900	Q00597
O14576	O43809
Q96B26	Q9HCG8
Q13315	Q8N573
O43353	Q8N5C8
P11388	P68400
P02679	P04196
Q13426	Q9H9Q4
P11362	P49763
P19793	P55345
