#node1	node2
P02795	Q15139
O95467	P47712
A1X283	P48023
P55055	Q15596
Q08211	Q15287
O43306	Q9UK08
P16144	P55268
P84022	Q13547
P00742	Q9Y478
P13569	Q14254
O15111	P14921
Q13535	Q92733
O95471	Q96AP7
Q9H4L4	Q9NXF1
P49286	P50148
Q13547	Q14938
283120	O75461
P17301	P26012
P01889	P51572
O00329	Q13094
Q71F23	Q9BVA1
P17081	Q9NQU5
P18848	Q9UK32
Q8N264	Q96L33
P01106	P50749
Q9H7L9	Q9HCU9
P17301	P21815
P16118	P54646
Q15654	Q8NC51
Q7L5N1	Q9HC29
P22492	P63104
P15018	Q01344
O14576	Q9BUF5
O00238	Q13145
P12004	Q9UET6
Q02878	Q99558
Q3ZCM7	Q96NA2
O14782	Q99459
Q7Z6G3	Q8TBB1
P62140	Q01668
Q6P0Q8	Q9NRP7
Q5BIV9	Q9NWF9
P45983	P63096
O00483	Q9P0J0
Q13362	Q7Z3S7
O75438	P17568
O43915	P06213
O94874	Q9Y5J5
Q9UKE5	Q9Y3D3
P62330	Q13263
Q8TBN0	Q96QF0
Q99570	Q99828
P25398	P60709
P01106	Q9H8V3
P04637	Q68CP9
P13569	Q5T2W1
O43353	P63261
P41236	Q9Y243
P05771	Q9UNY4
Q9NRL3	Q9Y4P8
O14576	P09467
P52735	P61224
Q6ZSY5	Q9NZT1
P30050	P32969
P06756	Q07889
O60840	P51817
O15287	Q00597
P05067	P50148
P61968	Q16531
Q13535	Q9BWW4
P13942	P16144
Q8IX12	Q969Q1
O95994	Q02817
O95267	Q3MJ16
P11142	P49407
O00567	Q9UL18
P03372	P29353
P20963	P51692
P06241	P42167
Q8NFZ4	Q9ULB1
P35626	Q8NGT9
Q13315	Q969J2
P36896	Q13705
P18505	Q9NQX3
P63098	Q12834
P56750	P56856
P26358	Q9UBC3
P08238	Q13233
P38405	Q8NGC9
P51571	Q9UKV8
Q96CG3	Q9H190
P17676	P33076
Q03164	Q93034
P51970	Q9Y6M9
P16220	Q13618
P00973	Q05823
P49356	Q12974
P05556	Q13797
Q14839	Q92769
O60282	O95295
P41212	P63279
Q8TEP8	Q969T4
P10914	Q8IZ69
O14727	Q9Y2G2
O75385	Q14457
P07900	P67870
P61158	P61160
P84022	Q7Z3T8
O96015	Q5TD97
Q15831	Q96A54
P17181	Q9NPF7
P01112	P08754
P13994	Q05516
P40429	P62750
P32121	Q8NG77
O75365	P08195
P08581	P62993
Q16363	Q9UKX5
O95471	P56748
P62993	Q14624
P85299	Q01804
Q13153	Q9HAV0
P56524	Q13557
P35268	Q13573
P01889	P49773
P52948	Q9UKK6
P06733	P16871
P51668	Q9BPX7
P52333	Q99570
O00217	O96000
Q03113	Q15283
P00519	Q9UJT2
P01375	P19838
O15455	O43187
P01266	Q06710
P08134	Q13009
P12643	P27037
Q9BTT4	Q9UM73
O60674	P05015
O95373	P01106
P22607	P42566
P42224	Q8WXH5
P02511	Q9Y6K9
P20333	Q9BVA1
Q9C035	Q9Y2X8
P52333	Q9ULV8
Q8IY92	Q96EE3
Q99558	Q9BQG0
P23443	P62753
P01243	Q9UKK9
P16284	P35222
P56856	Q8N6F1
Q00005	Q14533
O43261	Q9GZT6
9757	O95433
P01569	P26951
P61927	Q92901
P18124	P46779
P17252	Q9NYF0
Q6DRA6	Q9Y5B9
O95238	P10275
P17693	Q14954
O43752	Q9HD26
Q99963	Q9BXR0
O43150	Q15811
Q00005	Q5VY09
P14672	P61106
O96019	Q9Y5K5
P27361	Q9ULV5
P01106	Q92854
O15145	Q92747
Q8NFH8	Q9UL33
P05556	Q01955
Q86YR7	Q96KG7
P18146	Q8WXS3
O60840	P61952
P62308	Q7L5N1
P49715	P49716
Q5JQF8	Q96DH6
O15533	Q03518
Q9Y5P8	Q9Y698
Q9BQ83	Q9Y4P1
P09471	P47898
P14678	P62304
Q24JP5	Q96PP8
P05107	P13598
Q14315	Q9HAU4
P54646	Q9Y478
P21802	P52803
Q6DRA6	Q9P0U4
O15530	Q9H307
O15239	Q9UI09
P62330	Q86Y56
Q8N1F7	Q9BUV8
Q4U2R8	Q92624
O00329	P10721
P49716	Q8WZA9
P62993	Q96CW1
P15880	P62241
P15941	P43403
O95696	P33993
O95168	Q9P0J0
O00329	P01111
P26368	Q01130
Q15233	Q99459
Q16827	Q99961
O75351	Q9NZZ3
O43707	Q07157
P20674	Q96BK5
Q96B02	Q96PU4
P48643	Q00005
P26006	P29400
O60229	Q5VTD9
P31749	Q15181
P16520	Q8TCU6
O95376	Q9BVJ6
P28482	P84095
P0CG48	Q15628
P04156	P67870
P17844	Q92597
O60244	P28702
O95400	Q8IUR6
P48426	Q13464
O00238	O15105
O43889	Q9NS37
P33176	P42263
O95568	O96024
P03372	P29350
P08670	P16220
O00327	P49840
P29466	Q09472
O14744	P04908
Q6UVK1	Q9H832
P03891	P56556
P07766	P42336
P02647	Q9BQN1
P04637	Q969H0
P24385	Q14188
P11387	Q9NR30
P62314	P62318
O15151	P10415
P16104	P62875
O00329	P30273
O94979	Q15437
Q86UT6	Q9H2V7
P23508	Q9Y3B4
P04637	Q05397
Q15102	Q7L5N1
O43586	Q9BVP2
Q8WYR1	Q9HAV0
P52756	Q13242
Q92830	Q96BN2
O43809	Q12996
P42702	Q06124
O00574	P08754
P18146	Q15329
Q9BZI7	Q9H1B4
574457	Q9UBE8
Q13315	Q9UBB6
P19235	Q92835
P16871	Q71U36
P54253	Q2M1K9
P06213	P52803
Q04864	Q8WV28
Q16637	Q9UPQ3
P37231	P48552
O75525	P61978
O14653	O75396
O43395	Q15834
P51532	Q96GM5
O15379	O60675
A8TX70	P08648
P30480	P69905
P32121	Q8NGB6
P14317	Q9UQ16
P31749	P56278
P05114	P16403
P02671	Q96RG2
P13807	P54646
P36578	P61353
O75367	Q969S8
P21580	Q15025
P62899	P62906
P25101	Q9UBU3
P01106	P42771
Q13084	Q13509
P06753	P45379
P20042	Q14194
P19793	Q86YW9
P15927	Q9BVJ6
P19838	P52926
Q09472	Q9H3D4
Q9BQD3	Q9NYH9
O60493	P00519
Q71UI9	Q9BY41
P63165	Q13472
P38398	P42224
P30530	P62993
P10586	P29353
P10767	P17948
P49736	Q9UBD5
Q7Z5K2	Q9UQE7
P04179	P04745
O95251	P33992
O00422	Q92769
Q9BRT9	Q9BRX5
P17947	P21757
P35900	Q15834
Q9H7L9	Q9UK53
Q13133	Q15788
406890	P52926
P01241	P26951
Q9UQC2	Q9Y4K3
P53350	Q13885
P51532	Q16548
P18621	P61353
O43809	P30504
O60739	P60900
A4D0S4	P08514
O95067	P23511
P09603	P22607
P30153	Q00005
Q9NZH5	Q9UM13
Q5VTD9	Q7Z406
Q9H9G7	Q9UH99
P04222	Q15365
P18084	P29400
P04899	P17612
O75439	P27448
P50542	Q9NTG7
O43683	O43684
P48051	Q9P2W3
P20273	Q92835
P35626	P47888
O95831	P08107
O95059	P78346
P24522	Q68CP9
P54840	Q16821
P19784	P24941
O95467	P30518
P45984	Q04206
P26358	Q15910
P10321	P43626
P61513	Q5UIP0
P13232	P42701
Q13043	Q8WWW0
P35626	Q8NH54
P53803	Q6PD62
O43679	Q9NVW2
P35626	Q8NGK5
Q7Z6J6	Q8IXH7
P29692	Q9UET6
P17024	P54257
O95837	Q00722
P01023	P08246
Q13772	Q99700
P52333	Q9NSE2
P11387	Q8IW19
P21673	Q9NUT2
P10828	Q14686
P28072	Q99436
P07339	P28482
P38405	Q8NGR3
Q04206	Q9UM73
Q99665	Q9HBE4
Q93079	Q9UPS6
P01111	Q9HC35
P61244	P67870
O15516	P49674
O95998	Q9NZH6
Q14966	Q9H0M0
Q14164	Q15836
P05015	Q01344
P06753	P23470
P12882	Q9P2M7
P16104	Q15257
O14920	P21580
P67870	Q16543
Q6ZNE5	Q99570
O95872	Q96KC8
Q14197	Q9BU61
Q15654	Q9HC36
P55036	Q9UMX0
O95727	P19838
O96006	P0DI82
P31749	P51617
O75251	P51970
P18206	P30101
P50914	P84098
O95190	P46379
Q01081	Q15428
O43464	P98170
P27635	P50914
Q8IXM3	Q969Q1
O43306	P62879
Q6ZNA4	Q96LR5
P15153	P42338
P58107	Q15714
O75015	Q8N6C8
O75937	P01243
P52272	Q13243
Q15834	Q96HB5
P61978	Q9H0D6
O75376	P19793
P63218	Q92569
Q9BY84	Q9UQF2
P35520	P42858
P25021	Q5JWF2
P01106	P13489
P01100	P05771
O75593	Q13485
P38405	Q8NGG6
O75815	Q15631
Q07817	Q13323
P02795	P58062
P78330	P84090
B1A4H9	Q969J5
Q7Z434	Q9NQC7
P63000	Q92556
C9JDP6	Q96B33
P35790	P42338
O75365	P28340
P22612	Q12791
P38405	Q8NGP9
P18564	Q01955
P01106	Q7Z695
P01570	Q08334
P10074	P41220
O14640	Q53G59
Q99459	Q99460
Q14596	Q9H492
P16220	Q9UF56
P18084	P35442
Q92620	Q92917
P17947	Q96RE9
P61353	P63173
O14593	P04049
P63211	Q16539
P48551	P50591
O14949	P0CAP2
Q9H6Y7	Q9P031
P09429	P21675
P50851	P55157
Q9P0J0	Q9UI09
Q8IUE6	Q9UKV0
P08648	Q07889
O75390	Q9NYJ8
O95467	Q08828
P01567	Q04206
Q06330	Q92830
P62158	Q9UQM7
P61978	Q14103
P60568	Q99665
P10275	P15923
P55769	Q15029
P11441	Q13573
O00231	Q9UNM6
O95622	Q8WZA2
P49841	Q00013
Q12789	Q13315
O95685	P06241
Q13247	Q14683
Q9Y266	Q9Y4P8
Q13501	Q13554
P61077	Q68DV7
P17812	P31946
P01889	P26927
P13500	P51681
P01106	Q14684
O15144	Q92558
O00168	P13637
P15153	Q96F07
P42336	P42681
O95197	Q2M1K9
P49841	P54840
O00548	Q8WW43
O00220	Q6GQQ9
P21673	Q96I25
P37840	P51693
P07858	P46379
Q66LE6	Q86US8
P28749	P35232
Q99627	Q9UNS2
P46934	Q9H492
O95163	P48643
P51693	Q9UN74
O95999	P0CG48
P62750	P62910
P38398	Q8WXE1
P14784	P23458
Q4G163	Q9UQM7
P0CG47	P13569
O00429	Q96LZ3
O14775	P53602
P10398	P53778
Q9HB90	Q9Y2Q5
O95298	P17568
P10415	Q03060
Q70SY1	Q99935
P30086	Q99558
P62913	Q00987
P08648	P12814
O14544	Q9HBE5
Q7L5A8	Q9NRR5
Q05513	Q8TCC7
P29353	P37173
Q06323	Q9UL46
P0C1Z6	Q9ULG1
P0CG48	P25963
P27708	Q8NEV4
P08047	P46108
P67870	Q14872
P05067	P07339
Q16659	Q99418
P25054	Q13418
Q02156	Q9HBA0
O14964	O95751
P04049	P06241
P62495	Q99459
P62993	Q9UMY4
P49641	Q12873
Q01196	Q13363
O00422	Q96EK5
Q05519	Q13243
Q05209	Q8IY31
O15519	Q99558
O15379	P0C1H6
P24390	P53618
P36897	Q9UJX4
Q13315	Q9NZN8
P54274	Q9Y2X7
P10809	P16871
Q13315	Q14643
O14543	P23458
P06753	Q14164
O60840	P62136
P40337	Q15286
P61978	Q13243
P63211	Q5JWF2
Q13568	Q99731
P54619	Q12778
Q5JTH9	Q99558
O43464	Q16539
P01567	P15509
Q96BV0	Q9NYL2
O95400	Q15427
P62987	Q15038
P22694	Q9UN42
Q04771	Q96D21
O76021	Q9NV56
P60604	Q96BQ3
O75674	Q9UKV5
P19105	Q32MK0
P28074	Q00653
P29372	P35998
O43929	Q13415
O15264	P15407
P08575	Q15118
P10914	P14316
Q13526	Q9UER7
P01568	Q99062
P13569	Q9Y6N5
A0JLT2	Q96JH8
P49790	Q9UBU9
407021	P08572
P04406	Q99877
P36405	Q04724
P27037	P37023
P36897	Q9NSN8
Q9H2G2	Q9NYQ7
B1A4H9	Q9HC73
Q13573	Q15427
P53708	Q13683
O14512	Q9HC73
P0CG47	Q93008
P02766	P08138
P05783	Q8NFJ9
P58166	Q96S42
O75084	Q93097
O15455	P42336
Q71UI9	Q99880
P54274	Q05516
Q02556	Q8IU54
O95714	Q9NRI5
407040	P04628
P62424	Q02878
P04637	Q8TBK6
P50148	Q15147
Q9HBL0	Q9NPF4
O96013	P60953
P62244	Q9UKV8
O95251	P33993
O43815	Q9Y6E0
P41594	P63092
P08138	P09603
P00533	Q6S5L8
Q9NS69	Q9P0U1
P31749	P42574
Q8WXI2	Q9UKE5
P22694	Q92934
O00629	P63000
O00422	P46459
O75694	P30480
Q14197	Q9P2R7
P04637	P55209
A6NHL2	Q13509
P52597	Q92620
P62333	Q14997
P01282	Q9NRR5
Q969T4	Q96G75
P36402	Q9UBE8
Q86XI6	Q93100
P26992	P29460
P08047	Q13547
Q9UBS8	Q9Y2X8
O00459	P07332
P35568	P84022
P04629	Q99570
P23443	Q05195
P25054	Q86T90
P08865	P62273
P23246	Q04206
Q14CW9	Q9NRD5
O15372	Q13573
P40337	P43307
P63261	Q9Y6W5
P33240	Q92993
P18859	P20333
P28749	Q01094
O60290	Q96AY4
P63165	Q9HC62
P35236	P53779
P06756	P13942
P62955	P63151
P23528	P68133
P15056	Q9Y6X8
Q08881	Q8IZP0
P16871	P31785
Q8TEM1	Q9UKX7
O15067	P30480
P62993	Q92928
Q8NHM5	Q9BSM1
Q16890	Q969L2
P06756	Q9Y490
P52630	P63244
Q8N163	Q9Y5J5
P41220	Q9Y2X7
P10636	P37840
O15371	P41091
Q00535	Q16555
P02647	P04053
P52333	Q9Y4H2
P07948	P67870
O43809	Q92989
P55196	Q15223
P31751	Q13233
P04629	Q92569
P10275	Q13569
P62837	Q5M7Z0
P04637	Q9HCN2
P07711	P29508
P28566	P63215
Q16512	Q9UDV7
O94906	P01106
P01589	P31785
P63279	Q9Y6K1
O15198	O15550
P51149	Q6PEY2
Q16584	Q9Y243
P50395	P62330
P11171	P27797
Q5T3J3	Q9HCU9
P10914	Q96DX7
P14921	Q16236
P62993	Q86UX6
P46108	Q9ULH1
Q13573	Q96I25
P52756	Q15428
P18754	Q9BRK5
O60684	P41743
P50281	Q13308
P53779	Q9NR28
P29350	P78314
P06400	Q8TDY2
O15131	Q13573
Q13131	Q86TI0
Q05639	Q5ST30
Q9GZS1	Q9Y5B9
P21673	Q8TBB1
P54727	Q15008
Q8NA54	Q99750
Q00535	Q8NEB9
P30153	P31751
P35568	Q16288
O75525	Q9Y580
P62330	Q9UI30
P62333	Q8TAB5
Q13535	Q99708
P16144	P25391
O95758	Q9UET6
Q14031	Q9HCN6
P51617	P58753
P33076	Q499Z4
O43497	Q14957
Q70SY1	Q9UDV6
P21860	P42566
Q9NQW1	Q9NR31
442896	Q5VZF2
P18075	Q04771
P17252	Q15717
P06730	Q8IWZ3
O00238	P12644
P61077	Q12899
P26599	Q01081
P16591	P82094
P83731	Q9HCK5
Q16799	Q9H8W4
P05161	P14316
P06241	Q86YH6
Q13233	Q15758
P42224	P42345
O75800	Q9Y4K3
P61224	Q9BRK5
P63104	Q96PU5
Q13185	Q92793
O95249	Q13835
P01589	P13725
O00238	Q7Z6B7
P06241	P07947
Q13111	Q9NVP2
P17252	Q96KS0
Q12933	Q16512
O75369	O75578
P49023	P51956
O95471	P78369
P01589	P05113
P22612	Q70SY1
Q15042	Q9H0R8
P61952	Q13698
P84098	Q02543
O94817	P60228
P26951	Q92569
P25054	Q8NF91
P35354	Q13164
P32239	P50148
P09769	P42768
O43379	Q9UKM9
Q12905	Q12906
442918	P43351
Q92844	Q9H6S1
O14593	P33076
P62805	Q9Y4A5
O43181	O75489
P25391	P56199
P25391	Q7L0J3
Q96DH6	Q9H361
P01100	P01116
O14640	Q05655
P09012	Q9BQ61
P08514	Q9Y4G6
Q13547	Q9Y4K3
P18507	P60520
Q14164	Q3MHD2
O75367	Q92769
Q13370	Q13555
Q15427	Q96CN9
P05452	P05783
P0CG48	Q9ULH1
P62136	Q68CJ9
Q13315	Q6PIW4
Q96SN8	Q9UKR5
Q13315	Q9BVP2
P12270	Q13535
406915	O00716
O00165	P19438
P04844	P46977
Q9BUV8	Q9UGJ1
P54619	Q53ET0
Q13287	Q8N4P3
P14210	Q04756
P21980	Q15796
P48736	Q8WYR1
O95704	P20338
P04637	Q8IUQ4
P49815	P62993
P31785	Q13261
P62280	P62857
O14717	P09661
P58107	Q9H173
Q00005	Q9NTJ3
Q13535	Q8WWQ0
Q9NQR9	Q9Y478
Q8IYL3	Q92993
Q15542	Q5VWG9
P05090	P0CAP2
O43318	Q9UQM7
Q13469	Q14814
O96020	Q00534
P04150	P06239
Q9BQ83	Q9GZT3
Q99759	Q9Y266
O75525	Q6ZVK8
A8MTJ3	Q9NYW3
O14639	Q12772
P98170	Q96LR5
A6NMX2	O43432
O43320	P17948
P98082	Q96CW1
P06400	Q8WUI4
P36405	Q8WZ55
Q13459	Q16513
P15260	P19838
P52758	Q9Y4K3
Q06124	Q92569
P00533	P16885
Q04721	Q9Y2E6
P00441	Q9BUN8
O15392	Q14457
P36897	P48059
P20339	Q92544
P13500	P61073
Q13352	Q9BWH2
O43491	P27348
O94832	Q9Y572
P37231	P51946
P19438	Q9Y572
P31689	Q9NYJ8
P59998	Q07890
P68032	Q9Y5U8
P49711	Q9BQS6
406938	Q9Y4K3
P15018	Q9UHF4
Q15041	Q9BT40
P16220	Q15172
O14512	Q99062
P16070	Q15672
O96007	O96033
P23610	Q13424
Q15393	Q9NPF4
P14598	P19320
P46109	Q9UQC2
P23467	P49023
P67809	Q15287
O75665	Q9H7U1
Q15233	Q9H8W4
O75369	Q13153
P18146	P49069
P16671	Q05397
P27694	Q9UNS1
O96000	P56556
Q13415	Q13416
P27361	Q9UNK4
O60925	Q93063
P23508	Q9Y696
406940	P26358
Q93079	Q9P0U4
O00329	Q9HC35
P09874	Q7Z2E3
Q02156	Q4KWH8
O95059	O95707
P42025	P67870
O15467	P51684
Q14683	Q9BV47
Q9NRI5	Q9UKE5
Q9UBV4	Q9Y5W5
O95405	P15036
A6NIT4	P48551
P21333	P51587
P25398	P62979
P08648	P25940
O60762	Q9HAW0
P14921	P62380
Q92796	Q9BQ90
P23219	P45984
Q8IXM3	Q9BWH2
P27708	P67870
P51679	P63096
P05106	Q13797
P54619	Q9NQR9
Q04206	Q96CX2
Q58WW2	Q969Q1
P08754	Q8WYR1
P53816	Q9NRR5
P18146	Q00577
P18846	Q16539
P22301	Q99650
O14545	Q9Y4K3
407025	Q9UBC3
Q15788	Q92922
P18848	P49715
O43909	Q15788
Q14194	Q9Y333
O15111	Q9NX02
P30048	Q8TAX7
Q05513	Q66LE6
Q9NR30	Q9UJM3
O14807	Q13009
P27695	Q00987
P61981	Q92574
P00519	P42166
P05549	Q09472
P62136	Q9Y243
Q13315	Q9UNF1
P16401	Q96HA7
O14647	P63165
Q92831	Q9H8E8
O14744	Q9Y5B0
P38159	P62633
P63104	P78527
Q04759	Q9Y6K9
P35348	P54619
Q05513	Q9BVJ6
P35443	P53708
P23508	Q14165
P01137	Q86YP4
Q9UKE5	Q9Y266
P32246	P55774
P21860	P52757
O95343	Q93098
P50570	Q9UBV8
P42336	Q13094
P06702	P60953
P01833	P42830
Q99459	Q9NVU0
P27635	Q15750
Q05516	Q15834
P53667	Q9Y281
O60925	Q15287
P49407	Q96J02
Q5VVJ2	Q92831
Q9H461	Q9UBV4
P31947	Q12778
P05067	P78536
P05107	Q9UQF2
O95007	P38405
P07355	Q9UHV8
406983	P37275
P01568	Q14626
P01243	P62714
P05198	P60228
Q16658	Q9UET6
O14807	P04049
Q96HF1	Q9UBV4
Q9WJR5	Q9Y265
Q01538	Q13526
P81605	Q00005
Q969H0	Q9H3D4
Q6NV75	Q9UBU8
P08631	Q92569
O14775	P11229
P46783	P62273
Q15788	Q8IWT3
Q01344	Q06945
O60762	P01106
O00459	P61587
O95639	P06748
P35626	Q6IFG1
P26641	Q96SN8
O15111	P01106
O95257	Q9Y383
Q9BXW9	Q9Y4K3
P06213	P21583
P83916	Q5T3J3
P0CG47	P60900
O14933	Q05086
P17301	P53708
O14641	P49815
P04899	P53779
P16870	Q9HCK4
P33151	P35222
O15055	Q9UKB1
O95467	P21728
P10912	P40933
O43809	P23508
P01889	P13667
O00231	Q7L5N1
O43586	P18077
P0CAP1	P62424
O14579	P84077
O60333	Q96QZ7
P18146	Q12772
P08588	Q8WTQ7
P17482	Q99750
P06730	P18206
P01106	Q9H0E3
Q00610	Q15653
O15198	Q9P2E9
O15169	P84022
Q86WV6	Q8NE01
P17612	Q9P2W3
P16989	Q13573
Q13596	Q9UHF0
Q8TAD8	Q8TBK6
P34998	Q5JWF2
Q04771	Q13501
Q13616	Q969U6
P61981	Q13595
O95251	Q6IE81
O75164	P10412
Q16777	Q16778
Q9UJZ1	Q9UKV8
Q9NZN8	Q9UFF9
P01859	P02768
Q7Z419	Q9H832
P48634	Q14697
Q07666	Q8N3X1
P98082	Q9UM54
O00214	P20701
O43597	Q13191
P56750	Q8NI35
Q13616	Q8TCJ0
O43504	Q96AW1
Q14765	Q92793
P04637	Q71UM5
P25788	Q9H307
P15173	Q99750
P23297	Q9GZT8
P10301	Q8WWW0
P27635	P49207
O15264	Q9BY84
Q01892	Q14209
P61088	Q68DV7
O75113	P0CG48
Q02156	Q86YW0
P10827	Q13503
P31942	Q8IWX8
O14744	P08621
P78527	Q14566
O43237	P68366
Q15572	Q92890
P28838	Q9UL33
O75533	Q15797
P54284	Q9Y2T4
P06730	Q9UL03
P62140	Q13522
P25963	P62158
O96017	Q00987
Q01844	Q96M83
P19876	P32248
P15018	P17181
O00187	P11226
O43567	P51965
O95049	Q07157
P15260	P50591
P35222	P45983
O00232	P17980
P19793	Q13133
Q13163	Q9Y2U5
O95168	P03901
P01106	Q8N3U4
P05230	P22455
O14493	Q07157
P24385	P28749
O00303	O15519
P00533	P10767
P68032	Q969Q1
O95500	Q96AP7
P04908	P19438
Q14566	Q7L590
O15014	P54253
P19875	P27487
P13667	Q9Y4K3
P01138	P16234
P05023	P17612
P28702	Q9NVC6
P01106	Q13200
O75044	Q8IXI1
P05231	Q01344
O43765	Q9UQK1
Q14164	Q8N163
Q01658	Q9ULM3
Q9H4E5	Q9Y3M8
O60244	P10827
P15336	P68400
P20042	P78344
P05423	Q9NW08
O00221	O15111
P32121	Q8NH00
Q14164	Q92769
P17612	Q9UGJ0
P00533	P68431
P23246	Q68DV7
Q8IZP0	Q8N8S7
P09471	P48736
P51116	Q15834
P15153	P15498
O15444	Q9NPB9
P41586	P61952
P56192	Q99759
P02751	P26006
P16220	Q643R3
P62745	Q6P3S6
P51828	Q9P2W3
P63000	Q8IWW6
O00422	P09455
Q6P1M3	Q9BYG4
P46776	Q9UL18
O00459	P54709
O43707	Q13683
P19012	Q9P2A4
P15248	P48357
P01106	Q8IWB9
Q8N5U6	Q969T4
P04049	P67775
P61019	Q16644
O75586	O95402
Q9H9E3	Q9Y2V7
P25025	P80162
P20290	P67870
P26992	P60568
O00214	P06756
P10828	P42338
O75899	Q9UBS5
O95994	Q9NRR5
Q14457	Q86Y13
P09919	P15260
P61077	Q16643
P09661	Q15428
O15530	P31749
P01889	P43632
P13805	Q13573
P10515	Q15119
P29460	Q99650
P42261	P49841
P63162	Q9Y4Z0
P42336	Q13114
P27694	Q8WXE1
P56545	Q96EP5
406906	O75390
P15336	Q96RU7
P43360	Q92797
P09669	P21246
P62753	Q13233
P63104	Q9HC77
Q15139	Q9NRA0
O94762	P62487
P10276	P53779
Q96CS2	Q99871
Q13131	Q9C0K7
O75674	Q92575
P21964	P23508
P08912	Q9UBI6
P18146	P24158
P30153	Q9UPR3
P43354	Q92793
P78527	Q92878
P27986	Q13191
P00750	P05121
P50502	Q14164
P17301	P63261
P21452	P30679
P04626	Q9UBN7
P13232	P15509
O14874	P12694
P04222	P16152
O95257	Q9P2H0
P01308	P35968
Q8TES7	Q96CN9
P04637	P49841
P04839	P31269
Q504Q3	Q6IBS0
P04792	Q8IY92
O75170	P53350
P18827	P35443
O95182	Q9P2P6
Q76L83	Q9Y4K3
P49674	P78396
Q99880	Q9P0U4
P32004	Q02246
P10415	Q14209
P14621	P49716
P25205	Q99459
Q09472	Q15797
P01375	P27361
O43318	P19438
P13612	Q07890
O00459	Q96L33
P42356	Q9NRL3
P23771	Q15475
Q9UBL3	Q9UPS6
P18124	Q15653
P12883	P78549
P28749	Q9P1U1
Q99460	Q9UBN6
P35968	Q99962
P59768	Q08462
Q07889	Q96N67
Q96L33	Q9BZ29
Q9NRR5	Q9NRV9
P07737	P62736
Q05655	Q9NYF0
Q13315	Q8WVD3
P55795	Q13242
P07237	Q9UET6
O14493	O75508
Q969D9	Q99062
P16403	Q86U86
O95433	Q9HC98
P35626	Q8NH40
P56199	Q05397
P11171	P61981
P11142	P45983
Q96MF7	Q96SB8
P15882	Q9H4E5
Q13098	Q13568
O95622	P09471
Q8N357	Q9NRX3
P09874	P11142
P26441	Q14627
O15264	O75582
P31749	Q86XI6
O00401	Q9BPX5
O15527	P25208
P01889	Q00688
P04156	Q14515
Q14240	Q99459
P06241	Q07912
O60673	P12004
P05000	P16471
P60228	Q92597
P35680	Q8IWU6
Q07960	Q9HBH0
P62993	Q9UQQ2
P06730	Q15717
P35222	Q16531
P37108	Q9NX58
O00574	Q9Y4X3
P46108	Q9Y5I3
P61587	Q9P286
P13674	Q9UKV8
P02768	Q92833
P17612	Q9NY47
P24522	Q96GM5
O15360	Q86U86
Q58FF8	Q9Y243
O43896	P31946
P43364	Q9Y2S0
Q13315	Q86U86
P25398	Q9HCK5
P12931	P35326
P46777	P61313
O43432	P06730
P16104	Q96Q83
Q14686	Q9UMN6
P09619	Q92913
Q86Y56	Q9Y5J5
O43493	P50281
P48736	Q16236
P17302	Q3ZCM7
O95167	P03886
P30480	P61077
O14656	Q9P003
O15264	P04075
P35609	Q96DF8
P30679	P47901
P78527	Q14683
P51149	P68371
P24941	P98177
P41235	Q6Q788
O95197	O95872
P04899	P25025
O60353	Q13145
P01569	P01589
P24928	P51946
P00747	P04156
P0CG48	P46531
O14640	Q9NZC7
P20591	Q9UBN4
P05387	P61353
P05386	Q6ZRI6
P51398	Q9BYC9
P61019	Q86TI0
P63092	Q99527
P05000	P40238
P12980	Q6ZUS6
O43915	P17948
P01574	P31785
P28749	Q13485
Q9NVC6	Q9NWA0
Q14457	Q14683
P10966	P30466
Q96B97	Q9ULZ2
Q16236	Q9UJX0
P55081	Q13123
P05106	P07942
P41235	P49848
P62195	Q06323
P55010	Q13347
P62834	Q8WWW0
P06756	P53420
Q14194	Q9BX70
P50151	Q15759
Q15560	Q96DV4
Q9H0E9	Q9Y265
P09104	Q6IA17
O95347	Q9BPX3
P01106	Q6P2Q9
O43395	O95391
P04083	Q5T3J3
P56706	Q8N474
O15194	P01106
Q8TDR0	Q9BTA9
P04156	P42658
O60493	P01889
P02746	P09871
P13073	Q8IXH7
Q9NQB0	Q9Y265
P06213	Q9GZP0
O95163	P42772
5512	Q15435
Q8IY92	Q9Y2J2
P05556	P22105
Q13257	Q8NHZ8
P51610	Q99880
P46100	Q96PY6
P78527	Q8WXE1
P01857	Q8NEN0
P23246	P63000
P35626	P47893
Q03001	Q96RT1
Q16891	Q9H0I3
Q15691	Q7Z460
P63173	Q9UNX3
P38484	Q04206
O60216	Q8NDV3
Q13573	Q86VH2
P62280	Q96BK5
P29350	Q9Y336
P46527	Q04759
Q08170	Q99459
P54289	Q13557
O60262	Q13936
O15085	O95477
Q13402	Q9P202
P20339	Q96Q42
406907	Q00534
P01243	P28300
Q9UJ41	Q9UJY4
P04271	P46940
P35580	Q9Y478
P50539	P78536
O95453	P16220
O75179	Q8IY92
P11171	P22234
O00626	P25024
Q16531	Q7Z569
P25788	Q03014
Q08209	Q96LZ3
Q16774	Q9H832
Q16512	Q9H492
P27694	Q9BVW5
P05787	P20333
P01570	P24394
Q13561	Q16659
P06241	Q15762
P04792	Q15029
P46379	Q7Z434
O43541	Q15796
Q8IU85	Q8TD86
