#node1	node2
Q13573	Q86VP6
O75038	Q13555
9757	P55157
Q13467	Q9Y6F9
P01833	P10145
P14649	Q6WCQ1
O95197	Q14088
P01008	P19174
O14641	Q5SW24
O15264	P30153
O14544	P01589
P32121	Q8N0Y5
P09001	Q9BYC9
O00267	O43148
P46108	P53708
P46777	P84098
O14641	Q14134
Q92731	Q9ULK4
P17693	Q8N109
P17509	P21673
P01112	Q9UJF2
P01106	P25490
Q16637	Q9Y3C7
P31946	P48729
Q15645	Q86YR5
P01889	P48147
O95402	P81605
P61952	Q00975
Q01130	Q15696
P22694	Q96D31
O14511	Q15303
P41743	Q9BPW8
O15226	P19838
O14508	P42701
Q13813	Q9UDY2
P17480	P68133
P27815	Q13554
O15264	Q15750
P26599	P55795
P16591	P35222
O75528	Q8NEM7
P25787	P28072
P18146	P19544
P19793	Q92830
P61978	Q9H0D6
P10415	P55211
P13945	Q15835
P19235	P29597
P24666	Q9UKE5
P06127	P43403
P51149	Q8N8Y2
O60885	Q15648
P62993	Q9NYF8
P14625	Q13573
O75478	Q9H8E8
Q02223	Q9Y4K3
Q15366	Q9BQA1
Q14571	Q9UQM7
Q96ES7	Q9NR33
P50151	Q13972
P62070	Q07889
P12314	P22681
Q8N187	Q8TAP4
P19883	Q02156
Q06945	Q9NQB0
O15264	Q9UK08
O60266	Q16566
P12956	Q9HBL7
P16104	P23527
Q01844	Q96M83
406906	Q6WKZ4
A6ND36	P27348
O00459	P10828
P10301	P62993
P52565	Q08211
P18146	Q92629
O43889	P36873
P06899	Q9C005
O43426	Q07912
Q02928	Q07869
O00444	Q5JR59
P63151	Q02641
P38398	Q9BXW9
P32121	Q8NGT7
P09651	P26599
P54259	Q8N2S1
406933	P37275
O14745	P26038
P17081	Q15642
Q8NEB9	Q92622
Q13363	Q9H307
O60282	P61981
Q96G04	Q9NRG1
P60673	Q07889
P16333	Q13191
Q8N6Y0	Q9BT78
P25963	Q8N668
O95622	P38405
P62701	P62753
P36873	P54840
Q15435	Q9UQK1
P10916	Q99972
P30153	Q14BN4
P40189	P40763
Q06124	Q9UQC2
P05026	P58549
O60763	P62330
Q3ZCQ8	Q9Y6K9
O15116	P41182
P46531	Q12860
Q15562	Q9UJU2
P62258	Q9UHD2
P27635	Q02543
O75365	Q9NVI7
P05787	P53680
O00305	Q12788
Q07955	Q14683
O00257	Q03164
P30086	Q9UKS6
P35626	Q8NG98
O95819	P62906
P06213	P21583
P05109	Q5UIP0
Q03431	Q04917
P51817	Q8TD86
Q13398	Q9GZM8
P12931	Q8TB24
P06756	Q9P212
P51610	Q16576
O60869	P20226
P26951	P32881
O75822	P60228
P33991	Q9Y5B9
O95622	P62873
P57088	P62140
Q13618	Q14790
O75563	P06241
P40855	Q15796
P17181	Q8IU54
Q16637	Q8IZ69
P05362	P19838
O96020	P30260
P78414	Q15796
P22681	P31785
O95500	Q8NI35
P16104	P68133
P49959	Q10586
P01570	P26951
P17081	Q07889
Q05516	Q16637
O14933	Q8N9I9
P0CG48	Q96CV9
P28328	P40855
Q2TAZ0	Q96BY7
O15504	Q03518
P50151	Q16539
P33993	Q14192
P17301	P35609
P08134	Q14185
P46087	Q13233
P13569	P54619
Q13530	Q9Y277
P25445	P62834
P28566	P43686
P02776	P49238
O14610	O15264
P38159	P52756
P17535	P53539
Q03468	Q13216
P59768	Q9Y272
P78509	Q13797
P58753	Q96A33
P01024	P0C0L4
O75581	Q9H461
P45378	P54257
Q9H160	Q9HCE7
O00459	O14807
P32927	Q06124
P02766	Q6UXH1
Q01780	Q9HAU5
P04637	Q92925
P51686	Q9Y4X3
P62805	Q8NCD3
O00221	O75179
P00533	P52735
P33991	Q08945
O75578	P12111
P19447	P51948
O75914	P15153
O43181	Q16718
P10912	P23511
Q14164	Q9Y5Q3
Q14197	Q9BYD6
P50151	P63092
P11831	Q7L590
P04628	Q6ZQN5
P08581	P52797
P09038	P09619
O15117	Q14008
O14641	O75084
O60563	P28799
O15169	Q9Y6R4
O00165	Q04206
P00519	P46937
P05113	Q969J5
O00217	Q9P0J0
O75528	Q8N2W9
Q01668	Q13554
P25116	Q03113
P17612	Q70SY1
P52564	Q13177
P43657	Q9UBI6
Q00610	Q00653
P01106	Q9UKN8
P35626	Q8NGK4
P68431	Q9UM07
P17542	Q14839
Q13136	Q9UNL4
O00182	P20701
O95622	Q9P2W3
P60568	Q9UHF4
Q13042	Q99459
P01106	Q8IU85
O00483	O43676
P49207	Q9UNX3
P35968	Q6S5L8
P25391	P26006
P14324	P54253
P53779	Q15759
O14508	P15509
P18146	P37231
P63104	Q9Y6R4
P0C869	Q03113
P51617	Q15306
P78559	Q9GZQ8
O00429	P16298
406991	Q96BR1
O76061	O95831
P63146	Q9GZS3
P19784	Q16539
P04637	P29474
C9JDP6	O95049
Q13418	Q9UHX1
Q9C000	Q9NPP4
P62258	Q99469
O00303	Q14164
P17252	P42345
Q99759	Q9UDY4
O00459	P84095
Q14164	Q6NZ67
Q02156	Q8WZA2
