#node1	node2
Q9NX09	Q9Y297
P58340	P62258
P07900	P98095
Q08170	Q96SB4
P30260	P62993
P49368	P63104
P08571	Q04206
Q13769	Q9H1B4
P51817	P61586
P49207	P62987
Q13573	Q86YP4
O14936	P34741
P01225	P08588
P61313	Q02543
Q71U36	Q8NCM8
Q9HAU4	Q9HC98
O00238	P48454
Q13263	Q9Y6K9
P18146	Q9Y5B9
P16871	P30086
406954	Q8WYQ5
Q96PU4	Q9Y2X8
P45983	P78527
P32121	Q8NGS2
P01583	P05067
P29590	Q08999
P07550	P35626
P67870	Q5SQH8
Q13315	Q8WVM8
P07550	P63096
Q7Z460	Q9UPY8
O75694	P01106
P49005	Q9Y2S7
P30153	Q99623
O15455	Q9Y3B3
P51124	P68366
O60333	P78352
P32121	Q8NGF0
Q15287	Q9Y383
O43175	P01889
Q86V88	Q9BSW7
O75934	Q9UMS4
P61981	Q13427
Q15797	Q8IU81
P40429	P61254
P01111	Q92569
P30939	P63215
O95343	Q92570
Q93034	Q9Y575
Q12788	Q92624
P35998	Q92597
Q14451	Q15047
Q8IUE6	Q96A08
O60674	P15509
P38405	Q8NGU2
Q16665	Q92831
O00231	P48556
P45983	Q9UK08
P17252	Q9UBN7
P60953	Q00587
P21333	Q13683
P24941	Q99708
P15248	Q969J5
P60866	P62979
O95299	Q9NX14
Q13131	Q53ET0
P54760	Q15768
Q15369	Q9Y6I7
O00459	Q9UBI6
P37840	P42858
406984	O60315
P10275	Q15652
P49418	Q99963
P40337	Q9Y547
P15311	Q14164
P49790	Q5SRE5
Q96B02	Q96P09
P05231	P16871
P17066	Q15750
O00560	P35222
O75251	P03905
O75529	Q16531
P55957	Q9Y6K9
Q16816	Q16821
P31749	P98170
P10071	P48729
Q16630	Q9NZC7
O95402	P49336
Q9NYQ7	Q9UH65
Q07869	Q15848
O14775	P40145
O00422	O43665
P38405	Q8NGA0
P14866	Q14683
P08865	P23396
P52198	Q96HP0
P08648	P21926
P14598	Q15759
O00522	P62834
P61978	Q12986
P62140	Q08289
P56556	Q9Y5J5
P01130	P98082
O95402	Q96HR3
O95837	P24530
P68104	Q9HAV4
P17987	Q9Y2T4
O00232	Q9BRP4
Q96NX5	Q9NZT1
Q14204	Q9H173
P62993	Q6NVY1
O75410	O95619
P54840	Q9H7J1
P31152	P40763
O95396	P25325
P51116	Q86SE5
P04275	P08514
P62280	P62857
Q9H0E2	Q9NVW2
P07196	P41219
P62993	P68371
P20023	Q06330
P62745	Q96HP0
P06239	P40763
B1AK53	Q8NEV4
P38919	Q09161
P19525	Q8WTT2
P46379	P48304
P48730	P62258
P18074	Q13889
P62258	P62805
Q16637	Q9UMN6
P62306	P62314
Q06587	Q93009
P20226	P35869
P16333	Q9H8V3
P01106	Q92974
P17612	Q32MK0
Q96NA2	Q9BUF5
P49682	Q9H2A7
P43405	Q9UQC2
P13612	Q13797
P36897	Q9C0J8
Q14188	Q15329
P02766	Q15109
O43491	P60709
O95178	Q86Y39
Q16254	Q9BR39
P40763	P45983
Q08999	Q14188
P08700	Q8IU57
P17948	Q9NSA1
