#node1	node2
P48551	Q13191
P61088	Q96EQ8
Q13310	Q96EP5
Q7Z2E3	Q9UID6
P08581	Q12913
Q13363	Q9H2S9
P04839	P42224
P13725	Q14627
O00585	P46094
P55055	Q9UNN5
P31995	P43405
O96019	P17480
O43463	Q14188
Q09472	Q96JK9
P11234	Q16513
P21709	Q9UM73
P05976	P62736
P13569	P20823
O15117	Q8IZQ5
P61964	Q16778
Q13315	Q9UGK8
P05112	Q5VWK5
Q8TDY2	Q9GZS1
P10916	Q9BZL4
O43491	Q13315
P43364	Q9Y2S0
P19438	Q9BUF5
O00206	Q8IWL1
P22612	Q9H0K1
A8K6C2	Q14627
P38936	Q75NE6
P23219	P45983
O14543	P78552
O75914	Q9UBI6
P07108	P49841
O75578	Q01955
P04628	P18827
P05129	Q9BZL6
O00501	O95471
O43707	P63104
P55957	Q07820
P54257	P56134
Q13224	Q9UQM7
P14866	Q9Y4K3
Q00688	Q9UGN5
406882	Q92945
P30519	Q16891
Q07699	Q13554
P52565	P61586
P61088	Q13489
O95777	P62312
P38405	Q8NGR5
P40939	Q14197
P09651	P61978
O43166	P61224
P15172	Q02535
P31314	Q15172
P01100	P18846
P49841	Q9Y6I7
O15524	Q9HBE5
Q14164	Q16650
P19838	Q15306
Q8NC51	Q8TB96
P46100	P63165
P55081	Q13573
P49768	Q9NZJ7
P63092	Q16658
P22301	Q9NNX6
Q13573	Q9Y618
P43364	Q96AJ1
Q15126	Q9H3R5
P08708	P39019
P08100	P08651
Q9H2G2	Q9UQ16
O75521	Q12988
P46108	Q13087
P53350	Q13952
P05412	P18848
Q5JWF2	Q99677
P22681	Q04912
O00175	P46094
O14576	Q9H4B7
P61587	Q9P227
P16234	P49767
P04406	P21281
P62081	P62841
P01135	P04626
P08172	P30679
P53671	Q9H422
P62875	Q9BTT4
406982	P10415
Q16763	Q9BYM8
P23368	P31939
P49841	Q9UNZ2
P19793	Q16637
P29372	Q9H8S9
P04626	P15498
Q9H2G2	Q9NYA1
P43307	P61619
574411	Q9UKV8
P49716	Q15910
P15622	Q9BUH8
P23508	Q00610
P46109	P48736
P12814	P26038
P22003	Q13873
P55072	Q96IV0
P02461	P18084
O15127	P63104
O00214	P05556
P51686	P52333
O15379	P48643
P22626	Q12986
P19174	P27816
P26373	Q9UNX3
Q13315	Q15906
O15105	Q9UNY4
P32969	P61254
P06730	Q03014
P26641	Q8IZ13
P62979	Q9UJY5
Q99459	Q9ULW0
P18146	Q13478
P08246	P17947
P18754	Q5T3J3
P01570	P24394
P22455	Q07889
O14543	P32927
P19878	P35228
Q15306	Q8N3U4
Q01658	Q13952
O00305	Q12816
P0CG48	Q14164
P17252	Q15139
O60216	Q5FWF5
P0CG48	Q14596
O95257	Q8NAF0
Q15428	Q8N163
Q9BY41	Q9P0M6
O00311	O43913
P10415	Q9Y2T4
Q96ID5	Q9BX70
Q8IYF3	Q96GY3
Q02539	Q86U86
P16104	Q14191
P60900	Q9Y4K3
Q00987	Q5VVX9
P09486	P43235
O60216	Q13573
P40763	Q15788
P19174	Q92569
O43918	Q9H2G2
O95777	Q9NPI6
P40763	Q00535
Q05519	Q9UHX1
A8K6C2	P40189
Q16658	Q9UET6
Q86W42	Q8NI27
Q92934	Q9HD36
P21796	Q8WZ42
Q71UI9	Q99879
P55268	Q7L0J3
P22736	Q9Y243
Q08211	Q12986
P29460	Q8N6P7
P78386	Q00005
P10606	P11171
P98161	Q13233
P00533	Q9P104
Q16537	Q86US8
P15153	Q13017
P49321	Q8IYT8
Q15326	Q15750
P17301	P26012
P02768	Q9HCM1
Q5QNW6	Q9P0U4
P01889	P38606
O15514	P19387
Q08211	Q99873
O43166	Q15744
P38405	Q96RD2
P23396	P62851
O95298	O95299
O14983	P26678
P62714	Q9UBN1
O43566	Q12933
O43242	P01106
P78527	Q05655
P62760	Q86UW9
P53350	Q8NDZ2
O00629	P19838
P49715	Q01094
P46527	P67870
P10276	Q2M1K9
P52434	P62487
Q96L34	Q96N67
Q5VTD9	Q9P2E2
Q15118	Q16513
P23396	Q9Y6K9
P35544	P62277
P62244	P62701
P19525	Q9UJU6
Q04206	Q07020
P21810	Q16586
Q04771	Q15759
O00254	P00519
P24394	Q9ULV8
P08107	Q96EY1
O00459	P10721
O94875	Q13177
P41182	Q13535
P09884	Q14181
P15170	Q14164
P28907	Q13237
P01583	Q99836
P41159	Q8IU57
Q96HC4	Q9UBQ5
P16233	P62258
P31749	Q96IZ0
P20936	P62993
P15248	Q9HC73
P84022	Q9UMN6
Q9BVJ6	Q9Y2I6
O75716	Q6UY14
P49736	Q6P2H3
P26441	P40189
P0CG48	Q9Y6K9
P21333	Q9NYJ8
P51532	Q9UKL0
Q12772	Q6VMQ6
O00193	P19387
O15264	Q9NZJ5
P12956	P31749
Q9UBV2	Q9Y385
P51991	Q01081
P55212	Q02818
Q14653	Q92793
Q9HB71	Q9UET6
P49796	Q15768
Q99689	Q9P2H0
O60674	P03372
P20594	Q09472
Q496Y0	Q9Y6D9
406888	P01116
P06493	P36873
Q13573	Q96EK5
P42336	P42345
P01106	P10809
O00574	P10720
P07550	P63010
P52907	Q99459
Q15139	Q9P212
406884	P24385
P17612	P23634
P68431	Q9UPS6
O95169	Q9NR50
P17600	P27361
P45983	P61224
P01112	Q9UK32
P46940	Q9UBN6
P13647	P25054
Q9C099	Q9NWQ9
O60674	P42226
Q9BVP2	Q9P2S5
Q9P003	Q9Y478
P10114	P68104
P31946	Q02241
P01889	P22061
O00254	P00747
O15360	Q9NVI1
P61088	Q96BK5
P23588	Q14152
P06899	Q16594
P08107	Q92844
Q15427	Q6P2Q9
P04183	Q9P283
Q13535	Q8IX12
P08134	Q9BRR9
P07948	P40197
Q9H0F6	Q9Y6K9
O95201	Q15834
P15509	Q13191
P83731	Q99459
O43264	P50748
P61981	Q9Y6A4
P63104	Q9BYG4
P53677	Q9HC77
Q13617	Q96L50
O43900	P06241
P67870	Q96NZ8
O14908	P17813
P60709	Q9H981
P45984	Q13077
P48764	Q6P0Q8
P49768	Q9NQB0
P49841	Q15717
Q9BZZ5	Q9Y478
P35659	Q9UER7
Q13557	Q9Y6K9
5512	P62136
P17612	Q8NER1
P38159	Q92620
P20618	Q9Y5K5
O00755	P56704
Q07817	Q9UKT9
P61586	P68032
P19105	Q9Y4K3
P28472	P67775
A6NI79	Q9NYL2
Q13219	Q6VMQ6
P54253	Q14192
P62333	Q9UNM6
P22455	Q9HAU4
P12318	P46109
P67775	Q13936
P15509	Q86WN2
P48544	P59768
P10275	Q99638
P61073	Q07325
P15976	P17947
P38398	Q92925
O75791	P29353
Q04206	Q92616
O43242	O75832
Q13573	Q15029
A3KMH1	Q96KG7
O95167	P51970
O15264	P35637
Q15369	Q93034
P01241	P15260
P07996	P18084
P08069	Q9H4M9
O15105	Q9ULH7
Q9GZR7	Q9Y276
P62244	P62854
P10644	Q9H0R8
O00459	P54710
P22612	P61952
O15372	Q9P2A4
P00750	Q99574
P63165	Q7Z7K6
Q13315	Q8IZ21
P51149	Q3ZCM7
P10909	P98164
P04083	P25090
P50995	Q99459
Q15047	Q9H9J2
P63104	Q12931
P35232	Q9HCU9
P14316	P61073
P48454	Q13042
Q00005	Q96Q15
O75534	P27986
P12830	Q9UNH5
P17948	P27986
P78527	Q14562
O95299	Q9UI09
P42766	Q9Y3U8
Q13573	Q9UMR2
5512	Q15435
Q8IWW6	Q8IXI1
P15311	Q9BXI6
P0C7T3	P32121
P49720	Q99436
P38405	Q8NGR6
P34897	Q9Y478
O43390	P52272
O94856	P62993
Q99759	Q9H6T3
O15344	P51668
Q9BQ66	Q9P2R6
P19338	P21741
P05771	Q13164
O14807	P14324
P84103	Q08170
Q13261	Q9UHD0
P68402	Q8N1G1
O95467	P47871
Q16777	Q969S8
P07902	Q15645
P12830	P18031
P62258	Q9NYF5
P50914	P62891
P62241	P62273
P07996	P13612
P35611	Q9GZQ8
P28749	Q9BUH8
O00327	Q8IUM7
P27448	Q9NPI8
Q93100	Q9H7J1
Q00653	Q93008
P45983	Q86UL8
P13612	P50552
Q4G148	Q9H1Y0
Q9GZQ8	Q9UHC7
Q12923	Q16513
P08754	P0C869
P04632	Q00535
Q5JWF2	Q86XP0
P35611	P62158
P56705	Q01974
P22681	Q92569
P15498	P27986
P30050	P83731
P02458	P16070
P00519	Q14999
P68104	Q92832
O95989	Q14469
Q13200	Q16401
O75475	P04792
P52333	Q06124
O14737	P26641
O60733	P05771
P46527	P51948
O60477	Q9Y5J5
O15264	P45983
P61020	Q9H1K0
P61081	Q14164
P05388	P60709
P10721	P55075
O95837	P25101
P04156	P14136
Q7Z392	Q7Z6L1
P07910	P26599
Q15796	Q6ZW49
P33991	Q9UBU7
P63215	Q9HBW0
P35968	Q99963
Q5T653	Q969Q1
Q92624	Q96S15
P51681	Q99519
O14933	O43255
O43765	Q9Y624
O43261	Q9BVJ6
Q9HAV0	Q9HBW0
O14925	Q9Y2Q3
P09874	P35222
P16581	Q05397
P49006	Q02156
P02775	P51679
Q13535	Q96AE4
P15822	P84022
P09874	Q10586
P48546	P84996
O60341	Q13547
Q9H270	Q9UNK0
Q13177	Q8IXI1
Q13873	Q15797
O43559	P28482
P04626	Q8WV28
P16220	Q7Z444
P26599	Q13151
P62280	P62753
O60733	P17252
O00422	P57721
5512	O95685
Q68DC2	Q96CW1
P18146	P28562
Q99459	Q9UMS4
P35609	Q05586
P06213	Q12913
P60866	P62249
O14610	Q9HBW0
P60033	Q9C086
P09651	P26599
P62256	P78317
Q13573	Q7Z4S6
Q99759	Q9BVA1
P61421	Q8N1B4
P24385	Q9HCS4
P15153	P61586
O95347	Q6IBW4
P61218	Q9NX70
P78352	Q12879
Q16531	Q8TEL6
Q05655	Q14289
P54253	P63104
P10586	P12757
O43639	P09619
P32121	Q8NGP8
P13378	P18754
Q8N668	Q92830
P22681	P78552
Q8IWF7	Q9Y508
Q13813	Q9HAU0
P36897	Q9UER7
Q13352	Q9BZI7
Q6NS38	Q8IY92
Q05519	Q13573
O60880	Q9Y286
Q07955	Q13247
O96019	P38936
P24522	Q92945
Q9H9Y6	Q9NRC8
P62318	Q969L4
P30480	Q06210
A1A4S6	P60953
P02549	Q01082
B2RTY4	Q15653
P35968	Q96PU5
P25786	Q9P0V3
404734	P61981
P08238	P08865
O75365	Q9UBB6
P09769	P27348
P09874	P10275
P08069	Q9Y264
P15311	P60520
P51805	Q00535
O14920	O95786
O76093	P08069
P35998	P62987
P19174	Q9H2P0
O00238	Q5T6F0
P35222	Q9ULV8
P02795	Q13585
O00744	P51654
P35916	P42336
P32927	P43405
P11309	P51813
P01242	Q14626
P46108	Q9NZM4
A1A4S6	P61586
P01106	Q6P4A7
P08581	Q9HAU4
P15056	P31946
P51684	Q16663
Q9H0S4	Q9UL18
P54289	Q15172
Q86V81	Q9BUJ2
P42336	Q05513
P32298	P51684
P04179	P61247
A5PKW4	Q96S21
O95983	Q12873
Q04637	Q8IXH7
Q56P03	Q9NRR5
O75970	Q9HB19
P48546	Q5JWF2
Q12834	Q9BYQ3
P18846	P61073
P29317	P35568
O60896	P84996
P01106	Q5VV67
Q9H469	Q9P2P5
P42768	P61160
P29376	Q07912
P16144	Q9Y4G6
P30837	Q14197
P61978	Q8WYA6
P04181	P30480
P26640	Q9Y4K3
Q96CW5	Q99459
Q08881	Q8IZP0
P63165	Q9C0J8
P05771	P40145
P31269	Q9H7Z6
P46094	Q16627
P26368	Q13838
P01106	P29375
P60866	Q99684
O43765	O60844
P51149	Q71U36
O14986	Q9BTU6
P50150	Q9HBW0
Q13424	Q9Y4J8
P08588	Q96AW1
J3KNP4	O43157
P35244	P40337
P21246	P40763
P06400	Q13029
O95049	O95471
Q8WUI4	Q9P0M6
P25940	Q9UKX5
P40337	P51148
P00403	P62993
P50552	Q13976
P23771	P42226
O00767	P04637
P10276	P30281
O60343	Q96L91
Q15834	Q9Y3M9
P45983	Q8WXG6
P16220	Q93097
Q5JTH9	Q9NY93
P04899	P48736
P24522	Q07869
P02647	Q9Y261
P15408	P53567
P60709	Q9H4G0
Q06455	Q99081
P49675	Q99689
O94967	Q15560
P48740	Q16659
P11362	P31371
P40933	P42701
P05412	P56279
P54253	Q86UW1
A6NIT4	P40238
O43463	Q09028
O75821	P11171
P46783	Q9Y4K3
P32121	Q8NH61
Q13573	Q6UN15
P27816	P27986
P57729	P84022
O75038	Q15139
O15054	P04183
P49005	P62312
P35626	Q9H208
P41587	P63092
Q8ND90	Q9BYG5
A1A4S6	P60763
P38936	Q07889
P54253	Q86Y13
Q13315	Q13362
Q9H160	Q9H7L9
P06241	Q13905
O95299	P03923
P61020	Q15075
O95257	Q9H814
P31785	Q9NPH9
Q99697	Q9UJU2
P59998	Q8WUW1
P19438	P23396
O60244	Q9H2G2
P06241	Q13444
P01891	P43358
Q92731	Q9ULK4
P51817	Q8IWT1
P62330	Q9BPX3
P35626	Q6IF82
P78369	Q96AP7
P40227	Q9UHD2
O43913	O75419
P68431	Q8N6T7
O75928	P35548
Q06330	Q99466
Q08211	Q13535
O14929	Q9H0Y0
Q12834	Q8NHZ8
O14964	O75962
P19174	P26951
P10914	Q13568
P49901	Q9BQ66
A6NIT4	P40189
Q13547	Q16254
P05141	Q6WCQ1
P15336	Q13554
O60921	Q99615
P15884	Q15796
P62263	Q9Y3D8
P0C0S5	Q96L91
O15519	O43353
Q92730	Q9BRR9
P42701	Q9NYY1
O95373	P63104
P14635	P51946
Q9UKN8	Q9UL18
Q15329	Q15796
Q02224	Q9UQE7
O14920	Q14164
P61586	Q8IVF5
Q08AD1	Q9UK73
P18075	Q16671
P63146	Q14194
P30480	P61086
Q8TES7	Q9UGJ1
O95299	P03901
P36873	P42261
P21281	P39656
Q13156	Q9H9A7
P62136	Q15428
P32969	P62913
P19022	P35236
O00459	P14672
Q15562	Q9GZV5
P41220	Q8NAF0
P41240	P49023
Q13573	Q9NPF5
Q07666	Q9UKA9
O60447	P53350
P05129	Q8TAA9
Q2TAZ0	Q96BY7
Q04323	Q04771
P16035	Q14697
P30876	P38398
P25054	Q99618
P45983	Q9NZC7
Q13573	Q9H9A6
P53985	Q13530
Q9BZS1	Q9H334
P63162	Q99963
P23258	Q9H0H5
P61981	Q86X27
P02489	P07315
P53816	Q9UMX0
P43694	P81172
P78527	Q9HB75
Q76I76	Q9Y281
P15509	P40933
P56945	Q08043
Q92561	Q96JG8
P18146	Q9HAZ1
O60262	P35498
P11766	Q13424
P06493	Q17RY0
O60296	P18505
P63104	Q99550
O14867	P15336
P14416	P63218
Q00839	Q13616
Q13573	Q92900
Q8TEU7	Q96QZ7
P00441	P16871
O43157	Q9NZN5
P04049	P31327
Q13535	Q9NVI1
406907	Q00534
P42166	Q9NX70
A6H8Y1	Q9HAW0
P12111	P18827
P25098	Q14161
P35575	P41235
P15121	Q96PZ7
Q86XR7	Q99836
P01889	Q15691
Q13535	Q8WVM7
P04439	Q14954
P62910	P62917
P43364	Q8TDX5
P26012	P46108
P15498	P43403
P62136	Q7Z3T8
P53803	Q9NW08
P51991	P84103
P08238	P41279
P16150	P35222
P61981	Q9NYF5
P09874	Q8IW19
P01889	Q9H773
P41743	Q16543
Q6PEY2	Q9Y6G9
O00220	O14763
Q16512	Q86YW0
O95379	Q12974
P14923	Q13315
P16104	Q8NEM0
O94806	P63027
O15264	P14625
P12814	P26012
P01242	Q5VWK5
O75448	Q15796
O96019	Q96JC9
O00206	P55085
P01889	Q9GZX7
P06748	Q99459
Q01082	Q9UKE5
O43521	P01106
P08107	P14625
P16871	P30626
P23258	P68363
P23458	Q92569
P21741	P22735
O60296	Q8N1C3
Q14192	Q9NP73
P08134	Q9P286
P46940	Q2TAY7
P25445	Q06187
P69905	Q9NZD4
P12004	Q14164
O75494	P08621
P12644	Q13873
O60244	Q6P2C8
P06239	P23471
P43686	Q13200
P61964	Q9Y5Z7
O76024	Q16659
Q13835	Q969Q5
P29459	P31785
O43809	O60500
P06899	Q9UKV0
P30260	Q9NZH5
P04637	Q53T94
P0C5Y9	Q8N257
P61313	P62424
O76039	P06241
Q14469	Q9NPI8
P35998	Q13573
O75083	Q15477
O60341	O75362
P43403	Q9UQC2
Q8TDR0	Q9BVA1
Q9H0Y0	Q9H1Y0
O95433	Q9UN73
P62330	Q969V3
P62158	Q8NFM4
P09769	Q92608
406933	Q96JJ3
P60709	P63104
O14640	Q969F2
Q04724	Q13620
O00410	Q401N2
P47898	P50151
P16104	P51531
P62805	Q9Y6Q9
O95067	P30260
P15260	Q8IZI9
P46063	P52292
P51692	Q8WXH5
Q13573	Q15427
P41594	Q13555
Q66GS9	Q9P2S5
Q8IXI1	Q8N392
P05231	P16471
Q9NWZ3	Q9Y4K3
P31152	Q15633
Q13702	Q9H8Y8
O00444	Q9HC77
P01589	Q8IZJ0
O00231	P04637
Q13255	Q86YM7
P15151	Q495A1
P53350	Q16659
P25445	P62834
P51828	Q13557
P45973	P46100
51639	O00442
P38405	Q8NGX5
P54274	Q9Y2X7
P12882	Q9NRG4
Q92769	Q9UQ80
P18848	Q9NRI5
406906	P50995
P23443	Q9Y243
P08754	Q9UBS5
O95136	P63096
O60671	Q9GZQ8
O15021	Q15797
O00221	Q9UPN7
O60936	Q9UKS6
P16471	P50570
O43353	P19438
P60709	Q9UKX3
P62277	P62851
Q8ND25	Q969T4
P20333	P39656
P35626	Q9NZP5
P26951	P62993
P21796	P38646
P46776	P49207
O60732	O75964
P22612	P53779
P09016	P12980
Q7Z6L1	Q8WVT3
P05556	Q96P44
P49903	Q8N8V2
Q96EE3	Q9NRG9
P30519	Q9Y2X7
P07948	Q92608
O14807	Q8IV61
P06241	P27986
O15537	P13637
O95232	Q13535
O43676	O95182
Q6FHJ7	Q93097
P32302	P52333
P55157	Q96RT1
P62879	Q14416
Q86Y13	Q9NQZ3
P54920	Q13507
O43524	Q13043
P08514	P18084
P19387	Q9NWA0
Q9Y3B3	Q9Y4K3
Q96EY1	Q9GZX7
Q04206	Q96EB6
P60842	P78344
Q13363	Q13465
O00168	P50993
Q16637	Q96HA8
P13747	P26715
Q14653	Q7Z2W4
P08514	P46109
Q8WYR1	Q9HAV0
P01589	Q9HBE4
P20073	P68104
Q8IV45	Q9NWZ3
C9JDP6	P56747
A6NIJ9	P35626
P60568	Q14627
P17275	P56279
P07359	P42336
Q9H6Y7	Q9P031
P06748	P19338
P24941	P25205
P11171	Q15078
Q14164	Q9Y3U8
P27361	P63000
Q92831	Q9Y605
Q13573	Q99661
O14513	P55157
O60784	Q15075
P48551	Q9NYY1
P62070	Q92569
P49841	Q9Y243
Q9H422	Q9UGP4
O43508	Q9NP84
O14929	Q16695
P00519	P46937
O14763	Q12933
P00742	P01008
O60266	Q13557
P45973	Q9H081
P56945	Q9UKX5
Q7L0Q8	Q9P286
O43390	P62633
P16188	P30457
Q8N6F1	Q8N7P3
P20807	Q7Z6G3
O00116	P01106
P06454	Q14103
O14965	O95685
P48549	P50151
P19793	Q2M1K9
P09651	Q13247
P22455	Q9NP95
P05106	P07947
Q12824	Q68CP9
Q9BRR9	Q9H4E5
O00329	P31785
O00471	Q07890
Q13247	Q86V81
O43561	Q13588
P32455	Q00978
P46108	Q7Z408
P11245	P41227
O43187	Q5D1E8
A6NM45	O95832
P98171	Q92730
O94822	P62837
P06400	P28340
P51532	P63104
Q13315	Q9UGJ0
P84022	Q93009
O14920	Q13489
P61313	P62891
Q8TBB1	Q9BQ66
P16104	Q99879
P46459	Q9HC98
P27037	P55103
P69905	Q05086
P63208	Q9UMR2
Q13748	Q9BVA1
P33991	Q99459
O15357	Q8IV36
P50914	P98175
Q13485	Q9UBW7
Q92993	Q96SN8
P49642	Q9Y230
Q08334	Q13007
O15530	Q16827
P21333	P49768
P21580	P58012
Q15796	Q9NQ69
P46531	Q9Y644
P11926	P84022
Q07021	Q9HBU1
P30480	P35080
O96019	Q86U86
P32246	P63096
P17612	Q99819
O43379	Q5T3J3
P62258	Q9GZM8
O43261	O60383
P61224	Q13905
P01112	P62993
Q16630	Q53G59
O75771	Q06609
P31946	Q96CV9
P57723	Q15365
O75581	Q9Y6F9
O43559	Q15046
P16333	Q9Y4K4
P35626	Q8N127
Q01844	Q9UHX1
P62993	Q05193
P18564	Q13683
P16104	P62987
O00339	P08572
P40855	P56589
P08173	Q13596
P78406	Q8N1F7
Q14209	Q14566
Q12986	Q14103
Q9NPD8	Q9NVI1
P32121	Q8NHC4
Q02763	Q12913
P00403	Q13191
P01243	P17980
Q16625	Q8N7P3
Q8IYW5	Q9Y3C5
O43301	Q96KG7
P13805	Q9H5H4
P07585	Q05707
Q13573	Q9UKF6
Q09028	Q15022
P14672	Q02078
O00291	P09496
P62873	Q14831
P22694	P52945
P18146	Q5RI15
Q96LR5	Q9UII4
Q00403	Q92793
P30050	P62888
P18146	Q9NS87
Q99880	Q9UKV0
Q8WXG9	Q9HBM0
O95391	Q6P2Q9
Q05586	Q13255
O00459	O14807
P18074	P32780
P41227	P51116
Q8TEM1	Q9BW27
P35626	Q96R69
Q09028	Q4LE39
P01100	P19784
O95168	P03923
P26441	P48357
P35268	P84098
O14733	Q99683
P05814	Q9H0E2
P16220	Q12979
O00574	P51671
Q13573	Q96GD4
P12757	Q9UNN5
O14980	Q96RS0
P42677	Q9Y328
Q96EQ8	Q96LR5
P01236	P52333
O00459	P50150
P23025	Q9HCS7
P31995	P62993
O00488	P62820
P04626	Q12913
P01241	P61326
P42261	Q12879
Q13573	Q9NQW6
O75578	P13942
O14980	O15392
P20073	Q9H324
P12236	Q9UPY3
P0C1Z6	Q9Y265
Q9BPZ7	Q9BVC4
Q8TAE8	Q9NPD3
O95229	Q8NBT2
P32241	P62158
Q07820	Q96LC9
P53602	Q13541
P58062	Q8N339
Q13257	Q9UJX4
O75084	Q9Y6F9
P06493	P17302
Q99961	Q99962
P26038	Q9Y4K3
P05787	Q9H0R6
Q93098	Q9ULV1
P04839	P53778
P08631	Q9UQC2
P43686	Q92753
P13569	Q8WWM7
P54253	Q93009
P84103	Q9BUJ2
Q9H9Y6	Q9UIG0
O15455	P42336
P62987	Q05195
Q9NQ66	Q9ULW2
Q9BXW9	Q9HB96
P45983	Q14934
O75925	P11831
Q8N684	Q96CN9
P01563	P48551
P18146	P32418
P35749	Q9P2S5
P78527	Q15596
P51668	Q86XR8
P10809	P15104
O14543	Q99650
P32121	Q8NGK1
O00429	P06493
P12532	P63104
Q9UKX5	Q9UQP3
P63096	Q14832
O75676	P18848
P35544	P63220
Q00839	Q01130
P13945	Q5JWF2
A6ND36	Q15796
P02462	Q9UKX5
Q08334	Q9HBE4
P41221	Q13485
P26232	Q9UDY2
Q8NHQ1	Q96BR9
O95865	P18754
Q15047	Q9NPA5
O95996	Q9BZK7
P22626	P26368
O14929	P68431
P07498	Q16531
P54725	Q13501
O95819	Q9Y6K9
P22612	Q14643
P01566	P16871
P08887	Q8IZI9
P25686	P62979
P30939	P50150
O95405	Q96RT1
Q03468	Q13619
P40763	Q92993
P22459	P78352
O75815	P35637
P35372	P62873
P26885	Q9Y6D6
P61952	Q9UBY5
P48357	Q8N5S9
P53350	Q71F23
P42684	Q13671
P04899	P14598
P05112	Q01113
P16234	P46108
Q14185	Q92556
O60674	P32302
O00232	Q9UNM6
P12757	Q07954
Q5RL73	Q9BX70
P60520	Q86V97
P49841	Q92569
P09651	P38159
P19174	P62993
Q8WVM8	Q9H9E3
P31947	Q9Y4H2
P16070	P16157
P52736	Q16659
P56750	Q07157
P51686	Q16627
P05114	P22492
O95400	Q14558
P15927	P54132
P09543	P48039
P22612	Q9UF02
P08134	Q52LW3
Q00975	Q9P2W3
Q09028	Q9HCU9
Q15475	Q15834
Q16739	Q16799
P08151	Q8N752
P98170	Q9UHD2
P16220	Q9H9S3
Q13573	Q92608
Q14807	Q16891
P01571	P01589
P31644	Q9H0R8
P23945	Q15329
P10912	P22681
Q96CV9	Q9BTV5
P27448	P62258
O76093	P08138
Q9H853	Q9UBN7
Q9NRR5	Q9UKW6
P09619	P35568
P36954	Q9GZS3
P30411	Q9UBI6
O00255	P09630
P78371	Q15257
P18858	P41220
P04626	P78314
Q14524	Q9NY99
Q86VX9	Q9P253
P56706	Q92765
P01106	P62136
P23560	P42858
P01730	P08637
P01730	P61073
P51116	Q9UIC8
O75448	P49336
P18754	Q9Y4K3
O43918	P00519
P13612	Q13477
P38405	Q8NGE7
406947	O00470
P00533	P05783
Q16637	Q8NFF5
Q16566	Q70SY1
P10914	P25791
P62318	Q15428
O00459	P09619
O14508	P52630
P12107	P13612
P15153	Q07889
Q03001	Q13952
O00548	Q9Y219
O75365	P51571
P98170	Q13490
P18846	Q16539
P08138	P16104
O15169	P25054
Q96KB5	Q9Y2Q3
Q14147	Q9UK32
P83916	Q16695
P37173	P61812
P25205	P42224
Q9NRI5	Q9UPT5
P20073	P25054
P11586	Q9UKE5
P13804	Q9Y4K3
Q13068	Q8NEA9
O14641	Q9Y4D1
P14778	P46734
Q86YM7	Q9Y566
P01111	Q13671
P35658	Q5SRE5
Q14197	Q9UJZ1
O60674	Q99683
Q8N3U4	Q9NP77
P01570	Q99665
Q92845	Q9NWB1
P08581	Q13480
O60266	P08754
O75347	P04222
P63000	Q96HP0
P18146	Q9HCM9
O00560	P30203
P43360	Q9Y679
P24530	P30679
Q12852	Q16659
P32121	Q8NGY9
P68366	Q9UBN7
P02647	P16871
P13569	P56470
P49792	P63279
Q09472	Q99966
P27361	P84095
P11169	Q14789
P30304	P63208
P61927	P84098
O14641	Q05655
P10244	Q92769
P38432	Q96JN2
P35626	Q96R45
Q13042	Q9UJX5
P12980	Q969V6
Q01844	Q9NQA5
P15153	Q53QZ3
P35626	Q8NH19
P19235	Q16619
Q13485	Q9BQ65
P60953	P62834
O95257	P24522
Q02928	Q07869
P84022	Q13643
P46527	Q16254
P38405	Q8NH50
Q07021	Q13242
P01116	Q3MIN7
O75800	P49711
P19174	Q06187
P61586	Q96BY6
P57739	Q8N7P3
O00255	P51610
O14775	O60262
Q5VU97	Q9ULJ6
P46060	P63279
P62714	Q66LE6
P14316	Q01167
P16333	P20936
P31947	Q96IF1
P01889	P21266
Q14197	Q9H2W6
Q15648	Q9Y4A5
P04637	P42771
O00187	P01024
O60641	Q6WCQ1
P22612	Q15759
Q13315	Q16695
P00533	P17706
Q96JQ0	Q9UIF9
Q07890	Q5T5U3
P00742	P13726
P05106	P56539
P16871	P26447
P13725	Q99650
P21796	Q15459
P13639	Q9UGJ0
Q08828	Q9HAV0
P04406	Q13268
Q13009	Q96L33
O00487	Q9BRP4
P43307	P68104
P20941	P51817
Q8IVH8	Q92905
Q96PU8	Q9NQZ3
O75533	Q96I25
P32121	Q8NGN0
Q15303	Q92569
O95376	Q9HC35
P05019	P07333
Q13505	Q9HC24
P63096	Q08462
P15018	P48357
P16220	Q9Y6M4
P51955	Q5VU43
P21673	Q9BQ70
P21580	Q92985
P08865	P42677
P01100	P35222
P21333	Q9UKX5
P16152	Q9Y478
P63167	P78352
406888	Q92945
O95704	Q9HBG4
O15350	P25445
Q3MHD2	Q6XUX3
P25445	Q12933
P01106	Q96MG8
P09471	Q9NPG1
P62805	Q9NQ92
Q96LR2	Q9BT49
P22681	Q13651
P35221	P62258
P21675	Q15545
P36897	Q13485
O75530	Q13619
Q6ZU52	Q96EV8
O00422	Q86Y56
P01135	P08069
Q14161	Q86VW2
P08631	P19338
P26639	Q13315
P25788	Q5VTD9
P51946	P68400
O60828	Q9Y3C7
Q15172	Q86YF9
P46531	Q9UBG7
Q08211	Q13243
P50591	Q12933
P22694	P52565
P62955	Q15173
P01106	Q9Y5Q9
440264	Q07021
P04626	P42680
P18564	Q9HBI0
Q14192	Q9UHX1
P41091	Q9NR50
P21802	Q00722
Q8IU60	Q9HAU5
O94916	P05412
P53621	Q02978
