#node1	node2
O14832	Q9P2S5
P01876	Q9C093
Q09472	Q13554
P04839	P14316
Q00005	Q8IZS8
P08581	P15692
Q9BQG0	Q9Y5X4
P13725	Q8IU57
O43557	Q12933
P16871	Q8IU54
P30460	P30504
Q07866	Q92905
P21796	P60520
Q8WWC4	Q92956
P08908	P63211
P60953	Q6DT37
B1A4H9	P19235
P11171	Q15631
P61981	Q9Y2U5
P23458	Q8N6P7
P29590	Q13155
P04637	Q9NPP4
P61586	Q8IZD9
P32121	Q96R45
P61586	Q9P107
P16050	P42226
P19532	P49321
P61201	Q92905
O95622	P63218
P08865	P62277
P56704	Q9Y5W5
Q8N1F7	Q9HC98
O14514	P04637
P01106	P28070
O94916	P48454
P35609	P53708
P13010	P16104
Q5JR59	Q9H4K1
O60583	P10914
Q9HB71	Q9UFF9
P09496	Q9NZN4
O95918	P35626
P41235	Q15649
Q16630	Q9BSL1
Q15714	Q16531
O00574	P22362
Q99459	Q9NRL2
O60237	Q96A00
P00533	Q99558
P02768	P02787
P62306	Q9Y5J5
P01876	P02671
Q14332	Q9Y6F9
P55072	Q9BZE9
O60921	P15927
P06493	Q9BZB8
P38398	Q10586
P56524	Q93079
P18827	P22105
P38398	Q86YC2
Q96JQ0	Q96RG2
Q07890	Q9P227
P62899	P62913
O14920	P04637
P52434	Q9Y250
P03372	Q9Y6C7
O00626	P25025
Q12905	Q99459
Q8IX90	Q96BD8
P62424	P63173
P35244	Q2NKX8
P62258	Q96B36
P51784	Q15831
P51668	Q969V5
P20226	P52655
O75376	P51608
P11142	Q01201
P10828	Q92569
Q9H0R8	Q9Y3P9
P22301	P38484
P07996	Q13683
P35916	Q92913
O15144	Q9Y4K3
P27482	Q8IY92
P01563	P16871
P68431	Q96KQ7
P60903	Q15047
Q13315	Q9Y4B4
Q12933	Q5VWQ8
O43353	Q8N5C8
Q13472	Q9UER7
Q13535	Q99426
P30048	Q8TAX7
P07437	P25963
Q13620	Q86VZ2
P35609	Q99700
P62136	Q9P2K8
P15391	P42338
O75419	Q9BRT9
