#node1	node2
O75674	Q92879
P62140	Q9Y243
P35659	Q9UER7
O14744	Q92561
O00401	Q15811
O96013	Q92730
P20336	Q01968
P45973	Q13185
P16144	Q05655
P55072	Q8TAT6
P40259	P51451
Q13137	Q9H6S1
Q14116	Q9NPP4
Q01813	Q9Y2Q3
P62993	Q92529
Q7Z3C6	Q8NEB9
O60262	Q08828
P26599	Q07955
P40145	Q9UQM7
P11137	Q13315
P51681	P61073
P42680	Q8WV28
P33076	P51532
Q15370	Q96S21
O95484	P56747
Q9C0E4	Q9NP73
P50150	Q00722
Q13547	Q9Y230
Q93074	Q9UHV7
O14653	O15155
O15519	Q07817
P46379	Q13190
P05106	P05997
O75197	Q93098
P51116	Q9UI14
P08700	Q9HC73
Q92569	Q9P2W3
Q53QZ3	Q9HBH0
P20749	Q92993
O00410	P18124
406900	Q8WY64
O60258	P06213
P14174	Q9UET6
P15153	P98170
O75116	P61586
Q5T3J3	Q8WVZ9
P23508	P35606
P51965	Q5VTB9
P01876	P49221
Q53EL9	Q8NE62
Q15843	Q9NR80
P36897	P62979
P42768	Q99755
Q15052	Q9P286
P54710	Q8WYR1
O00459	P14778
O95407	P48023
P01889	P10966
P21246	Q9UBS4
P18564	P26006
O95715	P32302
Q07890	Q13009
O43353	P04350
P35626	Q8NH40
P38646	Q9Y2C9
O00329	P11362
O14490	Q96FJ2
Q09013	Q9NRR5
P08195	P17931
O00311	P11802
P14618	P49407
Q5VVX9	Q9C040
P08246	P20160
P09651	P31942
P04280	P29590
O00472	Q9BTT4
P46020	Q8TD86
P78362	Q14498
P35225	Q13283
P15153	P19878
P02458	P17301
Q96J02	Q9Y3C5
P00533	Q00325
P16220	P67775
O43505	O95461
Q10570	Q12996
O00329	P23458
A8MTJ3	Q9NYW4
574506	P24385
P29459	P48357
P10721	P21583
Q15750	Q96KR7
Q96GE4	Q9BVW5
Q8NHQ8	Q8TEW0
P01243	P84022
P63092	Q9HBW0
P38936	P62979
P56377	P61966
P16870	Q12789
P11274	Q5T2W1
Q13315	Q8IY57
O14543	Q99665
Q13077	Q14790
P56747	P78369
P31751	Q06190
P00519	Q08209
Q07817	Q96PG8
P42285	Q15287
Q96BV0	Q9NYL2
Q8NFD5	Q92925
O75807	P36897
P01100	P28482
P63261	Q01094
P31785	Q9P0W0
P04085	P11362
P05067	Q92542
P55010	P55884
Q9NY59	Q9Y3C7
O95166	Q86V97
P15260	P40933
P30480	Q15643
Q15714	Q5XKP0
P61586	Q8IWW6
P15056	Q16659
P08100	P08651
P11215	P48736
P02794	Q8IWV7
O00311	P42771
P62280	Q99608
Q96NA2	Q9BUF5
Q04721	Q8IZL2
P17980	Q06323
P08311	P50453
Q9NPI1	Q9P2D1
P01571	Q14653
P14778	Q9Y616
P40939	Q9GZQ8
P62136	Q8IWU2
Q02156	Q9NYA1
O15534	P51608
Q12906	Q9UL18
P08238	Q9NSE4
P12931	P84996
P61421	Q8TE12
442896	Q9Y2Y9
Q00610	Q14164
P31749	P54253
P30154	Q9UF02
P04637	P63165
P01100	P15408
O75400	Q5T4S7
Q08945	Q9NR30
Q7L5N1	Q99417
O43427	Q9H0A6
P40238	Q9UHD0
O15379	Q96QV6
P56524	Q13554
P11488	P35913
P01589	P48736
P17612	Q9BXT2
P39687	Q13077
P09455	Q13547
P14780	P42830
P28482	Q9NQ66
P27361	Q9Y4H2
Q53F19	Q8TAD8
P08069	P63104
P25025	P80075
P19387	P19447
Q8N474	Q9GZT5
P06899	Q8IUE6
P02751	P98095
P38398	P56545
P62875	Q71UI9
P16473	Q03113
O95500	Q8N7P3
Q14194	Q9BUJ2
P24071	Q8IYS5
P10275	Q13889
Q16637	Q6UXH1
Q14457	Q9H714
P49005	P62312
P54289	Q9Y2T4
Q9NQB0	Q9P1Z2
O14745	P13569
P14778	Q13158
O60260	Q13155
Q13155	Q9Y4K3
Q92874	Q9H2G2
P00533	Q9NYD6
P46783	P62249
Q9NRG4	Q9Y2J2
O94805	Q6STE5
O95990	P08670
O75015	P20963
P32121	Q8NGL1
P01106	Q9Y6Q9
O95661	Q01094
P22607	Q92569
Q14157	Q969T4
Q9H4L4	Q9UNE7
P49796	P62258
Q08999	Q9UQ80
P31751	Q9Y4I1
P50148	Q92997
P62875	Q8WVC0
P54840	Q9UGI9
P30876	P62875
O15169	P23258
P23508	P35580
P53779	P63211
P01892	P10966
P00451	P07225
P10242	Q9H2X6
O14776	P08107
P63279	Q86Y13
P18827	P53420
P16499	P62873
Q99081	Q9Y2D9
P05976	P62736
P06213	Q9HCT0
O95865	P61224
P63218	Q99677
P82932	Q9P2H0
P63104	Q14980
Q9H8Y5	Q9UBS4
O14949	Q96JG8
P22694	Q9UGJ0
P01375	P53779
O95500	Q9UDY2
O00459	Q9Y6Q6
P21673	P32456
P31947	Q99959
P50539	Q6XUX3
O75448	Q9NWA0
P27986	Q9H4E5
P62277	P62993
P04637	Q8N488
P06730	Q8IWZ3
P05186	Q13114
Q08379	Q92542
O43524	P29353
Q8N4C6	Q9Y224
Q00610	Q9H4A3
P43487	Q9UET6
P14784	P60568
O43657	Q5UIP0
P05997	P06756
Q15834	Q96BY2
Q8NHQ1	Q9UBS4
P10071	Q15915
A0JLT2	P24863
O43684	Q9H1A4
P26641	Q9H4M7
P17252	Q8NFM4
O00555	Q9UBI6
Q16651	Q6VMQ6
Q15022	Q92800
Q01196	Q99607
P62241	P67870
P26368	Q13242
P09382	P16871
P08069	Q9NP95
O75448	P28702
Q16539	Q92994
P35626	Q8NGY6
P29597	Q92783
P07949	Q9H4P4
A6NMZ7	P05556
P07992	P43246
P39019	P62263
Q9P2M7	Q9UDY2
P01571	P78552
P61981	Q08170
P35626	P58182
P26651	Q9HAU5
Q00403	Q09472
P16070	P21926
P41220	Q00765
P23396	Q99558
P45984	Q9Y6W6
P18146	Q9BW85
P84022	Q9NYA4
P22301	P35228
O14512	Q14626
P35222	Q9UI14
Q99755	Q9Y6U3
P43005	Q01844
P03971	Q04771
P49639	Q9BQ66
Q14103	Q8IYB3
P62195	Q5VTR2
O43921	P08581
P19532	P35244
Q9BQ95	Q9Y375
P04085	P08581
P04155	Q9NRR5
Q66LE6	Q96Q15
Q15428	Q9Y6A4
P04183	Q7L5N1
P60709	Q8NHR9
P61088	Q6UWE0
P35268	P46778
Q14457	Q9UNL4
Q14197	Q9NP92
A6NMS3	P38405
P22301	P51617
P60763	Q9H0H5
P25054	P49790
P63104	Q04837
Q13555	Q13936
P18827	P20908
P06400	Q99933
O00716	P14635
P07339	P28482
P84022	Q15459
O75663	P67775
P30304	Q04917
P01889	P10768
P41091	Q9UI10
P84101	Q93062
P51116	Q15233
P07306	P56199
406971	O00716
P10646	P12259
P21728	P30542
Q7Z4S6	Q99459
P08253	P17931
O00144	Q96HF1
P35222	P37173
O15144	P63261
P61923	Q9Y678
P19438	Q16695
P40337	Q15836
P06454	P08107
P05455	P63104
Q13573	Q8N684
Q16531	Q9H7D7
P41252	Q9Y4K3
P38405	Q8NGX9
Q04206	Q04917
P10721	Q9NRA1
O15198	P61968
Q9BWW4	Q9UPN9
P48443	Q92769
P53680	Q9NZN4
O75486	Q9Y4A5
P07900	Q06455
O60262	Q9H1C0
Q9BZH6	Q9H0R8
P35626	P47887
Q4G0J3	Q8IY92
Q15365	Q9BTD8
P54257	Q9Y6V7
P49841	Q13418
Q92833	Q9H9B1
P11926	P67870
P07196	Q16512
Q04206	Q13748
P62873	Q13936
P38405	Q8NG85
P15509	Q9GZX6
P27986	P42681
O60739	P62249
P51965	Q86Y01
O43677	Q86Y39
O60262	Q00975
P10914	P17693
Q16777	Q96DB2
Q13823	Q9NX58
P14618	P63104
P50151	P53778
P09429	Q08117
P43686	Q9UL46
O14920	Q99759
O95741	P18146
P62140	Q16816
P62993	Q14451
O43633	O75351
Q9NRR5	Q9NRV9
P62701	Q13233
Q13275	Q8TBE7
P53365	Q13352
P35998	Q99459
Q12772	Q15907
Q16514	Q86TJ2
P62269	Q9UKV8
P24666	Q5T0N5
P07910	Q05519
P10600	Q9NNX6
P09104	Q5JVS0
P52298	P52597
P29597	P40238
P27361	P35568
P04637	P68104
O43405	P02452
P09936	P83916
O75365	Q9HAV4
P01563	Q13261
P20749	Q00653
P60763	Q7L576
P62745	Q13153
P25787	Q99436
Q01101	Q13368
O75400	Q9Y4E5
P63215	Q9NQ66
O43318	P07900
O00590	P13501
P42680	Q13094
P17612	Q5MIZ7
Q8N6P7	Q9NYY1
P49790	Q92621
Q13635	Q99835
P15391	Q8WYR1
Q8IW50	Q9UFN0
406953	Q16827
O43318	Q04759
O14788	Q9H814
P38936	Q9Y600
O15198	Q9H3U1
O95644	Q02078
P49006	Q05655
O75533	Q10586
Q5UIP0	Q9BWV1
P55211	Q13635
O60238	Q8NBE8
P56706	Q92765
Q00005	Q9ULJ3
P19623	Q14164
Q9H5J8	Q9UNN5
P06213	Q13191
P18084	Q01955
Q8TDG2	Q9ULL4
Q15714	Q9P035
P01106	P36955
O00506	Q08379
P27986	Q96T58
O75251	Q9Y6M9
P08514	P24043
Q92698	Q9Y383
P16520	Q14831
P62873	Q08828
P09923	Q14240
O60907	Q16778
O14827	P61952
P63218	Q92633
P53420	P98095
O75182	Q05516
P49841	Q9Y600
P48643	Q15257
Q01094	Q01831
Q8WYR1	Q9Y243
P10147	P41597
P54253	Q5HYC2
P06729	Q9Y5K6
Q16635	Q99594
P16220	P43146
P03915	Q9UI09
O15360	Q86U86
Q00005	Q13522
P32246	Q8NHW4
O43749	P32121
Q12824	Q13315
P18146	Q12796
P21860	Q4VC44
O14640	P09471
P35638	Q96HE7
Q15102	Q8WUX9
P46092	P49407
Q13530	Q9Y277
P55735	Q15436
P50570	Q9UJU6
P12036	Q15759
P06493	P61024
B1A4H9	P08887
P16520	Q00975
P51956	P52735
Q16514	Q8NEM7
P49459	Q8IWV7
O60477	Q14164
Q14103	Q8IX12
P17480	P21675
O95155	P10144
P13725	Q5VWK5
P20042	P55010
O95931	Q9BSM1
P19525	Q01094
O15379	P40763
P42229	P45983
O43240	Q5T3J3
P22694	P46019
O95832	P18146
P60520	Q8TD19
P13236	P51686
O95376	Q712K3
Q13387	Q8WXH0
P35626	Q9H340
P34820	Q96NZ8
P01584	P19838
P40763	Q9UM73
P05026	Q9UEF7
Q8IU60	Q9NPI6
P19105	Q9Y572
Q13573	Q15393
P63211	Q9UBY5
P01242	Q9HC73
P51991	Q8IWZ8
P21730	P39019
P55081	Q13573
Q15714	Q8NEZ4
P60891	Q9H8Y8
P16520	Q92569
P42574	Q07820
P54578	Q15819
P0C0S5	Q13547
P01584	P29466
P01106	P78330
P49703	Q04724
Q6UW56	Q93052
P23246	Q13535
P10916	Q99972
P28702	Q15788
Q99459	Q9UJX2
P08670	P23490
O94972	Q13077
P22607	Q99963
P05386	Q92901
O75943	Q99638
P42684	Q13315
P0CG48	Q13191
Q9GZV5	Q9UKB1
Q96QB1	Q9Y5J5
P11215	Q15582
P48454	Q13042
P06899	Q9Y4A5
P49286	P62873
O75306	Q16718
O75376	P15036
P10912	P13725
Q9H8Y8	Q9P2J5
P25024	P51671
P0C869	P19174
P21333	Q15399
P16284	P29350
O15111	P98177
P10276	P78413
P37231	Q96EB6
P12273	Q13315
P07910	P19525
P01106	Q9UHI6
Q14289	Q7Z6J0
Q02763	Q6S5L8
P06400	Q8NFD5
P08069	Q92915
406988	P15692
P31947	Q6DT37
407007	P46527
P63279	Q06265
P53779	P54829
P05556	P22105
O96017	P52292
P30518	P63092
O15350	Q01094
Q08043	Q86UL8
P13569	Q96D71
P48730	Q96B18
P46783	P62244
P13984	P27540
P01574	P38484
Q9BQ39	Q9UL18
O43681	P04183
Q8N163	Q9P1U1
P61978	Q15428
P17612	Q8IWT1
P13073	Q8IXH7
P53618	Q02156
O14763	Q00653
P31948	Q9P2S5
Q13573	Q92769
P32121	Q8NGM8
O43707	P06756
P30622	Q15691
P68431	Q8N806
P00533	Q9Y371
P05771	Q9UKL4
P63092	Q8NFM4
O60641	Q96PH1
P16220	Q8WWB5
Q96DN0	Q9NRR5
O14867	O15525
P51610	Q9NRF9
P63244	Q96DF8
P12814	Q9NPC6
P16333	Q9UMY4
P23760	P56693
O95747	Q13573
P05112	P08887
P01106	P04626
P52198	Q9P286
P13498	Q15759
P12830	Q07889
P04637	Q00987
Q13332	Q16849
P0CG47	Q16621
P20701	P52735
O43921	P16234
O43809	Q9H4B6
P08865	P61247
Q96DU7	Q9NZT1
P06400	Q02363
O60684	Q9Y6F8
P07333	P46108
P68431	Q9UPS6
O14939	Q13393
O15145	P56470
P25205	Q15714
P31152	Q13163
P02788	P61626
P46531	P78504
Q86YM7	Q9UPX8
O75578	P63261
O95471	Q9UDY2
P52565	Q99729
P02461	P07384
P46527	P62993
P21917	P62873
Q96SB8	Q9NXX6
O75038	P14314
P48634	P54253
O75363	P63167
P24522	Q8TAQ2
O60759	Q15438
O95084	Q99653
P62249	Q15628
P0C0S8	P62807
O60739	P84090
O75116	P35579
P22455	Q9H4P4
Q15653	Q8NI77
P12110	Q9UKX5
Q9Y3U8	Q9Y4K3
P27986	Q92569
Q04206	Q16548
P01112	P12270
O60739	Q9UHV9
P01106	Q9NYK5
Q04206	Q96C36
P27708	Q13546
P01127	P02452
P38405	Q8NGD1
P08581	Q01970
Q13573	Q9BWF3
P04745	Q4L180
P03372	P08069
P01133	P17948
Q8N392	Q9HBH0
P52292	Q9UH99
P0CAP2	Q86VK4
P20809	P48551
P08473	P10275
P62140	Q8TD86
P05114	Q02539
O75528	Q9Y4A5
P54710	Q13976
P08588	Q5JY77
P08107	P12830
Q13315	Q6P4R8
P25963	P63165
P45984	Q9UK08
P35626	Q8NGV7
P08195	Q9H173
P14625	Q12904
P03372	Q13569
P21281	P61421
Q12933	Q15654
P04899	Q92806
P28799	P54259
P22607	P52803
P08133	Q07157
Q00987	Q9H832
Q70SY1	Q92793
P01584	Q9Y239
P02538	P02768
P02647	P17931
P62258	Q99759
P00533	Q6WCQ1
O15504	Q8TEM1
P01106	Q8TD16
Q13547	Q92769
O14757	Q9NY61
9757	P68431
P35626	P41597
P53778	Q07812
Q13435	Q9BPX7
O00221	Q92974
P05556	Q05397
P62993	Q9Y2Q3
P04406	Q13268
P52298	Q09161
P04004	P56199
O95149	Q9UPP5
P36873	Q04912
O15504	Q92621
O43639	Q05397
P00519	P60763
P01241	Q6UXL0
P01106	Q9HC56
O75807	P08107
P17066	Q00653
P63165	Q9P0U3
P51532	Q969G3
Q32MK0	Q9BUA6
O43464	Q13490
P18146	Q96NL0
P46108	Q92608
Q9UK45	Q9Y333
Q8IYT8	Q8TDY2
P09874	Q16665
P23508	P51452
P25208	P69905
Q96AH8	Q9NY65
O00217	Q9P0J0
P20823	Q9P015
P14635	Q9BS18
P19012	Q9P2K3
O75038	Q9NRD5
P51817	Q06432
Q05516	Q9Y6X2
O43541	Q16659
Q12873	Q8NC44
O94874	P51965
P37231	Q09472
Q70SY1	Q9Y243
O14543	O15530
P33992	P42771
P16333	P52757
A5YKK6	P78543
P51610	P68400
Q15013	Q9Y6D9
P42766	P62424
P35637	Q13243
P10275	Q92769
P58335	Q15796
P06241	P06493
P07333	Q9NRA1
Q15788	Q9UPX8
Q12933	Q16584
P15509	Q01196
P68104	Q9NR28
P09919	P17181
O14920	P07900
A6NM45	O95484
C9JDP6	O00501
Q14457	Q7Z3C6
Q53SF7	Q9BY11
P61981	Q9UQB8
Q14194	Q96AE4
P08579	P23508
P15923	P33076
P15880	P38936
P50150	Q01668
P55036	P55209
P48729	Q13158
P11474	P33316
Q9BQA1	Q9UKV8
Q8NHZ8	Q9UI95
P51681	Q96IZ7
P01243	Q9UM00
O60403	P38405
P46783	Q9Y6K9
P49674	Q9NRX1
P01106	Q13519
Q13573	Q86WJ1
P09038	P35916
P00533	Q7Z7G1
P36888	P42338
P24666	P54762
Q86V24	Q8N5S9
P11836	Q15306
P01876	Q6PD62
O00168	P05023
Q13573	Q9BZZ5
O43768	Q96SI1
O75367	Q8N257
P01116	Q92565
P17612	Q01814
P43405	P62330
Q13547	Q86YP4
P15153	Q9NQU5
P61313	P61513
Q15393	Q9UL18
P34998	P35626
P05412	P29459
P19105	P61586
P07900	P19784
P22626	Q14683
P46531	Q92831
Q00597	Q8IYD8
P28340	Q15054
Q15637	Q96I25
Q13247	Q96GM8
C9JDP6	O95832
P04183	Q05516
O75159	Q15370
P13765	P28068
Q92599	Q99963
O00587	Q99466
O75376	P10275
Q08209	Q96LZ3
O60262	Q14832
P21281	P21796
Q9UKX5	Q9Y4G6
P12107	P18084
P35225	P78552
P11182	Q12857
O95072	Q15172
O76093	P22455
P30793	Q99962
O15111	Q13797
P01106	P05412
Q14566	Q9BWG6
P08133	P16104
O95347	P49662
Q06330	Q96JK9
P01889	P61289
P18146	Q96J65
P49759	Q13427
O00574	O00626
P17066	Q99836
P52888	Q99547
P31689	P62258
Q9H672	Q9UBF6
P24864	P30291
P08047	P15311
P49023	Q08043
Q12933	Q9NS68
P00519	P38398
P04637	P25445
P46778	Q9UQ80
P46531	Q13573
P10275	P62826
P61353	P62829
P18146	P36507
O96019	Q9UJX2
P04899	P49019
P06241	Q13322
P08754	P30411
O60840	P09471
Q8N7W2	Q9H8W4
P12931	P61981
Q8IV36	Q96D15
P62879	Q14164
O14503	Q9H0E2
Q15797	Q5T5Y3
Q8N5S9	Q9NZT1
P09429	P43246
P30679	P41594
P04637	P09874
Q12873	Q9UBB5
P04085	P08138
P55036	Q13535
Q7Z419	Q9H832
P63098	Q9UJX5
P18077	Q02543
P07099	Q9Y261
O14640	P49407
P22492	P83916
P20585	Q8IY92
P12757	Q14112
O00587	P46531
P01569	Q14627
P48643	P67775
O43707	Q07157
P16885	Q16620
Q92569	Q9UN42
P05014	P42701
O60318	P60953
P38646	Q9UHD2
P49286	Q9UK08
P32121	Q15617
P61088	Q86Y13
O95475	P26367
P37231	Q6STE5
Q9HAV4	Q9HC98
Q13572	Q99459
P33992	Q9Y619
A0JLT2	Q9BVI4
P02768	Q68DD2
O14508	P14784
Q5RKV6	Q9NPD3
O75528	Q92830
P33993	Q7L590
O95750	P07333
P12931	Q13023
O95967	Q9NRT5
P15056	Q13177
O15372	Q14164
P29401	Q9GZN1
Q08495	Q9UNN8
P01137	P84022
O95402	Q16637
P39019	Q13573
P03928	P56134
O95484	Q8N7P3
P09919	P40238
P01106	Q9H160
P0CG48	Q15025
P27361	P27708
P22681	Q8IU57
P01243	P11586
P41595	Q13698
P41594	Q12879
P78560	Q13546
O15162	Q96H86
P63165	Q9UER7
P00519	P56945
P27037	Q15796
O15269	Q9Y5V3
P26583	Q9Y4K3
P51460	Q07666
Q15233	Q53ET0
Q9NX58	Q9UHA3
Q15834	Q9Y247
Q96QV1	Q99759
O15514	Q9GZS3
Q5JQF8	Q8IYD1
P49768	Q9NZ42
P21860	Q05397
Q6FI13	Q93079
P05230	P07333
P09651	P48634
Q15796	Q6ZW49
O14920	P63261
P11487	P16234
Q0VG06	Q9BXW9
P20702	P56945
Q8IYB3	Q9BUJ2
O60551	P20073
Q09028	Q9BTC8
P0CG48	P61224
P05129	Q13393
Q13315	Q14141
P13569	Q13952
O15239	Q9NX14
P35268	P62917
P83876	Q96DI7
Q14469	Q9BXW9
P09769	P98082
Q6ZVK8	Q9BPX1
P31749	Q9UKG1
P35968	P46940
O75477	P30086
O00591	O95166
O14818	P22392
O14640	P25054
O15303	P63096
O60258	P10721
693144	P04626
O15551	Q9UDY2
P31995	P35354
O75030	P35222
P14672	Q05513
O00459	P59768
P04183	P04406
P12931	Q9Y2U5
Q92851	Q9HAV5
P61106	Q14164
O00144	P56705
P01106	P24666
P98175	Q92620
O60711	P18146
P27361	Q9Y6W6
P02647	P09417
O15067	Q9H173
P27986	Q96Q35
P52294	Q16594
P63096	Q01668
P41182	Q99835
Q13315	Q9ULJ3
O15530	P27348
O94805	O96019
P00374	Q15388
P50750	Q9UHB7
P01579	P15509
P14866	Q14103
P62891	P62945
P67870	Q92769
P38936	Q75NE6
O95471	Q8NI35
P08151	Q9Y6M4
P06748	Q92769
P07910	Q86V81
O95832	Q8NI35
P32121	Q8NH59
Q93074	Q96HR3
O76071	Q96M83
P38398	Q7Z569
P36578	Q02543
O15085	O95433
Q16777	Q8N257
P17252	P50151
Q8TDZ2	Q9H0U4
P15502	P23142
P40939	Q9Y478
P01112	P06756
P17980	P61289
P09382	P25445
P56537	Q96EB6
P10276	P49792
P08708	P35544
O95619	Q96L91
P29972	Q8N5Z5
O76081	Q93045
P02778	Q99873
P19320	P31269
P35575	Q9Y478
Q08945	Q96A08
P01258	Q16602
Q9NX08	Q9Y320
P23508	P27695
P12004	Q9UNS1
Q13137	Q9Y4Z0
574452	P60484
P12429	Q96ID5
P04004	P13612
P04049	P31327
Q03518	Q14790
P57075	Q9UM73
P11047	P18564
P04183	Q8IXL6
Q5T0N5	Q9NT62
P21802	P22681
P11532	Q13315
Q16891	Q9Y2Q3
P55273	Q9HA65
P42680	Q07021
P15153	Q52LW3
P61981	Q9H4L5
P14784	Q92569
P15153	Q14185
P12980	P78543
P07585	Q14031
P22607	P35568
P09874	Q86W56
O43157	P15153
P52198	Q96QB1
Q13200	Q14164
Q9BYD3	Q9GZR7
Q5T013	Q8IUQ4
P28222	P50151
P10916	Q9BZL4
Q8IZC4	Q9BY11
P53779	P63096
P43360	P78344
O14908	P04629
Q13435	Q15393
O43439	O75376
P05026	Q5T3J3
P08571	Q04206
P08254	P16035
P23508	Q9HC36
P05771	P63261
P55210	Q96P09
P35625	Q9UNA0
P10153	P13489
P62993	Q07890
P17948	Q9NR46
P20702	Q05397
P09651	P26599
P62993	Q92988
O43561	P06239
O15264	P31749
P18146	Q00796
P30519	Q99613
Q16594	Q5RL73
P26006	Q16363
P00533	Q07065
P06493	P24864
Q13247	Q96SB4
P34931	Q04864
Q92585	Q9UBG7
Q969Q0	Q9BPX7
406938	P80075
P41597	Q92583
O60573	Q96F07
P98095	Q9HD26
P00533	P12931
Q15036	Q15788
P32121	Q8NGP8
Q9BQD3	Q9NQZ6
P18146	Q969F8
P16144	P60709
O00750	P31947
O43295	P60953
P55072	Q13535
P07333	Q92835
Q8NHY6	Q9H7E9
A6NIT4	P16471
P17181	Q06124
P49815	P51812
Q9NZ01	Q9UMX0
O75688	P62258
P25942	Q9BS26
Q14257	Q86UA6
P53708	Q01955
P04406	Q13255
O43318	P04350
P04628	Q9H237
P12814	Q9UBF9
P22694	P42262
Q12968	Q15759
Q00610	Q9GZQ8
P68400	P78527
P48736	P63215
Q13315	Q6PD62
P41273	Q12933
O95704	P20338
P32969	P98095
O00221	P63208
P13612	P25391
P01133	P63104
Q4VXU2	Q96DH6
O15085	Q07890
A5PKW4	O60921
P46108	Q9ULH0
P55055	Q99750
P13805	Q9UNN5
P0C1H6	Q8IUE6
Q13330	Q8WXI9
P32121	Q8NGP0
O15264	P30305
P34931	Q92844
P30050	P61513
P63261	Q6WCQ1
O75340	P50995
Q07889	Q13683
Q14241	Q9Y2I6
P46108	P48736
Q8TAU3	Q9BUH8
O75582	Q96BV0
Q15388	Q6P1J9
P05771	P16220
O75084	Q01970
P05129	Q68DD2
Q15435	Q16659
P47710	Q9H0E2
P46934	P62979
P08670	P19838
P02766	Q9BT40
Q16186	Q9Y5L4
Q13765	Q5T3J3
P05386	P62750
P55103	Q96S42
O00459	Q9H4E5
Q13347	Q14164
P09651	P63104
P21860	Q99962
Q15047	Q9H0E2
P10599	P78330
Q96L34	Q9H4P4
P53041	Q16543
Q92769	Q9NYJ8
Q05513	Q9Y4K3
O75486	P01106
P32121	Q8NH74
O15514	O95402
O94806	P19883
Q8N2Z9	Q9NW38
P05423	Q9NVU0
O14503	Q12873
P25024	P42830
Q15172	Q9UF02
P16220	P56178
Q13315	Q9P0P0
O15031	Q9NTN9
P06493	P19525
P23141	P58062
P98175	Q96EQ0
Q8NFH3	Q8TCT6
P68104	Q16539
O15228	Q8IY92
P04629	Q9NRF2
P28749	Q9UQ80
O43561	P15498
P10415	Q86Y07
O15297	Q13315
P08246	P17947
Q14315	Q9Y4P8
P56545	Q04206
P0C0S5	Q86Y13
P04049	Q04917
P08590	P12883
P35613	P49459
O75581	P04628
P46777	Q9UNX3
Q96JG8	Q9NR46
O00499	P62834
O00501	Q8NI35
P49716	P53567
P26640	Q9UBN6
P20618	Q99436
Q99759	Q9UBK9
O95208	P08069
Q01101	Q13509
Q00005	Q96Q15
O14640	Q9NPB6
P30154	P51617
P17677	P62158
Q86VN1	Q99459
P49910	P57086
P15336	Q9Y230
P62745	Q9BZ29
P82933	Q99547
P40763	P62136
Q8WXH5	Q99665
Q15583	Q15796
P60510	P62714
P16220	Q13554
P24522	Q04724
O60674	P13725
A8K6C2	P23458
P35251	Q13535
Q13315	Q16695
Q13616	Q9Y4K3
P61026	Q9UHY7
P62807	Q9NR30
P11362	Q86Z14
O75159	P42702
P19838	Q96EY1
O60674	Q06124
P11142	Q92844
P05452	Q92913
Q13573	Q15029
406991	P78504
O95475	Q08117
P31785	Q16619
O60733	P05129
O75791	P10747
P27361	P57086
P30086	Q9HC24
P01889	Q9Y617
Q00325	Q6WCQ1
Q5VTR2	Q9UNS2
P50148	Q3MJ16
P12814	Q16595
O14775	Q01970
Q13480	Q8WYR1
Q06609	Q96RT7
P62891	Q9Y3U8
P04004	P06756
P99999	Q15717
O75461	P12004
P42677	P62244
P16520	Q9UBY5
P60033	Q8TDM6
P62330	P67812
P61254	P62987
P12110	P13612
P46527	Q9Y243
P49368	Q9H9G7
P48736	P49418
P55769	Q5UIP0
O43924	P01112
Q96A65	Q9UHD2
O75385	Q9UGJ0
O95819	P27635
O00222	P63215
Q00597	Q8NB91
406906	Q9BWH2
P30154	P32121
P05783	P62316
Q5T4F7	Q9ULV1
P12110	P18827
P18206	P30101
Q6P2C8	Q86YW9
Q15013	Q96ID5
Q7Z4H7	Q86UT6
Q9BWF3	Q9NW64
P0C0S5	P62805
P11802	P23508
Q86UE8	Q9NVP2
P00519	P21860
P31749	Q9UQC2
O43566	P18146
P46734	Q9Y463
P0CG47	Q93008
P13598	P20701
P31946	Q9BRS2
P35268	Q92901
O60258	P07333
P51817	Q16539
P05230	P08138
P01588	Q969J5
P61088	Q96FW1
P52803	P54764
P22455	Q96J02
Q16363	Q7L1I2
P18621	P40429
P24844	P35749
P43364	Q9BW11
P38936	Q6STE5
Q13418	Q86Y56
Q00005	Q05639
P10276	P50613
O60437	Q9P2S5
P16234	Q92569
P05129	P63218
Q13698	Q86W47
P47736	P61224
Q8IXH7	Q8WX92
P25789	Q9Y5K5
O15131	P12956
Q8TF74	Q9NZC7
O43295	P84095
O00585	P25025
Q6DN03	Q96RL1
O00198	Q07820
P50552	Q13797
P46379	Q5JPE7
P13804	P38117
P49840	Q8N0Z3
P00519	Q9BQ89
P30281	Q8N726
P08887	P26441
Q13315	Q9H6E5
O94991	P49716
P35226	P51784
Q5VTD9	Q9BUH8
O75593	P16333
P37023	Q13705
O00291	P46783
A8MX76	Q9H1Y0
P24385	Q9Y6Q9
Q8NA61	Q9C0F1
Q15628	Q9UHD2
P10721	Q05516
O75419	P25205
P04637	Q8WUF5
Q04637	Q9UGR2
O95139	O96000
Q13485	Q9UBW7
P18146	Q9H3E2
P08047	P10276
Q9P212	Q9ULU4
P25963	P27348
O43390	Q13242
Q14197	Q8N983
O43707	P18084
P0CG47	Q07890
O14818	P11171
P02776	P32302
P30084	Q9Y4K3
P46734	Q9P286
P11215	P17931
Q99759	Q9BUF5
Q08170	Q9H307
P04637	P06493
O75554	P09012
O60879	Q13185
Q12933	Q9NVZ3
P35348	P54646
Q16531	Q9Y4B6
P32121	Q8N0Y3
P00558	Q16665
P55795	Q08211
P37235	P62837
