#tail	head	KSP index
P12931	Q07666	288
P12931	P35222	289
P12931	O14920	290
P12931	P42229	291
P12931	P25963	292
P43403	P46108	293
P46108	P00519	293
P46108	P42229	294
P46108	P51692	295
P46108	Q86Y01	296
P43403	P06241	297
P06241	P00519	297
P06241	Q07666	298
P06241	P35222	299
P43403	P20936	300
P20936	Q07666	300
P22681	P08069	301
P08069	P35222	301
P49023	P18206	302
P18206	P35222	302
P49023	Q06124	303
P49023	P63261	304
P63261	O14920	304
P49023	P08575	305
P08575	P35222	305
P49023	P23467	306
P23467	P35222	306
P49023	Q05209	307
Q05209	P35222	307
P49023	Q12913	308
P49023	Q13882	309
Q13882	Q07666	309
P49023	Q16827	310
Q16827	P35222	310
P49023	P23470	311
P23470	P35222	311
P10721	P08631	312
P08631	P00519	312
P08631	Q07666	313
P00533	O14543	314
O14543	P42229	314
O14543	P51692	315
P21860	P35222	316
P00533	P07948	317
P07948	Q07666	317
P04626	Q15303	318
Q15303	P00519	318
Q15303	P35222	319
Q15303	P42229	320
Q15303	P51692	321
P00533	O15524	322
O15524	Q04206	322
O15524	P42229	323
O15524	P51692	324
Q12913	Q9UM73	325
Q9UM73	P01112	325
Q9UM73	P01111	326
Q9UM73	P01116	327
P01116	P01100	327
Q9UM73	Q99759	328
Q9UM73	P23467	329
Q9UM73	Q12913	330
Q9UM73	P23470	331
P43403	P27986	332
P43403	P62993	333
P43403	P19174	334
P43403	P21860	335
P43403	P00533	336
P43403	P07437	337
P07437	O14920	337
P43403	O15264	338
O15264	Q04206	338
P43403	P16471	339
P43403	P46109	340
P46109	P00519	340
P43403	Q15759	341
Q15759	Q04206	341
P43403	Q16539	342
Q16539	Q04206	342
P43403	P53778	343
P53778	Q04206	343
P43403	P31749	344
P43403	P15498	345
P43403	P20963	346
P20963	Q9H6Q3	346
P43403	P56279	347
P56279	P05412	347
P43403	Q15464	348
Q15464	P00519	348
P43403	P15941	349
P15941	P00519	349
Q12913	P06213	350
P06213	P27986	350
P06213	P19174	351
P06213	P46108	352
P06213	P27361	353
P06213	P22681	354
P06213	O00459	355
P06213	P46109	356
P06213	P28482	357
P06213	P08575	358
P06213	P23467	359
P06213	Q05209	360
P06213	P17706	361
P17706	P42229	361
P06213	Q12913	362
P06213	Q9ULV8	363
Q9ULV8	P35222	363
P06213	P42336	364
P06213	Q13191	365
Q13191	P35222	365
P06213	Q99490	366
Q99490	P42229	366
P06213	Q16827	367
P06213	P23470	368
Q99759	Q96EY1	369
Q96EY1	Q04206	369
Q96EY1	O14920	370
P35222	Q15910	371
Q15910	P35222	371
Q07666	Q92793	372
P00533	P10275	373
P00533	P16333	374
P00533	P27986	375
P00533	P62993	376
P00533	P19174	377
P00533	P12931	378
P00533	P46108	379
P00533	P20936	380
P00533	Q07890	381
P00533	P21860	382
P00533	P43403	383
P00533	P04626	384
P00533	P42858	385
P42858	P16220	385
P00533	O15530	386
P00533	P27361	387
P00533	P40763	388
P00533	P63104	389
P00533	P12830	390
P12830	P35222	390
P00533	P22681	391
P00533	Q99558	392
Q99558	Q04206	392
P00533	O00459	393
P00533	P23458	394
P23458	P42229	394
P00533	Q06124	395
P00533	P17252	396
P00533	O60674	397
P00533	P46109	398
P00533	O60603	399
O60603	Q04206	399
P00533	P42224	400
P42224	Q92793	400
P00533	P31947	401
P31947	P00519	401
P00533	P0CG47	402
P00533	P29350	403
P00533	P28482	404
P00533	Q13546	405
Q13546	O14920	405
P00533	P62158	406
P00533	P08575	407
P00533	P23467	408
P00533	P17706	409
P00533	P18031	410
P18031	P00519	410
