#tail	head	KSP index
P27986	Q05193	586
Q05193	P00519	586
P27986	Q9UJM3	587
Q9UJM3	P00533	587
P27986	Q13285	588
Q13285	P06241	588
P27986	O15056	589
O15056	P00519	589
P27986	P48736	590
P27986	O00329	591
P27986	P42338	592
P27986	Q92569	593
P27986	Q13111	594
Q13111	P06241	594
P27986	P14778	595
P14778	P19838	595
P27986	P42680	596
P42680	P04626	596
P27986	P36542	597
P36542	P00533	597
P27986	Q05513	598
Q05513	P00533	598
P27986	O15360	599
O15360	P12931	599
P27986	Q9H5I1	600
Q9H5I1	P00519	600
P27986	P05026	601
P05026	P00533	601
P27986	P30260	602
P30260	P00519	602
P27986	Q14008	603
Q14008	P00519	603
P27986	Q8WX92	604
Q8WX92	P00519	604
P27986	Q13393	605
Q13393	P00533	605
P27986	P49916	606
P49916	P00519	606
P27986	Q9Y2H0	607
Q9Y2H0	P00519	607
P27986	Q8IZD9	608
Q8IZD9	P00519	608
P27986	P42684	609
P42684	P12931	609
P27986	O43281	610
O43281	P00519	610
P27986	O14490	611
O14490	P00519	611
P27986	Q9UPX8	612
Q9UPX8	P12931	612
P27986	Q9NRJ4	613
Q9NRJ4	P00519	613
P27986	Q9Y2D5	614
Q9Y2D5	P12931	614
P27986	Q9H1R2	615
Q9H1R2	P00519	615
P27986	Q9BYB0	616
Q9BYB0	P00519	616
P27986	Q92988	617
Q92988	P00519	617
P27986	O43918	618
O43918	P00519	618
P27986	Q9P1A6	619
Q9P1A6	P00519	619
P27986	O43150	620
O43150	P12931	620
P27986	O75167	621
O75167	P12931	621
P27986	O43909	622
O43909	P12931	622
P27986	Q13023	623
Q13023	P00519	623
P27986	Q15036	624
Q15036	P00519	624
P27986	P10398	625
P10398	P27361	625
P27986	P15498	626
P15498	P00519	626
P27986	P55211	627
P55211	P27361	627
P27986	P30086	628
P30086	O14920	628
P27986	P05023	629
P05023	P00533	629
P27986	P16473	630
P16473	P08069	630
P27986	Q9UKW4	631
Q9UKW4	P21860	631
P27986	P62316	632
P62316	P00533	632
P27986	Q9Y2W2	633
Q9Y2W2	P12931	633
P27986	Q06187	634
Q06187	P22681	634
P27986	O15085	635
O15085	P00519	635
P27986	P16885	636
P27986	Q96Q35	637
