#tail	head	KSP index
O60721	P27986	821
P16333	P13671	822
P13671	P00519	822
P16333	P78357	823
P78357	P00519	823
P16333	Q9UMY4	824
Q9UMY4	P00519	824
P16333	O43708	825
O43708	P00519	825
P16333	P98082	826
P98082	P27986	826
P16333	Q96GP6	827
Q96GP6	P00519	827
P16333	Q9UQ26	828
Q9UQ26	P06241	828
P16333	Q9BQ89	829
Q9BQ89	P00519	829
P16333	P15586	830
P15586	P00519	830
P16333	O14513	831
O14513	P00519	831
P16333	O00294	832
O00294	P06241	832
P16333	Q9ULD4	833
Q9ULD4	P27986	833
P16333	Q96NS5	834
Q96NS5	P00519	834
P16333	Q8IWN7	835
Q8IWN7	P06241	835
P16333	Q96RL7	836
Q96RL7	P27986	836
P16333	Q9H2X0	837
Q9H2X0	P00519	837
P16333	O00750	838
O00750	P27986	838
P16333	Q9ULW0	839
Q9ULW0	P27986	839
P16333	Q9H8V3	840
Q9H8V3	P27986	840
P16333	O75751	841
O75751	P00519	841
P16333	Q96AC6	842
Q96AC6	P00519	842
P16333	Q9H222	843
Q9H222	P27986	843
P16333	O95157	844
O95157	P00519	844
P16333	O95455	845
O95455	P27986	845
P27986	Q9NQ76	846
P27986	P62993	847
P27986	P19174	848
P27986	Q07890	849
P27986	P07332	850
P27986	Q07889	851
P27986	Q13480	852
Q13480	P27986	852
P27986	Q99704	853
Q99704	P27986	853
P27986	P06127	854
P06127	P27986	854
P27986	P01112	855
P01112	P27986	855
P27986	P01111	856
P01111	P27361	856
P27986	O15530	857
O15530	P00533	857
P27986	Q9H9Y6	858
P27986	O14939	859
O14939	P00533	859
P27986	P36897	860
P36897	P27986	860
P27986	P60763	861
P60763	P10275	861
P27986	P60953	862
P60953	P27361	862
P27986	P15153	863
P15153	P45983	863
P45983	P40763	863
P27986	P84095	864
P84095	P27361	864
P27986	Q9UQC2	865
Q9UQC2	P27986	865
P27986	P26373	866
P27986	P50570	867
P27986	Q9UBS5	868
P27986	O43561	869
O43561	P27986	869
P27986	P16144	870
P16144	P27986	870
P27986	Q05397	871
Q05397	P27986	871
P27986	P41743	872
P41743	P00533	872
P27986	P21333	873
P21333	P10275	873
P27986	Q14315	874
P27986	O75369	875
P27986	Q9ULH1	876
P27986	P61978	877
P61978	P27986	877
P27986	Q14790	878
Q14790	P10275	878
P27986	P37173	879
P37173	P27986	879
P27986	P46531	880
P46531	P27986	880
P27986	Q92835	881
Q92835	P27986	881
P27986	Q96B97	882
Q96B97	P27986	882
P27986	P52735	883
P52735	P27986	883
P27986	P10912	884
P27986	P15509	885
P27986	P34903	886
P34903	P27986	886
P27986	Q13087	887
P27986	Q9Y4K3	888
Q9Y4K3	P27986	888
P27986	P0CG47	889
P0CG47	P27986	889
P27986	P25963	890
P25963	P27986	890
P27986	P29350	891
P29350	P27986	891
P27986	Q92918	892
P27986	Q05193	893
P27986	Q9H1H9	894
P27986	Q9UJM3	895
Q9UJM3	P27986	895
P27986	Q13285	896
P27986	O15056	897
P27986	Q8TCU6	898
Q8TCU6	P42345	898
P27986	Q13111	899
P27986	P14778	900
P14778	P27986	900
P27986	P42680	901
P42680	P27986	901
P27986	Q96EV8	902
P27986	P36542	903
P36542	P27986	903
