#tail	head	KSP index
Q13501	O14920	304
P45983	P05412	305
P45983	O95644	306
O43318	O95999	307
O95999	Q9Y6K9	307
Q14790	O14920	308
Q14790	P25963	309
Q99759	O14920	310
Q99759	P25963	311
O43318	P27361	312
O43318	P40763	313
O43318	Q15750	314
O43318	O15264	315
O43318	P08238	316
O43318	P45983	317
O43318	Q99759	318
O43318	Q04206	319
O43318	O15111	320
O43318	P0CG48	321
O43318	P28482	322
O43318	P07900	323
O43318	P53779	324
O43318	Q15759	325
O43318	P19838	326
O43318	Q16539	327
O43318	Q92918	328
O43318	P45984	329
O43318	P53778	330
O43318	Q15653	331
O43318	P67775	332
P67775	P05412	332
O43318	Q9NYJ8	333
O43318	Q9BXL7	334
Q9BXL7	Q9Y6K9	334
O43318	Q9Y6Q6	335
Q04206	Q92793	336
Q92793	Q01196	336
Q92793	Q9Y6K9	337
Q92793	P15336	338
Q92793	P05412	339
Q04206	Q09472	340
Q09472	P00519	340
Q09472	Q01196	341
Q09472	P15336	342
Q09472	O75030	343
Q04206	P40763	344
Q04206	P01106	345
Q04206	Q14790	346
Q04206	Q99759	347
Q04206	P10914	348
P10914	P17947	348
Q04206	Q8N668	349
Q8N668	P25963	349
Q04206	O15553	350
O15553	P25963	350
Q04206	P01584	351
P01584	P17947	351
Q04206	Q9UN86	352
Q9UN86	P00519	352
Q04206	Q04917	353
Q04917	P00519	353
Q04206	P27348	354
Q04206	P0CG48	355
Q04206	P08107	356
P08107	Q9Y6K9	356
Q04206	P19838	357
Q04206	P62158	358
Q04206	Q15653	359
Q04206	P01375	360
P01375	O14920	360
Q04206	P67775	361
Q04206	Q13469	362
Q13469	P05412	362
Q04206	Q9Y2U5	363
Q9Y2U5	O14920	363
Q04206	P21580	364
P21580	Q9Y6K9	364
Q04206	P23396	365
P23396	Q9Y6K9	365
Q04206	O75582	366
O75582	P15336	366
Q04206	Q04864	367
Q04864	O14920	367
Q04206	P09874	368
P09874	Q9Y6K9	368
Q04206	Q16663	369
Q16663	P05412	369
Q04206	P05186	370
P05186	P25963	370
Q04206	Q9Y618	371
Q9Y618	P25963	371
Q04206	Q8NFZ5	372
Q8NFZ5	Q9Y6K9	372
Q9Y6Q6	O00459	373
O00459	P27986	373
O00459	P19174	374
O00459	Q07890	375
O00459	P00533	376
O00459	Q99704	377
O00459	P01112	378
O00459	P01111	379
O00459	O15530	380
O00459	P40763	381
O00459	P63104	382
O00459	P50570	383
O00459	P49841	384
O00459	Q9Y243	385
O00459	Q9Y4K3	386
O00459	P31946	387
O00459	P0CG47	388
O00459	P31749	389
O00459	P31751	390
O00459	Q9Y6Q6	391
Q9Y6Q6	P31994	392
P31994	P16333	392
P31994	P19174	393
P31994	P12931	394
P31994	P46108	395
P31994	P06241	396
P31994	P27361	397
P31994	P28482	398
O15111	O14920	399
O15111	P25963	400
O14920	Q9Y6K9	401
O14920	P25963	402
Q9Y243	O14920	403
Q9Y243	P25963	404
Q9Y243	P15336	405
Q9Y243	P05412	406
Q9Y6Q6	P31995	407
P31995	P05771	407
P05771	O14920	407
Q9UN86	P25963	408
Q13077	O00571	409
O00571	Q9Y6K9	409
Q9Y4K3	P63261	410
P63261	Q9Y6K9	410
P63261	O14920	411
P63261	P25963	412
P19838	Q00610	413
Q00610	Q9Y6K9	413
Q00610	O14920	414
Q00610	P25963	415
Q9Y6Q6	Q13191	416
Q13191	P58107	416
P58107	Q9Y6K9	416
Q9Y4K3	P27986	417
Q9Y4K3	P12931	418
Q9Y4K3	P21860	419
Q9Y4K3	Q15303	420
Q9Y4K3	P00533	421
Q9Y4K3	P27361	422
Q9Y4K3	P04350	423
Q9Y4K3	P07437	424
Q9Y4K3	Q15750	425
Q9Y4K3	Q99558	426
Q9Y4K3	O15264	427
Q9Y4K3	P45983	428
Q9Y4K3	Q14790	429
Q9Y4K3	Q99759	430
Q9Y4K3	O43318	431
Q9Y4K3	Q04206	432
Q9Y4K3	O15111	433
Q9Y4K3	Q13748	434
Q9Y4K3	P62979	435
P62979	P25963	435
Q9Y4K3	P0CG48	436
Q9Y4K3	P0CG47	437
Q9Y4K3	P28482	438
Q9Y4K3	P07900	439
Q9Y4K3	P53779	440
Q9Y4K3	P38646	441
Q9Y4K3	Q15759	442
Q9Y4K3	Q05639	443
Q05639	Q9Y6K9	443
Q9Y4K3	P19838	444
Q9Y4K3	P11142	445
Q9Y4K3	Q16539	446
Q9Y4K3	P62837	447
P62837	P25963	447
Q9Y4K3	P45984	448
Q9Y4K3	P53778	449
Q9Y4K3	P11021	450
Q9Y4K3	Q9BVA1	451
Q9Y4K3	P62158	452
Q9Y4K3	P34931	453
Q9Y4K3	Q13114	454
Q9Y4K3	Q12933	455
Q9Y4K3	P51617	456
P51617	Q9Y6K9	456
Q9Y4K3	Q13077	457
Q9Y4K3	Q9NWZ3	458
Q9NWZ3	O14920	458
Q9Y4K3	P49407	459
P49407	P25963	459
Q9Y4K3	Q9NYJ8	460
Q9Y4K3	Q7Z434	461
Q7Z434	P00519	461
Q9Y4K3	O95373	462
O95373	Q9Y6K9	462
Q9Y4K3	Q9UDY8	463
Q9UDY8	Q9Y6K9	463
Q9Y4K3	P09874	464
Q9Y4K3	O43187	465
O43187	O14920	465
Q9Y4K3	Q9UNM6	466
Q9UNM6	Q9Y6K9	466
Q9Y4K3	O76080	467
O76080	Q9Y6K9	467
Q9Y4K3	Q9Y6Q6	468
Q9Y4K3	Q9Y616	469
Q9Y616	O14920	469
Q13748	O14920	470
Q13748	P25963	471
Q04917	P25963	472
P31946	O14920	473
P0CG48	P25963	474
P0CG48	P05412	475
P0CG47	P25963	476
P19838	P05141	477
P05141	Q9Y6K9	477
P05141	P25963	478
P29350	P27986	479
P29350	P43403	480
P29350	P00533	481
P29350	P27361	482
P29350	O43318	483
P29350	Q9Y4K3	484
P29350	P28482	485
P29350	P03372	486
P29350	Q02556	487
Q02556	P17947	487
P29350	Q92734	488
Q92734	Q9Y6K9	488
P29350	P15498	489
P29350	Q9Y6Q6	490
P28482	P05412	491
P28482	O75030	492
P08107	O14920	493
Q13114	Q13546	494
Q13546	Q9Y6K9	494
Q13546	O14920	495
P07900	O14920	496
P19838	P27708	497
P27708	Q9Y6K9	497
P53779	P05412	498
P53779	O95644	499
P38646	O14920	500
P38646	P25963	501
Q15759	P05412	502
Q15759	O95644	503
P19838	Q96EY1	504
P19838	P04637	505
P19838	Q15306	506
P19838	Q13547	507
P19838	P35222	508
P19838	P04350	509
P19838	P07437	510
P19838	P49841	511
P19838	Q01201	512
P19838	Q00653	513
P19838	P08238	514
P19838	Q14790	515
P19838	Q04206	516
P19838	P10914	517
P19838	P01584	518
P19838	P63261	519
P19838	Q13748	520
P19838	P08107	521
P19838	P07900	522
P19838	P38646	523
P19838	Q05639	524
P19838	P17066	525
P19838	P03372	526
P19838	P11142	527
P19838	P11021	528
P19838	Q3ZCQ8	529
Q3ZCQ8	Q9Y6K9	529
P19838	Q9BVA1	530
P19838	P62158	531
P19838	P12236	532
P12236	Q9Y6K9	532
P19838	P34931	533
P19838	P35579	534
P35579	Q9Y6K9	534
P19838	Q9UKB1	535
Q9UKB1	P25963	535
P19838	Q15653	536
P19838	P18847	537
P18847	P05412	537
P19838	P61626	538
P61626	O14920	538
P19838	Q8N163	539
Q8N163	O14920	539
P19838	Q9NYJ8	540
P19838	P78527	541
P78527	Q9Y6K9	541
P19838	Q04864	542
P19838	P60660	543
P60660	Q9Y6K9	543
P19838	P19105	544
P19105	Q9Y6K9	544
P19838	P17542	545
P17542	Q01196	545
P19838	Q8NFZ5	546
P03372	P05412	547
P11142	O14920	548
P11142	P25963	549
Q16539	P05412	550
Q16539	O95644	551
Q16539	O75030	552
Q92918	O14920	553
Q9NYJ8	P42677	554
P42677	Q9Y6K9	554
P45984	P05412	555
