#node1	node2
P16520	Q00975
P11802	P51693
P23760	Q9H2G2
Q13315	Q2TAK8
Q96NT1	Q9Y383
P08107	P19525
P17252	Q15904
Q9P289	Q9Y3A3
P62888	Q15653
P07910	Q16629
Q9Y4K3	Q9Y678
P50224	Q16637
P50238	Q5JY77
P46108	Q9NZM4
P41586	P63092
O00716	Q75NE6
P10828	Q71SY5
P11498	Q00005
P40189	P52333
P0CAP2	Q9NVV9
P08134	Q96QB1
P10301	Q92565
P98177	Q16539
P46937	Q9Y297
P05106	Q8IZC6
O75674	Q00610
P25025	P52333
P33991	Q99459
P42338	Q92997
O76094	P30480
P27635	P35268
Q99459	Q9H6S3
Q8TF46	Q9Y3B2
P19883	P58166
P05112	P14316
P63279	Q06609
P01106	P13747
P16144	Q14031
P17948	Q16665
P08107	Q9Y572
O43900	P12931
P12931	P61978
P63104	Q15208
Q14197	Q9BYD6
P15516	Q8TAX7
Q96BA8	Q9UQM7
P17066	Q8TDR0
P05106	Q9HBI0
P00519	P49023
O14764	Q9H0R8
O60896	Q5JWF2
P12956	P16284
Q13526	Q9GZR7
P35222	Q9UBE8
O00459	Q92730
Q14790	Q15628
P09104	P16871
P31947	Q92625
P42858	Q96D09
P20073	Q5T3J3
P17066	Q13217
Q13263	Q13315
P32927	Q92569
O00303	P78396
Q09472	Q6AZZ1
P30050	P61513
Q8IXI1	Q9P227
Q92621	Q9BW27
O95997	Q9UJX2
P50395	P51151
O14904	Q14332
O15520	P11362
P01112	P22455
O14939	P06241
P16220	Q7Z624
P13611	P16109
P00491	P04637
Q9NX70	Q9UNQ2
P33993	Q14683
P11161	Q9Y3C7
O95996	Q9Y2T1
O75177	Q8HWS3
P16220	Q8WXK3
Q16665	Q9Y3V2
Q13177	Q14247
P23396	P32969
O94805	Q13315
P17252	P26012
Q16531	Q9Y4A5
O15504	P25054
O60563	Q03164
P09496	P53680
Q12972	Q15428
O43707	Q86UL8
Q8NEM7	Q9H0E3
P52630	P62714
P29597	Q9HC73
Q6AWC2	Q9Y265
A7KAX9	P06241
P54257	P78334
P36578	Q00005
P47897	Q92569
O60566	Q9H1A4
P43405	Q6ZUJ8
P35626	Q8NGL3
Q8IY31	Q8TES7
O60260	P24864
P15407	P53567
O95202	Q14197
O43791	O75367
P78368	Q96NL0
P41236	P62136
O43676	O96000
P04626	P35221
P21860	Q9H0M0
P01871	Q06187
P56524	Q8N257
Q9H293	Q9NRM6
P53779	Q12968
P16871	P31785
P68371	Q13573
P32121	Q15619
Q96PY6	Q99689
Q13573	Q8NB90
P05129	Q15118
Q6WCQ1	Q99759
P14625	Q99459
P49796	P63096
Q5JTH9	Q99558
P12931	Q9NRD5
Q8ND90	Q92831
P05771	P16520
O00206	P43405
P05015	Q13651
406988	P15692
P47756	Q9Y572
P16234	Q9GZV9
Q7Z2G1	Q8IUE6
P22681	Q8N6P7
P15882	P17081
P33151	Q9BYG4
P62877	Q7Z6M2
P68371	Q71U36
P40939	Q9Y572
P01568	Q99650
P48200	Q9BYM8
Q99496	Q9Y2X8
P51003	Q01081
P12757	P78317
P54284	P62140
P08700	Q99062
Q01085	Q16637
P61927	P62899
P18846	P67870
P16220	P78347
P06729	P13987
P28482	P46695
P50570	Q99832
P26951	P29350
P48357	P62993
P16234	P55075
P16885	Q9H400
P20248	P38936
P45985	P53778
O95967	P49639
Q5JVF3	Q9HAW0
P08047	P98194
Q92569	Q9NSB8
O15211	Q07889
P62917	Q9UKV8
P18146	Q15822
P05129	P0C869
O95819	P07900
P14866	Q01130
Q04656	Q5EBL8
O14965	P41236
P03891	Q9Y6M9
O75530	P38570
P62906	Q02878
P20339	P30556
P16152	P30504
P32246	P47992
Q6ZVL6	Q9UI95
P05129	P16220
P18846	Q8IXS2
P26368	Q08211
Q96B02	Q96GF1
A1YPR0	Q99459
Q13573	Q9HCK8
407006	P05362
P55036	P62333
O14802	Q9H1D9
P12830	Q03135
P05771	Q05397
O75038	Q13557
O14757	P98170
O43676	O95178
Q13489	Q13546
O60359	P51817
P05014	P16871
P01568	P42702
O95168	P51970
P07996	P08514
P18146	Q9BUN5
P21781	P22455
P06756	Q92752
406954	P46527
P28069	Q969G2
P46108	Q9H5I1
P51451	Q05086
574455	P00749
P06756	P19174
Q9BRJ6	Q9NX58
Q99708	Q9UKT9
P18564	Q8IZC6
Q9NUQ8	Q9UKV3
P61244	P68400
P68104	Q9BX70
P42702	Q9NYY1
Q969D9	Q99062
Q8IV63	Q99816
P05113	Q9UHF4
P20226	Q16514
P61981	Q7L8J4
P00533	P08238
P48444	Q9Y5J5
P18077	P29372
Q15653	Q9UKB1
O00267	O43148
P09619	P23470
P02794	Q9H0E2
Q969T4	Q96GF1
P62993	P78357
P27824	P78504
P49747	Q9UHF1
P21127	P30281
A4D0S4	Q9UKX5
P15498	Q12866
O60285	O95835
P51991	Q14683
P06748	Q96BK5
P02686	Q96QT4
P32243	P54253
P33993	Q9NSU2
Q5UIP0	Q9HCU9
P48736	Q05513
P47869	P60520
Q13315	Q8TAQ2
P04637	Q12834
P01889	P35241
P29083	Q08050
Q14194	Q9BXM7
P09471	Q8NFM4
100126334	P24941
P24593	Q14192
Q93077	Q969S8
P51397	Q15047
O00206	P14625
Q16611	Q92843
P22626	Q13243
P42773	Q16254
P27986	Q9Y2W2
P54725	Q01844
Q99459	Q9UJV9
P08514	Q9Y490
P04278	P41222
A5YKK6	Q9NZN8
P35568	Q07889
Q13639	Q5JWF2
P03372	Q16352
P46531	P49757
O75369	P27986
P39656	Q9H1C4
Q04771	Q8TAI7
P11488	P16499
O76071	Q16082
O95881	P16104
P06493	Q92574
P04637	Q16637
P19838	Q16663
Q13885	Q92974
P10912	P23458
P30480	Q9P258
Q14209	Q9H211
Q8N5R6	Q9UGN5
Q00535	Q01105
O00629	P21980
P17948	Q15389
P18583	P61981
O15144	Q92747
P08575	P09619
P0CG48	Q9UDY8
Q07889	Q9P2F6
P01889	P02771
P01889	P47914
P57086	Q0D2J5
P11217	Q9BT40
Q03518	Q9BQ66
O75461	Q15054
P49841	P54252
Q8WYH8	Q9P2H0
Q13485	Q15583
Q8N3R9	Q9BYG5
O75581	Q9BQB4
P12931	P23759
A6H8Y1	Q13315
P61978	Q93062
Q99816	Q9UPQ4
O15264	P15408
Q5THR3	Q96ST3
P61587	Q9BRR9
O43586	Q9UJX6
P29459	Q14213
P51610	Q16576
P35626	P51681
P04439	P43626
P08173	P62873
P15884	Q9UPN9
P00750	P07355
O14503	P27540
P00519	Q12979
P08172	P29992
Q8TBB1	Q9H832
Q9NNX6	Q9NZN5
P38405	Q9H2C8
P02747	P0C0L4
P27694	P35244
O43353	P51617
Q5VWK5	Q86WN2
Q02750	Q9UKG9
P11142	P45983
O76071	Q14527
O96015	Q5TD97
P67775	Q9NSI5
P01116	Q9HC35
Q01082	Q6VMQ6
P57087	Q9BX67
O14578	P61586
Q05655	Q8NFM4
P52333	Q99650
P35638	Q10587
P18206	P50552
O00422	Q86Y56
Q09472	Q13315
O60880	Q9HBG7
P04637	P62136
P07550	Q5JWF2
Q495A1	Q92692
P06400	P17676
Q7Z7H8	Q9UPT9
P34931	Q00653
O94776	Q13330
P01303	P28566
P49006	Q02156
O43765	P46379
Q99650	Q9P0W0
P12814	Q15942
P07202	P08887
P04406	Q14653
O00221	Q3ZCQ8
P62837	Q96P09
P00491	P01889
P43686	Q9Y4K3
O15294	O95644
Q96A72	Q9Y5S9
Q12933	Q13077
P16333	P21917
O75438	P03891
P42224	P55899
O95072	P30154
Q92956	Q9UHV9
Q99878	Q99880
P12004	Q7Z5Q5
Q15291	Q8NEZ4
O43809	Q9NV58
P60709	Q16637
O75533	P63162
Q05655	Q9H5V8
P23508	P83731
Q5VTD9	Q86YS3
Q14573	Q9NSC5
P0CAP2	Q9BQ04
Q03135	Q15628
Q96AW1	Q96KB5
P55957	P99999
Q7L190	Q99963
Q14197	Q9BW92
P38484	P41235
Q05195	Q13489
P60484	Q9Y243
Q9UDV6	Q9UHR5
P42766	P83881
Q01449	Q86YV6
P19838	Q14690
O14640	Q9Y6M4
P38936	Q13263
P60709	P62269
O95832	Q16625
O14798	P62834
O43541	P01579
P08908	P50150
Q12778	Q13309
Q9BXS5	Q9Y6Q5
P15153	P27986
O95059	P78346
P24385	P62877
P49917	Q7Z2E3
P52292	P52298
P04141	P38484
P62266	P62841
P46108	Q9Y5H7
P05112	Q99665
O15143	P12830
P01243	P55786
P07900	Q9GZX7
P62745	Q13153
P09693	Q14790
P28065	Q96J02
P04632	P98170
P61160	P62993
O15085	P17081
O60563	O60583
O43502	Q86YZ3
O14818	P25786
Q99558	Q9NWZ3
O96006	Q9Y221
P15153	Q9NYB9
O95007	P38405
P29459	Q00978
P36873	P50750
P36897	Q15052
P23528	Q15631
Q6IQ23	Q9BVG8
P04183	Q8IWF7
O14639	P01106
P55957	Q16611
O14639	Q9Y3Q8
O60506	P62195
O43172	Q9Y333
O60262	O60840
P49841	Q9H095
Q96LZ3	Q9UJX5
P05129	Q13224
P68431	Q6ZW49
Q86YW9	Q93074
P10916	P13533
P60953	Q92558
P04183	Q16891
P48730	P78396
P27986	P40197
Q9NX14	Q9Y6M9
P67870	Q02543
O00255	Q99717
P60763	Q9ULL4
P59768	Q00975
Q99700	Q9P1U0
P01568	P26992
406904	P78411
P23246	Q14192
P61081	P62877
Q14765	Q15759
P09038	P09619
Q8IX03	Q96NE9
O43815	P30153
P15498	Q15464
P35268	P55060
P63104	Q14978
P42338	P42681
P07814	Q9UKV8
P09651	P52272
Q92802	Q99684
O00257	Q06587
Q68EM7	Q7L0Q8
P04637	Q13625
P35240	Q13177
P17544	Q9NR55
P63104	Q14974
O43741	O60825
P43403	P56279
P46459	Q9P2H0
O60216	Q13573
P10916	Q7Z406
P16070	Q16363
O00167	P19086
P01569	P01589
O95163	P48643
P12931	P19438
P56545	Q13547
O00571	Q9UHD2
Q15436	Q99459
P13569	Q05086
Q13315	Q8N490
P23025	Q9UPV0
P30048	Q8TAX7
Q96NA2	Q9H4B7
O00339	Q01955
P01589	P52333
Q15834	Q96M91
P16144	P56945
O60291	Q9Y2X8
A8MTJ3	P59540
O75496	Q14209
Q92832	Q9BSC4
P01178	P30559
P22626	Q01081
O14543	Q9UBF6
P29375	P68431
P60520	Q14204
O95167	O95178
P38936	Q96N67
Q13310	Q96EP5
Q96J02	Q9H469
P62891	P62910
P00519	P50607
Q04637	Q9UGR2
Q13936	Q15173
P63146	Q9Y3C7
O00555	Q9HAV0
Q02078	Q15796
P38405	Q8NGJ7
P04406	P23508
O15131	P62306
P11171	P99999
O60733	Q02156
Q00005	Q13263
P84022	Q15052
Q8TDN6	Q9NX58
P21246	Q13087
P35558	Q13131
O95622	P50151
P01106	P12318
P08729	P63010
O75396	Q12981
P08754	P28221
P12931	P50570
P21246	P42224
Q15291	Q6P1J9
P43115	P63096
P54619	Q9H9S4
P61978	Q3SY52
P25024	Q9Y4X3
O43463	Q08999
P04156	Q93070
P23508	P42771
P08238	P31751
P25208	Q14919
P20618	P55036
P15692	P35916
Q03060	Q99941
O14965	Q9BZB8
A8K6C2	P16471
O95859	Q00604
P12814	Q9BUZ4
Q9UI36	Q9UJ70
P23284	Q9UET6
P32969	P62424
P43405	Q15418
P36894	Q16539
P46782	Q01201
P0CG48	Q9UGP5
P61289	Q9BQ83
P29459	P29460
P46934	Q9Y4G8
O43474	P40763
Q9NZC7	Q9P2I0
Q13315	Q9UQB3
O00459	P11215
P01589	P17096
P01562	P32927
P55060	P63104
P60520	Q96QK1
P15498	P52735
Q8TES7	Q96CN9
A8K4G0	P62993
Q13158	Q8N488
P31749	P41279
P35527	Q92844
P02647	P35527
P10275	Q07889
Q13315	Q96M86
Q99459	Q9UPN6
Q05513	Q5JVS0
P22694	P32418
Q13522	Q66LE6
P38398	Q96RT8
P60763	Q8TEW0
P07333	Q9Y4K3
P41159	P48357
Q12933	Q2TAK8
Q96RL1	Q9C086
P25025	Q16627
Q15653	Q9GZS1
P22694	P54289
P67870	Q9BV38
P31785	Q9ULV8
P51654	Q9H1J5
P32121	Q9UGF6
Q7L5N1	Q9Y2V3
P14598	Q04206
P61978	Q86X55
Q13568	Q99731
P06899	P16104
P12956	P45983
Q99623	Q9Y678
P46100	Q96PY6
Q99469	Q9UGN5
P78417	Q9P2H0
P31946	Q9H1K1
P09455	Q9H160
P31947	Q12788
P28715	Q01844
P15622	Q08379
P32969	Q8IUQ4
P29460	P42701
P01137	Q9BZS1
P63261	Q9Y623
Q8NFZ4	Q9ULB1
P60604	Q8WZ73
P30480	P56192
P10721	P35568
P51671	P51685
Q12929	Q96ED9
Q14315	Q14919
Q12933	Q8N5R6
Q15834	Q92530
Q00534	Q7L590
407026	P11047
O00141	O75390
P0CG47	Q9Y572
P05412	Q04206
P17301	Q8IZC6
O60241	Q9Y566
O75365	Q15386
O43292	P60228
O15530	Q15121
P08708	Q99558
P19525	P60953
P14649	P60709
P05549	P08651
P62805	Q14566
P52434	Q8WVC0
O95424	Q8NBJ4
P09471	P48051
P08047	Q02742
P41279	Q08380
O75971	Q13487
P04141	P19235
P07237	Q9H1Y0
P19174	P26951
Q14738	Q9Y698
P31995	Q15788
P31152	Q01196
P61978	Q15287
P24723	Q16625
P13861	Q13485
P40337	Q9Y266
P22626	Q15428
O14497	Q99459
P04908	Q9UBN7
Q12972	Q14194
P05161	Q09472
Q9GZT6	Q9NX18
O15169	O95996
P42285	Q99459
P63279	Q9UBC3
Q14164	Q6XUX3
O75486	Q8NEM7
P10767	Q07889
P29274	Q99814
Q13535	Q92769
O43566	P63096
P04637	P53355
P04049	Q05655
P0C5Y9	P56524
P62805	Q9Y5K5
P16473	P84996
Q96BH1	Q9Y2X8
O75175	Q99459
P04156	P05067
P53708	Q16787
P19367	P27540
Q15583	Q5UIP0
P14649	P63267
P00519	Q06124
P25963	P63208
P26012	P49023
P38484	Q9NPH9
Q13573	Q9H6S3
P01857	Q9H7N4
Q8WXK4	Q9UBF6
Q9NTM9	Q9P1W9
P13984	P16220
P52292	Q9UH99
O14744	P27348
A8MT69	Q9NVI1
Q15560	Q8NCB2
P20333	Q9GZR1
P62873	Q9NRI5
P08754	P51681
Q02156	Q15842
O95831	P16104
P56746	P56747
P23229	P26010
Q8IVF5	Q9HBH0
Q8WV28	Q9Y5K6
P54289	P62714
Q13561	Q14164
O60244	Q15528
P29466	Q8WX94
P60953	Q9UKW4
Q01668	Q14957
9757	Q15291
P03372	P51532
P14784	P41159
O00303	O75822
P49005	Q96S55
P18848	Q99871
P58876	Q9UQL6
Q99880	Q9Y5B9
O43143	Q8N5F7
P35626	Q8NGX3
O43164	Q96B02
Q15047	Q96RU7
P23229	Q9Y490
P25116	Q9HAV0
P62316	Q9H0H5
P60484	Q9BVJ6
P82664	Q9Y5J5
P09619	Q13952
P62888	P62913
P61586	Q9NQU5
Q08209	Q9UIK4
P04637	P10275
Q9P0L2	Q9UM73
P57077	Q13227
Q9NYJ8	Q9Y230
Q13315	Q8TAQ5
P16234	Q96B97
P05106	P50552
P48643	Q9H7D0
P41182	P63098
P62917	Q02878
P68366	Q8IUQ4
P18146	Q9NZI7
O75367	Q92769
P30480	Q9NR28
Q7Z6B7	Q92730
O75896	O95757
P01579	P16871
A8TX70	P23229
P08134	P15882
P01579	Q6UXL0
P00519	Q04917
P38405	Q9H205
Q13330	Q13547
Q14315	Q9Y4P8
P16520	P28482
P46934	Q16655
P15151	Q495A1
P11142	Q86UA6
O96020	Q9UM13
Q12834	Q9BYQ4
P78317	Q9UHF7
Q6R327	Q8N122
Q99759	Q9BV68
P18124	Q15843
P42574	Q13490
P13807	P62140
P04049	P45984
P26599	P52756
O60383	P04183
P10916	Q99972
Q15020	Q96KG7
P01106	Q96AE4
P62805	Q96L91
Q96ES7	Q9NRF9
Q8N6P7	Q9UBD9
O43281	P12931
Q5RKV6	Q7L5N1
406947	Q92835
407040	P10242
P22492	P49841
P13612	Q13753
O15525	P35638
Q16584	Q92918
P55318	Q16630
Q15075	Q7Z3T8
O60925	P10589
P40692	Q01094
P00846	P05496
P52824	Q99798
Q9BSI4	Q9NYB0
P52630	Q09472
P60673	P63261
P07358	P07360
Q13315	Q8IX21
Q9H8Y5	Q9UBS4
P54253	Q9UKD1
P06241	P29322
P01106	Q93008
O15105	P15172
P01106	P54886
O60684	Q13568
Q86UV6	Q99816
O75525	Q9H9D4
P08603	P26022
P10275	Q5THR3
P14316	Q92831
A5PKW4	P23416
O95049	P56750
P16520	P49286
Q01804	Q9HAW0
P01116	Q3MIN7
Q9H6R7	Q9Y3C7
P52564	Q02779
P01106	P23634
O14733	O95786
P63000	Q2M1Z3
P28482	Q9NZK7
P26368	Q08170
P08123	P16070
Q96FX2	Q9UGK8
P33778	Q00653
P22612	P63215
P26441	Q01113
P01589	P15976
P04049	P14784
O95067	Q16254
P24534	P30480
Q92858	Q9BZE3
P18146	Q8N6M6
O14827	P61952
P16333	P23760
O95295	P04278
Q9NQ55	Q9NX58
Q8WUW1	Q92558
P01570	Q99062
P84022	Q13643
Q12906	Q14103
O43586	Q9UBS9
407008	O15111
O00716	Q13315
P16333	Q9NQ76
O15446	Q9Y5B9
O95786	Q14790
O43809	Q8NFF5
P21333	Q6WCQ1
P28799	Q96AQ9
Q04917	Q8NHQ8
O76083	Q96FC7
P62979	Q99741
P32969	P62891
Q9BX70	Q9C035
P52815	Q14197
A0AVK6	P24864
P01112	Q13671
Q08209	Q12968
P00846	P18859
Q14526	Q9NQB0
Q13310	Q96BK5
P01106	Q96N96
O60840	Q86W47
O75038	P24723
P51817	Q5MIZ7
P26232	Q9UDY2
P12931	Q04759
P01106	Q9UNP4
P25054	Q01082
P38936	Q8NBE8
P42336	Q8TCU6
P32248	P47992
O75582	Q14194
Q13263	Q96SB3
P18031	P56945
A0JLT2	O15514
Q13332	Q14240
P48729	Q96A00
P14317	Q96HL8
P01871	P20273
O95400	Q13151
O95741	Q13526
Q92796	Q9NYY3
Q13315	Q96EP1
Q02224	Q8WVM7
P21246	Q9H8G2
P10275	P13056
O14640	P15153
P07384	Q14494
O14640	O43900
O95467	Q99527
O14920	Q99558
P07900	P10809
Q8WZA2	Q9NRZ7
A8MTJ3	P59542
P10301	P14324
P41743	P63104
Q13177	Q9HBH0
P45983	Q8NER1
Q8WXI9	Q9H334
Q03164	Q12948
P04049	P15498
P54257	Q08752
O96013	P61981
P35609	P62158
P53708	Q9UKX5
O15287	Q13813
P61289	P62333
P01563	Q00653
P10276	Q13569
P36897	Q9NWN3
P13987	Q06124
O14508	P17181
Q9BSJ2	Q9H853
Q13573	Q8WXI9
Q13490	Q15628
O75937	P67809
O43353	Q12933
P02462	P08253
P23368	P31939
P05107	P17947
P07949	Q96B97
P60520	Q9UH92
P19878	Q92793
Q13796	Q15788
P22626	P84103
P01857	Q6PD62
O95433	Q9H5I1
P63244	Q05655
P22670	Q99459
Q13469	Q9UQM7
O75674	Q92879
P16066	Q6VMQ6
P16220	Q96HY7
P21675	P35240
O76041	Q969Q1
P06213	P35222
Q13480	Q8WYR1
P12931	P56199
O60884	Q9HCK5
O15297	P23025
P0C0S5	Q9Y6I4
Q13162	Q14197
P46783	P62701
P22694	Q14432
Q16539	Q96DM3
P16220	Q9BTC8
P35250	P40938
P05198	P49770
P09619	P27449
O60266	P61952
Q9NRG4	Q9UKA4
O95400	Q9Y5V3
P04899	Q8TDS4
P60709	Q92973
P09471	P30559
P53350	Q7Z3J3
O43586	P62910
P00533	Q9GZV9
P62277	P62851
Q9H6I2	Q9NQB0
Q07955	Q8IYB3
O00574	P13500
O95714	P78527
A6NL26	P32121
P61077	Q96EQ8
Q6PD62	Q8WVC0
P10912	Q9UBD9
Q8IXI1	Q9P286
O15160	P17480
Q13489	Q9Y618
P35626	Q8TCB6
P17028	Q6R327
O60603	P35247
P61254	P61313
P63104	Q02241
P56524	Q96QV6
P35626	Q9UGF5
P14866	Q13243
P35680	Q16836
P01579	P14784
P49917	P78527
P04156	P25788
P62993	Q13796
P50914	P62910
O75581	Q13145
O15085	P16333
P01112	P21359
P08648	Q14031
P23528	Q15750
P51116	Q8WVF5
O14933	P52565
P51805	P62714
Q13155	Q5D1E8
P35222	Q13467
Q13573	Q5RKV6
O76080	Q13546
O00459	P09693
P25208	P37173
O95551	Q02880
P25100	Q14344
P30679	P41594
P18146	Q01629
P10415	P55957
P49407	Q13428
P16473	Q03113
O14610	O60266
Q04864	Q99558
O95832	Q8NI35
P41229	P68431
P08700	P40189
P04234	P48736
O60814	P0C0S5
Q9NRM6	Q9UHF5
O15145	Q9Y6W5
P53355	Q13526
Q53TQ3	Q9Y265
P06400	P62937
Q86V24	Q9Y478
Q15759	Q9UBI6
P0CG48	Q9H467
Q5SW24	Q92997
P32745	Q9HD26
Q96P16	Q9Y2Q3
P29317	P52798
Q9UK45	Q9Y4Y9
Q01113	Q9ULV8
O15264	Q08211
Q8WTV0	Q9BT22
P16471	P40933
P38432	Q96EY1
Q14164	Q8N163
P10144	P11362
Q01196	Q13363
Q5UIP0	Q99547
P24043	P53708
P68431	Q9UJW3
P62745	P78559
P23396	Q04206
Q07820	Q13526
Q7LG56	Q8WXE1
P35638	Q16539
P55055	Q9UGU5
P15923	Q9NR48
Q12974	Q6P4Q7
Q02487	Q9Y446
P18084	Q13753
Q12873	Q9Y2P4
P01215	Q05209
Q9P2K6	Q9UMX0
P68371	Q13748
P14598	Q13153
P36954	Q6P1J9
P33527	Q16236
P53778	Q15080
P54646	Q13085
P08581	Q9Y4K3
O14512	P01589
Q13573	Q96P70
P42574	Q9UBF6
O14746	Q99973
P51149	Q9Y4K3
Q5QNW6	Q9BY41
O15198	Q14669
Q8N0W4	Q9ULB1
P04731	P63096
P53779	Q01538
P38919	Q13573
P78371	Q9Y572
P19429	P62714
P18031	P49023
P05109	Q9Y575
P61956	Q9UHY7
P13984	P27540
P20073	Q8WTW4
P05771	Q9NQA5
O95777	P62310
Q7Z794	Q8WUW1
P63104	Q8TEW0
P49683	Q13424
P42261	Q12840
P36873	Q06432
P12882	P63261
P29475	P62158
P36873	P49427
Q8IY92	Q9P2E9
P25963	Q9Y297
P63151	Q92736
O15264	P45985
P01106	P62333
O95167	O95168
P16144	P46108
Q05513	Q9GZQ8
O43491	P60709
Q96B96	Q9UGN5
P01111	P55196
A6NM45	P56748
Q01094	Q16875
P01574	P17096
Q13535	Q9UHB7
O15504	P49790
P61254	P63173
Q9ULQ0	Q9Y3A3
O14494	O14939
P32969	P46778
P05455	P98170
P51685	P80162
P51677	P63096
P51955	Q96RY7
P04637	Q9BUR4
O75150	Q9BSJ1
P48039	P63218
P16104	P60510
P51692	Q92905
P10242	P23771
Q9BQ66	Q9UBX3
P01106	P62995
Q99677	Q9P2W3
O75400	Q8N3X1
P05783	Q06124
P54259	P98175
P04271	Q9HB71
P17612	P50552
P09382	P25445
O60341	O75362
P27797	Q08209
O14641	P05771
O95819	Q9Y6K9
P48544	P63211
P42771	Q9P1U1
P13807	P67870
Q9GZT3	Q9Y4K3
Q04206	Q8IU54
Q15013	Q92993
Q07955	Q13247
P34947	P49238
Q14525	Q9NW61
O14933	Q13233
P16220	Q7Z5R6
P46100	Q9H7U1
P04070	Q9UNN8
P14859	P26583
P09038	P39019
P33176	P42263
P32881	Q8IU57
P33993	Q01094
A0JLT2	P36954
P62314	Q9Y333
P16401	Q13185
Q12888	Q96SD1
O14757	Q13616
P51817	Q8NFM4
P84022	Q9H9S0
O75928	Q8IVL1
O00187	P01024
P00533	P17252
P51813	P62834
P09630	P17535
Q13643	Q15654
P51812	P67870
O14544	P42226
Q8IZH2	Q9NPI6
P52333	P61073
P35222	P67870
P63000	Q8IW93
P32121	P60953
P12980	Q8IYD9
P04183	Q9HB58
P16471	P20809
P42702	Q13007
Q00597	Q9HB96
P61586	Q9Y2K3
Q92793	Q9HCS4
P11171	P61981
O60739	P16152
O43294	P10275
P25786	P25789
P61247	Q9UKV8
O00220	Q12933
O14763	Q13546
P12004	P40926
P46108	Q9Y5I3
P29992	Q9NZ20
O00548	Q9NZ42
P12004	Q14191
406947	Q99836
P42684	P46109
Q15287	Q9UQ35
P63165	Q96ST3
P08620	P21802
Q08462	Q5JWF2
P30466	Q14952
P01566	P48551
Q8IUX8	Q99963
Q59EK9	Q5VTD9
P0CG48	P10914
P19875	P41597
Q12959	Q9GZV5
P51531	Q9NQC7
P25098	P32302
P0CG47	Q99741
P16333	P78357
Q96H20	Q99816
P11912	Q02548
P60709	P62328
Q13535	Q8IYB3
P05014	P42702
P38159	Q08211
O43174	P16220
Q05513	Q8TAA9
Q03112	Q13547
P16520	P48549
Q00610	Q9UKG9
P18054	Q96RU8
P31751	P56278
P10767	P11362
A6NM45	O00501
Q9NZI8	Q9UHX1
P46778	Q15843
P31749	Q86TI0
Q15572	Q9NYV6
P42336	P63096
O14508	Q9HBE5
Q96PU8	Q99873
