#node1	node2
P46379	Q9BQD7
Q7Z478	Q9HA65
P00519	Q9UK85
O15379	Q93077
P27348	Q7KZI7
O43889	O75676
P98170	Q9HC29
O75530	Q9BVJ7
P19793	Q15466
O15018	Q99569
O95398	P63096
P60660	Q9BZW7
Q15428	Q9BUQ8
O15160	Q99459
Q13936	Q15172
P15924	Q13573
O14508	P52333
P03905	Q86Y39
Q10586	Q16534
Q7Z2E3	Q8IWY9
Q13573	Q9H307
Q96L34	Q9H4P4
Q07020	Q99558
P54284	Q13555
P62807	Q96KK5
P16220	P67870
P52597	Q15427
Q5VZM2	Q8N122
Q13115	Q16659
P32245	Q96G30
O60269	Q9BQ66
O60383	P62308
Q9H1A4	Q9UNH5
P86791	Q99459
P42773	P51693
P22626	P52272
P42704	P60520
P17480	Q9Y4A5
P12814	Q12879
P10301	P46108
P12004	Q9UK53
P04049	P10301
Q15843	Q96LD8
Q5VTD9	Q86YS3
P78508	Q14005
Q08945	Q96A08
Q14106	Q8NE35
O43927	Q9NPB9
O43707	P15313
Q15306	Q9Y4K3
Q92786	Q99684
O43809	O60500
P49754	Q96KM6
P07333	P10767
Q9BWU1	Q9NWA0
P62714	Q92736
O15042	Q96I25
O95251	Q8WYH8
P54259	Q96PM5
P35268	P42766
Q6W2J9	Q93009
P48380	Q12933
Q7Z2G1	Q92769
P08588	Q96AW1
P20908	Q9UKX5
P48357	Q9P0W0
P25942	Q13077
O95644	P17947
P14784	Q13191
P30304	P50750
P57678	Q15714
O00220	Q13618
O14920	Q9Y6K9
O15379	P48643
P23945	P43250
Q9NPH3	Q9Y616
A2IXV5	P31994
O60674	P01571
P42224	P51813
O95477	Q92796
P98171	Q07890
P62834	Q8WZA2
Q15139	Q5SW24
O14576	P04637
Q5EB52	Q8NAF0
P01563	P40189
P28066	Q9P2G9
P50150	Q99677
Q9P2G9	Q9Y4P3
O14965	P49450
Q9NP81	Q9UHX1
P17844	P62330
O14980	Q9HCE7
Q8IY92	Q9Y5V3
P06241	Q9UBS5
P78543	Q96LI5
P22301	Q01892
P35626	Q8TCB6
Q00577	Q13573
P20073	Q9UMN6
P04183	Q04724
O60343	Q96L91
P32248	P51671
P62330	Q14203
P15882	P61587
O43524	P24941
Q15075	Q9BXY4
P54840	P62140
Q53T94	Q9GZS1
Q99459	Q9UMR2
P16333	P48023
P42681	Q92569
O00329	P05556
407033	P04899
P53350	Q13153
P07900	Q9H093
Q9BQG0	Q9UL18
