#node1	node2
P62837	Q9UBF6
O75970	Q9BX67
P19174	P47712
O95831	P99999
P29460	Q99665
Q07869	Q9UBK2
Q13794	Q9HD36
P46094	Q8NHW4
Q01094	Q9NS23
P00734	P05121
O43464	Q13489
P48443	Q13554
P51888	P98095
O75616	Q14197
P62244	Q9Y6K9
P63104	Q86X27
Q16236	Q92793
Q12955	Q14571
P32121	Q8NGQ4
O43290	Q13573
P00491	P01889
P15941	P62993
P07355	Q9UHV8
P51148	P51149
P01889	P41250
P62280	P62979
P18146	Q9Y5A9
O15360	Q0VG06
O75116	P10916
O60583	O94992
O00311	Q13111
P00519	Q09472
O94817	Q9P031
Q14164	Q6NZ67
O60888	P23508
P17948	P52797
P01106	Q96T76
Q15370	Q9UK73
P27986	P50150
Q03135	Q05397
P03886	Q9P0J0
P11021	P11142
P14678	P17931
P98175	Q15427
Q5VVX9	Q9UPQ4
Q12933	Q9H4K1
P16066	P84996
P68402	Q9BZL4
P31946	P49815
O43542	P62195
343477	P31749
P25054	P52594
Q14332	Q9UBV4
O60359	P17612
Q16891	Q9P2H0
P45973	Q13111
P20333	P49411
O43293	P24844
Q70Z53	Q9UBQ0
P25942	P40937
P61758	Q99759
P02768	Q68DD2
Q13547	Q15014
P62136	Q96A32
P29350	P51692
Q08050	Q9UBC0
P61289	Q14164
P01127	P29317
P10275	Q02790
O00255	Q9NS64
Q02224	Q14683
O15379	P23769
Q13522	Q14738
O00257	P78364
P16220	P68400
P52272	Q13243
P10145	P32248
Q9P289	Q9Y376
P19532	P30084
O95989	Q8IWV7
P01106	Q9Y6Y9
Q9UBW8	Q9Y4E8
O95816	P11142
P30480	Q9NRN7
P09429	P27695
Q15906	Q9Y230
P07305	P52292
Q13643	Q14192
O94972	Q13077
O14818	P25786
P10275	P38398
Q96QV6	Q99877
P28347	P36402
P51679	Q9C0C2
P03971	P48436
Q14103	Q9NPD3
B5ME19	P41091
Q15366	Q9P2I0
Q14192	Q7Z589
P26641	Q96HD1
O14901	Q504Q3
P40225	Q9HBE5
Q6DN03	Q9C005
P50570	Q99961
O00329	P15391
P29083	P29084
Q70EL1	Q9NZZ3
P04156	Q96NN9
P00533	Q4KWH8
O95467	Q08828
Q9Y4K3	Q9Y617
P61981	Q6P597
O60603	Q15399
P01100	P05129
O14904	Q9ULW2
Q10570	Q12996
Q96MX0	Q9UI14
P30304	Q15131
P04637	Q9H3D4
P22301	Q5VWK5
O00206	P05412
P0C0S5	Q9Y4A5
Q8WXF8	Q92851
P01106	P48643
P62979	Q16621
O00329	P40763
Q16659	Q8N122
O75475	Q03164
O14543	P01589
Q03518	Q14790
P01241	Q969J5
P13945	Q15835
P08670	Q15628
P05386	Q5UIP0
P17612	Q86W47
P28482	Q9UQC2
P61978	Q3SY52
P00533	Q6WCQ1
O75478	Q92830
Q92796	Q9Y2T3
Q5VSL9	Q9Y3A3
Q99877	Q9Y5B9
P13073	Q8IXH7
O75751	Q9UJU5
Q15759	Q66LE6
P09471	P49798
P0C0S5	Q13547
Q9BVP2	Q9Y6K5
O15264	P50990
O76070	P15090
P40939	Q9H492
P63279	Q9NR12
P35637	Q04206
P01571	Q14626
P54289	Q13554
P23443	P48736
P51817	P62834
P49790	Q92621
O60603	Q13200
P01111	P22607
P0CG48	Q9UMX0
P01709	P01857
O00501	P56747
A8MVU1	P31749
O00757	Q9NRI5
P15391	P48736
O94763	Q16186
P55072	Q9P2S5
O15551	O95500
P49286	P53621
O15479	P37108
Q12959	Q96KB5
P32121	Q66LE6
P15260	P50591
P21860	P46109
O14641	O43395
P78371	Q9H7D0
P51587	Q14565
Q9H4D5	Q9UKK6
P25054	Q9UPN3
P14859	P19793
P08865	P62841
P40818	Q96FZ7
P78352	P98164
P06756	P63261
P42771	Q99459
P01730	P28907
Q10570	Q6UN15
P14618	P52790
P31943	Q07955
O76054	Q9NRR5
P63000	Q68EM7
P04075	P61421
O75347	Q9Y4K3
Q9HCM4	Q9Y478
O00264	P01889
P54259	Q9Y219
P18621	P62891
O43741	P11166
Q01844	Q9NYG2
P07996	Q96LA8
P09693	Q14790
O43924	P60953
P47914	P83731
P35244	Q2NKX8
P30304	Q9UM11
P48454	Q13936
P04233	P07858
P11234	Q07890
O00590	Q99731
P49703	Q04724
Q13535	Q92785
P63000	Q9HBY0
P16152	P60520
P18084	P46108
O00442	P20700
P55795	Q8IWZ8
P63244	Q9NRC1
Q16778	Q9UBN7
P01876	P02751
O43439	Q01196
O60496	Q96EK5
O60282	P49840
P01106	Q9NR48
P10321	P43632
P30281	Q14765
P63244	Q8IWX8
P32121	Q8NGT1
P50616	Q15797
Q6ZVD8	Q9Y243
Q02241	Q16537
O43556	Q13326
P84996	Q8TDV5
O43353	P21580
Q8IY92	Q9NWU2
P19338	Q13535
P08172	P29992
P06753	Q08AD1
P31946	Q92574
P20936	P27986
O75914	Q86YV6
Q5VZM2	Q9UHA4
P21673	P56182
O95639	Q9C0J8
P05187	Q92643
P38405	Q96RD0
P04150	P28702
P35626	Q6IEV9
P53041	Q12888
P01106	Q07864
P16885	P62993
P04406	Q6DN03
Q13643	Q9BTD8
P21673	Q9BQ70
Q13555	Q4G163
P38936	Q01094
P35030	P55085
P46020	P62140
Q01094	Q14186
P00533	P12004
100008588	O95602
P62249	Q99759
P06730	P42704
Q00839	Q9BUJ2
Q6ZW49	Q9UBL3
P52272	Q99558
Q10570	Q9P2I0
P49674	Q9Y2G4
P48454	P62158
P08637	Q9Y6Q6
P62241	P62851
O60566	P53350
Q13315	Q15020
P38405	Q8NH40
P62191	Q99460
O75822	P05198
P13725	P16471
P27361	Q9P2W3
P54259	Q96R06
P04843	P39656
P14866	Q13243
P16333	P42684
2310	P48023
P08575	Q13224
Q969Q6	Q9UBN1
P01243	P49591
O43390	Q14103
P08708	P22090
P16871	P60709
O75689	Q01130
P63279	Q13569
P78560	Q5T3J3
Q9ULG1	Q9Y230
P32969	P61313
P37173	Q9NPB6
O14974	Q9H8Y8
P62195	Q9UJM8
O95257	P52564
P16871	P37802
O95863	P49841
P61077	Q9H0F5
P33993	Q9NS73
P19419	P53778
Q13616	Q9UKT5
Q96HA1	Q9NRG9
O14974	Q96A32
O75578	Q9UQP3
P26368	Q13838
P05814	Q13315
Q13077	Q13158
Q9BUB5	Q9H814
P02747	P05155
Q16270	Q9Y5Y6
P84103	Q9Y490
O60674	P51685
P0CG48	Q99759
O75533	Q15427
P61289	Q9H1Y0
P25398	P62979
O60784	Q96KM6
O15527	P39880
P56880	P57739
P11229	Q9UK08
P38405	Q9Y585
P29400	P56199
P01106	P50213
P38405	Q8NH69
P00749	Q03405
P25963	P32121
O00254	P00747
O95149	Q14974
P06400	P50750
P04899	Q01668
406973	P00519
P18077	P32969
P11177	P20073
O14640	Q15257
Q16576	Q8N5A5
P14672	P54619
Q05655	Q8NFM4
406893	P54253
P25440	Q99459
P00403	P01133
P26038	Q9Y4K3
P26641	Q96SN8
O14678	P12956
P41743	Q8IY92
P16104	P62875
P04899	P27361
P41597	Q16663
O60739	P24666
P19338	Q6R327
P05231	P23458
P53803	P62875
O15264	P67809
P48357	Q06124
Q13547	Q14839
P32121	P58173
P29353	P46109
Q9NZI8	Q9UL18
P59998	Q9BY76
P50281	Q13308
P00451	P07225
P00533	Q9NP31
O43524	Q13485
O60674	O75159
P62258	Q9P0V3
Q13112	Q9Y294
Q13315	Q6GYQ0
Q13409	Q13748
P58753	Q13158
P83881	Q02543
P00519	Q99704
P01023	Q07954
P42336	Q05655
Q99961	Q99963
O15294	O95644
P46695	Q13362
P35268	P62906
P20226	Q04206
P11940	Q96DH6
P56199	Q14315
P46777	Q00987
P14616	Q9GZP0
P67775	Q9GZV5
P27694	P38398
P40937	Q5RL73
O14681	P51668
P08107	Q99558
O00238	Q7Z4P5
P04637	P49841
P42338	P62873
Q6P1J9	Q8N7H5
P56748	P78369
O15479	P62899
Q14839	Q9UPN9
P01112	P05771
P15153	Q8IZD9
P12931	Q08881
Q9BVA1	Q9NY65
P12980	Q96B36
Q14151	Q96SB4
P57775	Q5VYV7
P09874	P42574
P46459	P78334
P09651	Q99558
O95863	Q16384
O75030	P51532
Q00005	Q02878
P16234	P22681
Q6FHJ7	Q9ULW2
O94776	Q86YP4
O00459	P62736
P49736	Q6IE81
P09471	Q9UP65
P05231	P42702
P29400	P53708
P20073	Q9BRK5
P41595	P50148
O43639	Q9Y2W2
P00533	Q9Y6R0
P04637	Q9Y6D9
P19174	Q9NX09
P54725	Q9NRR5
Q9HAV4	Q9Y5J5
P04899	Q08828
P31644	Q15111
P01889	P11586
P12314	P53778
P78330	Q9Y6J8
P42575	P78560
Q15843	Q8WXE9
P15882	Q04771
O00329	P36888
Q15121	Q9NVE7
P05023	Q9UNH7
Q15366	Q9BPZ7
P35659	Q92769
Q03518	Q9UER7
P01106	Q9BSJ2
Q86YT6	Q9H6S1
O95453	Q9H0A9
Q8N357	Q9UGN5
O15304	Q01453
P28070	P30480
O00231	Q9UNM6
P30793	P53779
A4D0S4	P05556
Q08043	Q96QZ7
P01023	P43629
P51693	Q13190
P23443	P42345
P13501	Q01201
Q70Z53	Q9HCC8
Q14103	Q8IYB3
P07864	P08047
P59768	Q13698
P52756	Q8IWZ8
P36956	P54253
Q15075	Q96Q42
Q92851	Q9HAV5
P04629	P23470
Q96LR5	Q9UII4
P31645	Q9NRD5
P07858	Q9BPY3
P50616	Q96GD3
O95819	Q00839
O75578	P26010
P01225	P27361
Q8N726	Q9NXV6
Q13555	Q8TEY5
P13500	Q99616
P48736	Q9UBY5
P54278	Q9BX63
P11234	Q00535
P01106	Q6PL18
P56746	Q9Y5I7
P35998	Q13200
P38936	Q92922
O95251	Q9HC52
P31946	Q07866
P14618	Q96CW1
P22607	P61328
Q14566	Q9BRX5
Q9NPI8	Q9UBZ9
O43741	P22694
P45984	P51452
O94925	P43360
Q16531	Q8WV16
P42224	P63244
P54253	P54368
P18505	P46459
P61978	Q5VTD9
P15151	Q495A1
O00463	Q9UP83
P06213	Q92913
Q12933	Q14790
O00308	Q8TBH0
P56537	Q9Y3A5
O95433	Q9ULH1
P19532	P55209
P62304	Q16637
P00403	P62993
O15067	Q9UBN6
P50991	P62714
Q9HAV0	Q9HBW0
O75052	Q9Y272
P60484	Q15599
Q13568	Q9BX10
P24941	P28161
P52630	Q13547
P20226	Q5SXM2
P28702	Q92769
P14415	Q13976
P53350	Q13472
O60244	P28702
Q96HA1	Q9BW27
P56545	Q14919
Q9H8E8	Q9NS73
O14576	P04350
Q8NB91	Q9UBZ9
P60763	Q9Y6W5
P53350	Q8WWL7
P08621	Q9HAU4
P21817	P62993
Q8TD23	Q9Y4K3
Q13625	Q9H3D4
P63000	Q9Y613
Q04759	Q9H2G2
P06756	P07942
P17252	P63215
Q13643	Q8IXK0
P12956	Q8IW19
P0CG47	Q15078
Q16539	Q9HC29
P02671	P09486
P05106	Q16787
O00267	P50750
P60866	Q99558
Q92973	Q99459
P26010	Q7Z6G8
343477	Q9BRP4
P22612	P48058
P62244	P62841
P42566	Q9Y6R0
Q07955	Q99590
P10721	P52798
P09919	P24394
O14686	P68431
P62136	Q9BUA6
O95639	P62140
P01243	P50395
Q13315	Q13428
O15264	P14598
Q16659	Q8WY91
P07333	P11487
P17252	Q5SW24
P62745	Q9P227
P19012	Q9BVI4
O95167	O95178
Q04206	Q15029
P37837	Q14164
O95865	Q15714
O00574	O95715
P10073	Q13315
O75400	Q70Z53
P15336	P56524
O60260	P24864
Q08211	Q13233
P29597	P78552
O15162	O95967
Q13557	Q9P212
P04844	P43360
P42574	P62877
O43617	P27708
O75365	Q7Z794
P12931	Q8IWT3
P04183	Q9Y5U9
P24864	P62877
P38936	Q9NZJ0
P61587	Q9BZ29
P51610	P61964
P35609	Q8WZ42
Q15750	Q9H6R7
O95182	Q16795
P22626	P52756
P46934	Q07912
P01116	Q9NRA0
P30679	Q9NS75
P01116	Q15311
Q14469	Q8IYD8
O75533	Q15287
O00574	P34947
P43487	Q9UBN6
P62191	Q9UL46
P18146	Q9BYV1
P16333	Q9UMY4
O60739	P26583
O75477	P30086
P49711	Q9BQS6
P62987	P83881
O14508	P08887
P57721	Q9UNW9
P05060	Q99685
O95190	P46379
Q13315	Q13451
O15254	P98175
P38646	P63104
O95467	P34998
P05386	P05388
P60510	Q14164
P01112	Q96RT1
O96020	Q9NYG5
P12956	P60568
P55957	Q9Y239
Q9H5H4	Q9UI09
O95751	Q6ZN18
P35626	Q8NGE9
Q01844	Q9H0M0
Q13535	Q9ULM3
Q53ET0	Q9Y2K2
P48556	P62333
P12931	Q92556
O75251	P03905
P53671	Q13464
P02768	Q9GZM6
P18827	P20908
P48634	P54253
O14965	P04179
P60660	P62136
O43765	Q9BXJ1
O75716	Q14680
P62750	Q9Y4K3
P45985	P60763
P22694	Q92793
P62987	Q16236
Q13315	Q14141
P17081	Q9UKI2
P17252	Q13164
P40692	P54132
Q8IZI9	Q969J5
O15496	Q9HD67
P01024	P08603
P05783	Q15149
P38159	P52756
P05015	P08887
Q13873	Q16539
P08107	Q13077
P57730	Q9Y2G2
P01589	P29597
O75365	Q8N163
P09603	P35968
P09341	Q16570
Q13427	Q8TBK6
P15822	Q16539
O76064	Q13868
O14497	Q13315
P08581	P16885
P24385	Q15717
P60866	P62857
P30968	Q13285
Q12933	Q92530
P63267	Q07890
P04049	P35232
O43924	P20936
P21796	Q9Y2Q3
A8K6C2	Q8IU57
O95931	P78364
O43390	Q01081
Q93079	Q9UBN7
O14640	Q9UJX6
P01889	P52209
Q9UBV4	Q9Y5W5
Q9NYF0	Q9UJU2
P45984	Q16539
P54619	Q9NQR9
Q92973	Q9UNH7
P09471	P27361
P08581	P26045
P01574	P40189
O75751	P08047
P23297	P26678
P04233	P25774
P03372	P28482
P62837	Q86YT6
P01571	P19235
P60604	Q9UKV5
P22626	P62993
P16234	Q00987
Q12778	Q15759
P41159	Q14627
P19883	Q15139
Q96EN9	Q9Y6X2
O60262	P30939
P07949	Q13480
P01834	P01857
P08571	Q14344
Q6DN03	Q9UBL3
O00716	Q15910
Q15477	Q9UQ88
Q8WVZ9	Q99728
P62633	Q8TDN6
Q13257	Q16254
P10244	Q13309
P04637	P06400
A6NET4	P35626
P16220	Q9Y243
P16220	Q96PN7
P59998	Q92747
O00329	Q99490
Q9NR33	Q9NS73
Q16543	Q9Y243
P84095	Q07157
P0C0S8	Q9BY41
O75955	P08575
Q53ET0	Q8TEY5
P52333	Q8NEB9
P01574	Q08334
P07948	P14770
P08700	Q14627
Q13547	Q9NYJ8
Q13573	Q92888
P48454	Q8TD86
O00716	O95067
Q8TBC4	Q969M7
P62263	Q9NRG4
P53779	P54652
P61956	Q9H8M9
P18146	P38936
O94832	Q9Y6K9
P11940	Q00005
Q13509	Q68CR1
Q13564	Q13625
P17813	P27540
O15372	P47813
P22612	Q68CJ9
P31751	P42574
Q6NUN9	Q9NYL2
Q13573	Q15021
P14866	P52747
P04083	P21462
P13693	P18146
O60346	P48729
Q8NF91	Q96EV8
P40429	P46779
P31947	Q13315
P01106	P25490
Q13546	Q99558
P04141	P17181
O60840	P36873
Q15024	Q8WVN8
P20273	P29350
P17706	P42226
P42768	P63000
Q13554	Q8WXS5
O15111	Q12933
B1A4H9	P40238
P50616	Q92600
P31947	Q96HA8
Q01844	Q9NPC6
P42331	Q9H4E5
P07949	P42566
P22612	Q08828
P39656	Q8TCJ2
O43150	Q15811
O95639	P62136
P11388	P25208
P25686	P62987
O75800	P49711
O14733	Q9NYJ8
Q9NPG1	Q9UBV4
Q15788	Q9NQC3
Q05655	Q9NYF0
P01111	P11362
O15360	Q12824
P62875	Q9P0M6
Q13509	Q92974
P08238	P63261
P34820	P36894
P01106	P68366
Q15834	Q9H5Z6
Q13547	Q15796
P04798	Q01201
P16333	Q9H8V3
O00459	P08134
Q15388	Q99689
O75197	P04628
O75694	P01106
P54253	P62760
P05026	P51817
P25205	Q8WYB5
O75396	P40337
P42680	Q9Y6Q6
Q96PU8	Q9UKM9
P20936	P52797
O00716	O75496
P17931	Q01196
O60716	P61586
P16298	Q13255
P11274	P16220
P01106	P04049
P61224	Q8WWW0
P01106	Q9H9Y6
O95816	Q9NYJ8
Q9BTE0	Q9P2H0
O95136	P04899
P63104	Q06413
Q13535	Q5U3C3
O60381	P18146
P18084	P35443
Q16539	Q9P2W3
P78347	Q06187
O15254	Q9HAU4
P62258	Q6R327
P01308	Q8WYR1
P12110	P16070
P35658	P78406
O75159	P15509
P14672	P41743
P08107	P19525
P23508	P62993
O75594	P17066
O43920	Q9Y375
P43405	Q9BXN2
P12931	P51813
P02538	Q9Y3C0
P35968	P98077
P12830	Q7Z6J6
P15248	P40238
Q5T3J3	Q99728
Q14011	Q5JVS0
P26599	Q9Y5P6
P18146	Q16774
P16220	P62140
P38936	Q6EMB2
P15880	P62263
Q12923	Q9BUL8
P05412	P28482
P58876	Q96RL1
P21675	Q99880
Q8NHQ1	Q96BR9
P82279	Q93063
P42702	Q86WN2
P45880	Q9Y4K3
P12757	P78317
P22681	P78552
P01106	Q13200
P28482	P80217
P30511	Q8NHL6
Q12874	Q15428
O60674	P08700
O75928	P35548
O75899	P61952
P01137	Q9HBG4
P38405	Q15620
O75400	Q13485
P11586	Q9UKE5
P58876	Q99878
P17181	P52333
Q08117	Q15475
P49674	Q9NYF0
P49366	Q13535
Q02156	Q96B18
Q12879	Q13936
Q8TEW0	Q9BYG4
P30480	Q14657
P48023	Q9NZQ3
Q9UKR5	Q9UN74
P56199	Q13751
P20718	P42574
O15372	Q14164
P48729	Q9BXL7
P23508	Q08945
P29992	Q9NPC1
O14920	Q14790
P14921	P50613
P62195	Q9UBB9
P23760	Q15788
O14640	Q13618
P07948	P11912
O96017	Q15554
O76064	P19793
Q14562	Q8NAV1
Q13643	Q8HWS3
O60566	Q99459
P10276	Q15744
O00255	Q6UXN9
P51668	Q13233
P63208	P84022
O60739	Q9Y5K5
P35626	Q96RD1
P00488	Q05397
P00533	P42338
P17948	P48736
P37231	Q9BYK8
P29992	P34995
Q5JTH9	Q99558
P02751	P07996
P01112	P19174
O95863	Q04206
P15090	Q93063
P45985	Q12852
Q14191	Q15554
Q8WUM4	Q99816
P02786	P02787
O00716	P14635
P43005	Q01844
O14544	P26951
O95831	Q15773
P08134	Q96BK5
P24864	Q9UJX3
P56556	P62380
P23921	P56537
P12931	P30530
P25391	Q13683
P49459	Q5VTR2
Q13557	Q92736
O00206	P04899
P20333	Q12933
P17980	Q13435
P09619	Q9BQ66
Q9BUH8	Q9H4K1
P30086	Q9NRG4
P32969	Q9NXU5
P16220	Q13794
Q08117	Q9NPC8
P30153	Q00005
P08476	Q04771
P14923	Q12913
Q13418	Q96T76
O43491	Q13315
P04070	P07204
O43566	P20701
O75197	Q9UBV4
P00533	P78527
P33993	Q9UBU7
O94832	Q9Y5J5
P07333	Q92913
P35222	P42166
Q96A08	Q96DB2
P56377	P61966
O95619	Q96Q83
P16083	Q16236
P59768	Q5JWF2
Q15363	Q92542
P06703	P07355
P60484	Q04864
O43242	P17980
P25786	P29372
O94759	P04637
P17252	P63261
P55735	Q9NYJ8
O75367	P56524
P35080	Q03405
O60359	Q16537
P16333	Q8IXJ9
P06729	P13987
O14610	P05771
Q15139	Q9H492
P01241	P17181
O15397	Q14974
P16220	Q9H165
P08962	Q9BXN2
O94916	P07900
O43524	Q9Y243
P08138	P52797
Q9ULH0	Q9Y3A3
O43709	Q9Y478
P01834	P01871
O43889	P31751
P32121	Q99835
P00519	P42566
P61254	P62910
P06493	P12830
Q05639	Q5ST30
Q14643	Q9NSB8
P18146	Q99705
P50053	Q13418
P19447	Q13501
O00410	Q92844
Q13547	Q9BTC8
P07948	Q14511
P01303	Q9UBS5
P09651	Q15428
P25940	Q13797
P62805	Q9NWM8
Q92985	Q9H171
P22303	Q13485
Q13362	Q92736
P05112	P08887
Q15797	Q9BRH9
P49841	Q9Y297
Q16778	Q93077
Q6ZVK8	Q9UI14
P46094	P49407
P35626	Q9Y4A9
P27986	Q9UKW4
P04843	Q8TCJ2
P60763	Q8N5V2
P20340	Q92871
P29460	Q09472
Q8NBZ0	Q9H9F9
Q9H0E2	Q9NPH3
Q8IUE6	Q8WUI4
406902	P49639
P13236	P32246
P41594	Q12879
P22694	Q9NP71
P55039	Q9H446
P33765	P63096
P83731	Q9UKV8
P62330	Q8TDY4
P09211	P21246
O43678	Q9P0J0
P10826	P19793
Q04917	Q96PY6
P49790	Q8WUM0
P38405	Q8NH09
P41743	P60763
P27361	Q9UBI6
P15884	Q8N2W9
P51970	Q86Y39
O14744	P12755
P62424	P62913
P62277	Q53EL6
P30304	Q04917
P24385	Q13105
P06756	P49746
Q15628	Q9NPH3
P04637	Q13972
Q9BRX5	Q9UNS1
Q13422	Q99708
P38919	P63104
P42345	Q8N122
Q15750	Q8IW41
Q6NV75	Q9UBU8
P32121	Q8NGI7
O76071	P46379
P01569	Q04206
P07550	P43250
P36873	Q9NZT1
P0CG48	Q15078
Q13114	Q15326
P00533	Q8WXH5
P19174	Q86YH6
P50151	Q16539
P06493	P98177
P62140	Q6UN15
Q9HC35	Q9HC98
Q05513	Q66LE6
P15336	Q8TDY2
O00422	P61981
Q12933	Q16526
Q92997	Q9UP38
P02452	P09486
O14920	Q70UQ0
406921	A7KAX9
Q92993	Q96NT1
Q16254	Q9Y4A5
P67809	Q9UL18
Q16576	Q9Y5X4
P05161	Q92985
P60903	Q7L5N1
Q13976	Q96BA8
P63104	Q2NL82
A6NM45	O95471
P62993	Q05193
P56750	Q96AP7
O14497	Q8NFD5
Q04637	Q9UGR2
P50570	Q8WYR1
Q16254	Q7L2E3
P32121	Q8N148
P23497	Q99856
P04181	P60953
P19174	P29474
P45983	Q12904
Q13148	Q9NX70
Q13315	Q9H825
Q08209	Q13255
O14775	P48039
O60343	Q6N021
Q8NFP9	Q9NRL3
O00574	Q92583
Q00839	Q8IWZ8
P55201	Q14566
P00533	Q9NRV9
P03372	Q8TAQ2
P06213	P10586
P39019	Q13573
P04899	Q14832
P55072	P67775
P58012	Q9UBK2
Q14765	Q92793
Q8WXI2	Q96NW7
P16403	Q96HA7
P12956	Q96KM6
Q13315	Q6AI39
P21917	P61952
P10912	Q15262
P07900	Q16665
O00470	P40424
P01178	P30559
P49407	P51677
P13725	P42701
P24941	Q13042
P02545	Q16513
P01112	P51617
P52907	Q99759
Q07955	Q13573
P05106	Q13751
P52292	Q04206
O60684	P32320
P01579	P38484
Q96DV4	Q9UKR5
P00533	P22681
P63279	Q6EEV6
Q13191	Q99650
P10145	P46094
P63010	Q06124
Q8TBB1	Q96GX9
P10415	P45983
P07910	P52597
Q13191	Q8WV28
Q9NRL3	Q9Y2U9
P50402	Q9UKV8
O60684	P22392
P40939	Q9Y4K3
O96019	Q52LR7
P42224	Q99731
P12931	P49023
O60383	P05109
Q13432	Q16363
P18146	P19544
P61769	Q15853
P61313	P62910
Q13191	Q14626
B1A4H9	P23458
Q5VYV7	Q9Y4P1
Q8IU60	Q96F86
P35626	P58170
O00299	P01889
P13631	Q2M1K9
O14920	P21333
Q13573	Q8IWX8
Q12931	Q8TDR0
Q96B26	Q9Y613
Q16828	Q99750
P35626	Q9H2C5
P00403	P62736
O95197	P11142
O00198	Q07817
P15153	Q7Z5H3
P05129	Q9HBA0
P53779	Q9UBI6
P63165	Q99607
P52435	Q9NX70
P42574	Q14457
O14764	Q9NQX3
P50750	P61978
P62244	P62851
Q15596	Q99873
O60739	Q16543
O76071	Q14203
P12956	Q15011
P51149	Q15904
P37231	Q9UBL3
P63000	Q14289
Q13309	Q9H211
P19525	P56537
Q13315	Q8NDX5
P01562	P32927
P30050	Q9UKV8
P12956	Q99643
Q92569	Q9UBK5
P60953	P62834
P28340	Q9P2H0
P61326	Q96BK5
Q9HAV4	Q9UBN6
Q96KC2	Q96PM5
P06239	P28827
Q13315	Q8IY67
Q13573	Q92769
P10721	Q7Z699
P05771	P17612
O15392	Q15329
Q86WN2	Q99650
P00750	P09429
P04156	Q13449
P15336	P53778
P19525	P62140
P05015	P14784
P12004	Q9BXW9
P23409	P41134
O14965	Q9Y297
P30281	Q96EV8
O14920	P98177
P01116	Q13393
P12931	Q16513
O75400	O75925
P17693	Q8NHL6
O60711	Q05397
P53778	P62714
P05015	Q99062
Q969G2	Q9UG01
P23921	Q9UET6
Q12778	Q86UR1
P01579	Q01113
P19086	Q68DD2
O14964	Q9HA65
P62877	Q96G25
O60739	P22234
P29597	Q92783
P17947	Q9UGP4
Q96B02	Q9UPQ4
P18084	Q13424
P35998	P54727
P09919	Q5VWK5
P59768	Q92806
O14929	Q6NXT2
Q86TJ2	Q92830
O75438	P03897
P30305	Q15759
P33993	P78527
P13164	P42224
Q13535	Q6P9F5
P06899	Q96KK5
P04908	Q8WUI4
P08648	Q14031
P43146	Q14232
P38398	P68400
Q15648	Q99576
P04150	P17947
O15169	P49674
P26599	Q9NX70
O94973	Q96CW1
P67809	Q07955
P62805	Q9UER7
O15264	P30041
P43686	Q14525
P62070	Q8WWW0
O15121	Q9ULC4
P84098	Q9UL18
Q14974	Q8WYP5
P42680	Q07021
P63092	Q96PN6
P10275	Q14192
P42574	Q9UKB1
Q96B02	Q9C040
P08100	P08651
P0CG48	Q16621
Q9UBW8	Q9UNS2
O14641	O43900
P35226	P60484
P19793	Q2M1K9
P42345	Q07817
O60885	P62993
P21728	P30542
Q16760	Q96ID5
P24844	Q9H1R3
O43261	P25786
P23297	Q9HB71
Q9UBF6	Q9Y6I7
P49748	Q14197
P01137	P31483
Q05655	Q07157
574493	Q9UNQ0
Q00722	Q02156
P07339	Q86YJ5
P14921	Q16659
O75376	P02794
O95411	Q15287
Q16514	Q96BN2
P16234	Q00722
P15336	Q92793
O60684	P00966
P00533	Q9Y371
P01241	P29401
P14635	Q4G163
P04626	Q13882
O95400	Q9BUJ2
Q8N684	Q99459
P09919	Q9HBE5
P19174	P31749
O75015	Q8N149
P32121	Q8NGE5
O00499	Q99963
P00519	Q9Y3S1
P04085	P21802
Q01082	Q6WCQ1
P01566	P19235
O00212	O96013
P61981	Q09161
P19438	Q9UKB1
Q9NX70	Q9P086
A6H8Y1	P20226
P22415	P33076
O43920	O75306
O14672	P25025
Q96LR5	Q9Y508
Q5VVX9	Q9BYE7
P50395	P62491
P32881	P40238
O60739	Q15008
A8MT69	Q9NW38
P18085	Q9HCK5
P49427	Q13616
Q96KG7	Q9H0H5
Q13619	Q15291
P21980	P51178
P51812	Q99640
O14757	P61981
P05412	Q92731
Q16778	Q8WUI4
Q969G3	Q9NRI5
P35222	Q96RT1
Q92794	Q9P2R6
P61201	Q02556
P01178	P16333
P00533	Q9H4P4
P49720	P56537
P11171	P26640
O43353	P53778
P16333	Q15078
O95208	P0CG48
P01562	Q01344
P62158	Q8N5S9
O43707	Q13797
Q9H2F5	Q9Y230
Q15750	Q8WUM4
P11171	P63173
A7MCY6	Q9UHD2
P30050	P63173
P68400	Q16695
P17947	P62380
P08754	Q92806
P13984	Q00403
O95402	Q9Y3C7
P08138	P49765
O60216	Q14683
Q9NZT1	Q9UQK1
Q15256	Q16539
P43364	Q9Y375
P98175	Q13123
O00763	Q9Y478
P54257	Q9H5J8
Q9P2H0	Q9UNI6
Q04206	Q9BYH8
P07910	P52272
Q15291	Q8N257
Q92783	Q9ULH1
O43670	O75554
Q9BY78	Q9Y2X8
O43541	P01375
O95257	Q5UIP0
P81274	P98175
P32121	Q8NGT7
O15392	P34932
Q92994	Q9H1D9
Q16537	Q9BXT2
Q00839	Q01081
P19838	Q92793
P15170	P60520
O60260	Q9UHX1
Q02763	Q15389
P27986	P98082
P19438	Q8TEL6
407006	Q96LC9
P27540	Q09472
406887	P52926
P32121	Q99683
Q07654	Q16665
Q13643	Q15654
P14784	P42224
