#node1	node2
O96000	P03923
Q13535	Q6P1J9
Q13535	Q9NUW8
Q15047	Q99728
P10721	P15498
Q99558	Q9BQ67
O14818	P00519
P32248	P34947
P16144	P56199
P07711	P29508
P53420	Q9UKX5
P15153	Q86VI3
P14649	Q15746
P15260	Q04206
O95182	P51970
P31947	Q12778
P30679	Q99614
P19367	Q96GD3
P22607	Q99962
P01106	Q6ZMI0
P62136	Q13936
P55209	Q92793
P62753	P62854
Q5T6C5	Q99750
P14618	Q92597
O95817	P00441
P62244	P62857
P08138	P11487
P35221	Q15910
Q13148	Q9H0D6
574447	P51617
P10276	P29373
O00264	O60739
O00144	O14905
Q9BXS5	Q9Y6Q5
P62847	Q99558
P30450	Q14954
P63000	Q96F07
P17252	Q13393
P35968	Q8WYR1
P16220	P78347
Q05048	Q9H0E2
Q15906	Q9H0E9
O75937	Q13243
P08195	Q92536
Q7Z6J0	Q9H2E6
Q92905	Q99459
P14778	Q9NWZ3
P56199	Q9NVD7
Q13564	Q15843
Q15370	Q15714
O95990	Q9BUH8
P50552	P60953
P22090	P25398
P18507	P60520
P02675	Q13155
O95398	P53778
P63000	Q9H4E7
P30153	Q13155
P50402	Q9BRV8
P04275	P40197
O43809	P21246
O94864	P68431
P48051	P62873
P04075	P61421
P56945	Q07912
P62750	P62888
P11047	P25391
P10301	P42338
Q06455	Q9Y2W1
Q01813	Q9Y4K3
O75937	Q16629
P12931	P42229
O95786	Q9H6S1
P46379	Q7Z434
O14604	P60709
P05231	P15509
Q14469	Q9UBN7
P02745	P05155
P49591	Q9UET6
Q13111	Q9UBU7
P11831	P17947
P84022	Q9HCE7
O75446	Q9HCU9
P05113	P19235
P20916	P56693
P52294	Q9GZX7
Q96C03	Q9UMX0
O94972	Q8TCX5
P30480	Q15631
P62745	Q13427
O76081	P19086
P05067	P17538
O00716	P14635
P60568	Q14627
O95622	P59768
P51149	Q9Y4K3
Q5T3J3	Q9Y2X7
O00487	Q96CS7
O95257	Q8NBN7
A6NM45	Q9Y5I7
Q8NI08	Q9H0R8
P02647	P41235
P68133	Q13315
P16144	Q14315
O43292	Q9UL03
P24394	Q9Y4H2
P27037	Q9UER7
P16871	Q9HC73
P04406	Q6PD62
P15498	P19174
P06241	Q9Y5Y3
P25208	P35638
O95157	P62993
P24522	P68104
P56645	Q16526
P20073	Q9GZT6
P43360	Q92616
O15303	P63096
Q9NYJ8	Q9UDY8
Q05639	Q9UKG9
Q5VUM1	Q8IUQ4
A6ND36	Q15796
P17677	P67870
Q9C0K7	Q9UGJ0
O75815	Q01105
P09630	P17535
P49336	Q93074
P01241	Q14627
O00329	P10828
P35790	Q92569
P63167	Q9UBX3
P0CG47	Q9NVI1
O95644	Q06413
28938	Q92973
Q92844	Q93009
Q7Z2E3	Q9BSW7
O43670	O43684
Q12788	Q16576
A5PKW4	P0CG48
J3KNP4	O15031
P38936	Q7Z5J4
P62837	Q9UKV5
O94986	Q13568
Q13133	Q15466
P42345	Q15382
P37173	P63010
P63151	Q9NY47
O15169	P35222
P35998	P51665
P01106	Q9UKY1
P10275	Q02548
P02792	Q16236
P05412	Q13526
P28749	Q15654
P53350	Q15811
P51946	Q7L4P6
O94916	P01375
P30450	Q07000
406991	Q32MZ4
O14576	Q14451
P22392	Q15365
P63244	Q9Y2P4
Q08945	Q9Y5B9
406907	Q15910
P01375	P27361
O75694	Q9BW27
O95299	P03901
P50395	Q9Y4K3
O14508	P17181
Q06124	Q13480
Q15047	Q9Y2V3
P05162	Q7Z569
Q08378	Q9HD26
O00459	P54710
Q5UIP0	Q9NZL4
Q7Z7A3	Q9BTM9
Q8N163	Q9Y2Q3
P20248	Q8WXE1
Q8IYB3	Q9BUJ2
O95294	P01116
Q15788	Q9UL51
Q15907	Q6WKZ4
Q9UJZ1	Q9UKV8
O94805	P51532
P01111	P21359
P25786	P28066
P42575	P68400
P53350	Q4G163
P19838	Q92851
O76075	P35226
P63092	Q9UP65
Q6UXL0	Q9NPF7
P62136	Q9Y698
P31947	Q8NEM2
P40763	Q92569
Q13753	Q14118
O43353	Q13490
O75084	Q00722
P51532	Q9UJX2
P08670	Q8N6T7
P49841	Q12879
P61586	Q9NRY4
P01106	Q02127
P00519	Q9Y5K6
Q13309	Q16589
P24941	P49918
P03950	P51864
Q01955	Q9UKX5
Q13315	Q13769
P27797	P78504
O14964	O43513
Q16254	Q92543
O15121	P18146
P00533	Q01970
P15924	Q14164
Q02543	Q02878
Q8IYW5	Q96FW1
P16871	P63261
Q01094	Q9Y6Q9
P22460	P35609
P01241	P11586
O14807	Q07889
P49842	Q15427
Q13485	Q13501
P67775	Q9BX67
P06241	Q06418
P05067	Q03135
Q13432	Q96SN7
O75475	P07327
Q01668	Q13362
P38398	Q92922
P08590	P12883
P33991	Q13415
P13725	P18146
O15105	Q96FJ0
P08572	Q9UKX5
Q16821	Q93100
100008588	O95602
P0CG04	Q9NRR5
P06400	Q66K89
P62805	P62993
P08754	P25025
P12757	P78317
P03928	P05496
P01584	P27930
P02647	P17931
P55795	P63244
Q13243	Q8IYB3
P12314	P42224
Q13835	Q5MNZ9
Q6STE5	Q9P2D1
P17987	Q99459
P01215	P22888
O95359	P49454
P12814	P26038
P08107	P10809
P04198	P25205
P00734	P07359
P15336	P84022
P08047	P10826
P23368	Q9Y4E8
Q9HAW4	Q9UM11
O60508	Q14683
P16070	Q12955
P0CG48	Q9NVI1
P46777	P67870
P17275	Q14494
Q8IU57	Q8IZJ0
O95166	Q99569
P42679	Q16288
P15018	P32927
P38405	Q8NGM1
P53671	Q9NQU5
P00533	Q03135
P63104	Q13698
O43586	P83881
P24928	Q9BYW2
Q93074	Q99459
O00329	P16144
P06400	Q9BY41
P05129	P41220
O00422	Q16740
P84095	Q14185
Q02833	Q9P212
P23560	Q99523
P16885	Q3MJ16
P45984	Q9Y5K3
P19823	P36542
P98175	Q92733
P48058	P51817
O95299	Q9UI09
P63104	Q01105
P06702	Q15853
P51828	P59768
P20226	Q01094
P45984	Q9BY84
P24468	P49715
A0JLT2	Q96RN5
O00459	P14415
P18146	Q9Y2D8
Q15052	Q15797
O15169	O75197
P04637	Q07817
P61247	Q9NR30
P01258	Q01814
O14901	Q504Q3
P00533	P43403
P23945	P32298
O43374	P01112
Q15027	Q9HC29
Q8IW50	Q8IX03
P14314	Q4KWH8
Q14134	Q9BSW2
P02461	P05556
P51681	Q14061
P18146	Q12772
P11473	P41235
Q15428	Q99459
P19174	Q14108
P00533	Q9P104
P17612	Q14524
P04632	P36575
P13612	P26012
P42262	Q9UQM7
P05387	Q00005
O75558	Q96QD8
P01583	P35228
P02458	Q14050
Q9NS69	Q9Y5J5
P01106	P63208
P19793	Q96HR3
P40939	P60520
P35080	Q9Y6Y0
100008587	O60264
P04908	P56524
P21583	Q02763
P32121	Q02750
P01106	Q9H9B1
Q12824	Q13315
O95786	Q9ULZ3
P06400	Q92922
P45984	Q14934
P05000	P17181
P08172	Q8WYR1
P16220	Q13237
P04085	P09619
O95298	Q86Y39
P09936	P62979
O75197	O94907
P55072	Q15418
P31943	Q86V81
P13497	P35348
O94915	P31946
P17948	P21583
P40429	P63173
P06239	P0CG48
O00571	Q9UHD2
P17948	Q9Y4K3
O60383	P13385
Q07866	Q16659
Q7L190	Q7Z7J5
P40337	P43307
P14778	P27986
O43306	P54253
P01568	Q99665
P01243	P49591
O15105	Q9UN79
P05129	P49023
P32241	P62158
Q9UBQ5	Q9UET6
Q00839	Q15287
P20338	Q9HD15
P37231	Q16236
P26651	Q15834
P05129	Q9H492
O00750	P09619
Q06124	Q9UKW4
O75365	Q9Y5M8
P32121	P47890
O15116	Q9HAU5
Q16619	Q99650
O00231	P26641
P10275	P10606
P68104	Q5VVJ2
P29372	Q01105
Q9Y4K3	Q9Y6X2
P32248	Q8NHW4
406952	P01106
O00217	O75438
P62277	Q13233
Q01362	Q13952
O95445	Q99612
P51531	Q86U86
P06850	Q13324
Q16531	Q9Y6K9
O60729	Q9UM73
O15198	Q6PD62
P01861	P42226
P35626	Q8NH21
O95630	Q9H444
P63151	Q9UBN1
Q16254	Q9H211
P08865	P62263
Q12933	Q92851
O43791	Q7Z7J5
P0C0S8	Q16778
P14174	Q9UBN6
P27540	P35318
A1YPR0	Q99459
P51965	Q9NVW2
O15360	Q96GM5
Q5VVX9	Q9C040
P52735	P61224
Q9H0H5	Q9H8V3
P18084	Q92752
P43699	P55157
P35609	P46777
P01563	P19838
O43741	Q9NQR9
O14745	P23508
Q9BRQ0	Q9H0E3
P28074	P49642
O43320	Q02763
P62847	Q00653
P61086	P63165
O15379	P10145
O15105	P15884
A6NIT4	P78552
P16220	Q9UIH9
P17252	P62993
P12931	Q13114
Q9UQ26	Q9Y6V0
P46019	Q6ZSY5
O00303	P30480
P06493	Q13526
P48551	Q92793
P28472	P46459
P01178	P16333
P27361	P62136
P63000	Q9P2F6
P62906	P83881
P43405	Q9NZC2
P0CAP2	Q9P2H0
O15151	P31946
P41743	P62714
P07942	Q7L1I2
Q15645	Q96FJ0
P21802	Q92569
O94993	Q12933
O95997	Q9UM13
P63261	Q9ULL8
P15882	P36897
406881	Q15717
Q12906	Q9HCS7
Q06190	Q92736
P30480	Q00688
P23508	Q7L5N1
O14503	Q9NPI1
P17948	Q99962
P47871	P50148
P38936	Q5VTD9
P08581	Q9NP95
Q86WV6	Q96N66
O00487	P62333
P40425	Q9UQB8
P10276	Q15596
P43405	Q14242
P31751	Q16821
P56537	Q9P2H0
P15172	P55036
A6NLW9	P38405
Q9NYQ7	Q9UJ04
P0C0S5	Q9Y4A5
P62330	Q9UI30
P15336	Q99871
P42336	P62879
Q6SZW1	Q8IUC6
P05113	Q5VWK5
P05787	P08729
O95985	P54132
O96000	Q9NX14
P62330	Q08211
P00533	P08620
P11142	Q04206
P25092	Q5T2W1
P30530	Q07912
P29972	Q9BQ66
Q8IYD1	Q9H361
Q9BTM1	Q9UKV0
P40227	P63104
Q09472	Q15596
P52597	Q9NWB1
P55735	P56537
P0CG48	Q9H0E2
P53779	P60953
O95239	Q99459
P35609	P62158
Q14209	Q14566
P40337	Q96QK1
P18146	Q9NVF9
Q9HAW0	Q9NVI7
P55795	Q9BUJ2
P47736	Q6ZN04
P18077	P46778
Q5SXM2	Q676U5
P31749	P42858
Q15008	Q9BV73
O95433	P80404
Q8WXW3	Q9Y2U5
P14778	Q13158
Q08999	Q6NUQ1
P49768	Q9UQB3
P35626	Q9P1Q5
P53365	Q13352
P02766	P27448
P25054	P47755
O95072	Q14683
O14974	Q99759
P01135	P11362
P06241	P56539
P12980	Q2KJY2
P15153	Q92556
Q96EE3	Q99567
P22694	Q14432
Q96RK0	Q9P1U0
P62993	Q9H5I1
P10276	P49639
P05023	P28482
O95870	Q92900
C9JDP6	O95832
P62249	Q9H1Y0
P22626	Q00005
P62304	Q15428
P01116	P63096
Q13315	Q8IY67
O43570	Q9H079
P01241	P14784
P36406	P55040
P38405	Q8NGV7
O43676	P56556
P17301	P49746
P20333	P56945
Q9NQX6	Q9UDV6
P62750	Q9UKV8
P56134	P56556
Q13315	Q13427
O75530	Q13547
A1A4S6	Q9H4E5
P41231	Q08722
P10242	Q01094
P46776	Q9Y3U8
Q13510	Q15047
Q14061	Q5T3J3
O15294	P51610
Q14691	Q9BRX5
O75964	P01889
P19387	P68104
O14920	P42574
O43741	P54646
O00141	O15067
P15090	Q92882
P35372	P84996
Q5JSL3	Q7L0Q8
O60840	Q13976
P62888	P62913
Q92878	Q9BXW9
P30480	Q9Y266
P21333	Q9Y6K5
P00519	P62826
P26368	Q13838
P25490	Q92560
P07948	P46527
P01569	Q9UHF4
P41182	Q96J92
Q9NPJ1	Q9UNE7
P61088	Q9H992
P13533	P63261
P09619	Q00722
P09471	P17252
O43617	Q8WVT3
P14373	Q9BUH8
Q9H6R7	Q9Y3C7
P23467	Q13224
O43781	Q92993
P40429	P61313
O94855	Q00536
Q15155	Q969Q1
O95983	Q8N5A5
O00422	P08151
Q01780	Q8TF46
P63098	Q9UIK4
P08887	Q9NPF7
P49841	P61960
Q13873	Q15796
O14775	O60266
P33991	Q7L590
P51532	Q9UPN9
P09919	Q9HC73
Q6QNY0	Q9UL45
P04637	P48730
P04049	P10301
P18146	P63027
P35222	Q9Y230
Q92624	Q9BT88
P20618	Q9P2G9
P0C5Z0	P58876
Q6P4I2	Q92956
Q96EP1	Q9UBS5
P18859	Q16659
407007	P03956
Q15428	Q9Y2W2
P09651	Q99558
P62877	Q969H0
O75122	P61981
P54284	Q13555
P33992	Q9UNS1
P04198	P49841
P05556	P20339
Q13137	Q8N5R6
P84243	Q96BD5
P09544	Q96HF1
Q16584	Q9UPT6
Q96IF1	Q9H4B6
P35968	P49023
O75578	P24821
Q13642	Q9H3M7
P10301	P27361
P20339	P50395
P84098	Q13573
P54764	Q8N5V2
O43586	Q9NR30
Q13237	Q92934
Q99706	Q9NWF9
O00221	P55072
P17947	P62380
P08648	P46108
Q86SE5	Q9H9D4
P36542	P56381
P63261	Q11203
P26367	Q5SQQ9
P01106	Q92552
O60266	P63211
P01111	Q15418
P62805	Q9BZK7
P29590	Q13155
Q9GZT3	Q9Y4K3
O94967	Q96EP1
P55081	Q01081
P43246	Q9Y6K9
Q8TEW0	Q9BYG4
O15111	P84022
P35626	Q6IEU7
O15455	P84022
P13232	Q13651
P08754	Q00975
Q13136	Q8ND30
P09455	Q4LE39
P04070	P07204
O95832	P08253
O95067	P21333
Q14106	Q8NE35
P07737	P63267
P06493	P19784
O15111	O95163
O00463	Q07011
O15259	Q7Z494
P09529	P27037
P09429	P39748
O60684	Q9Y5K6
P52735	Q58F21
P19387	Q9NX70
P15622	P41227
P28324	P28482
P01023	P09038
P10145	Q16695
Q7L5N1	Q8IYB7
Q99877	Q9P0U4
Q14164	Q8NC51
O75116	P62140
P63279	Q9Y3V2
Q14197	Q9P0P8
P02751	P40337
P04629	Q99570
Q6UXN9	Q9UJ70
P09874	Q9NUW8
P25205	Q9P2S5
P06734	Q15306
A4D0S4	P26012
P27348	Q9Y6J0
P11234	Q16512
Q9BWD1	Q9Y478
P42262	Q13557
O43157	Q9H3S1
P53673	P53674
P54284	P67775
Q8IYD8	Q8WXE1
P46776	P62829
P24522	Q12824
P61981	Q14155
P62136	Q16816
P13942	P16144
P16144	P25391
O75807	P20264
O75340	P50995
P01111	Q16204
P35499	Q13424
P32302	P49407
P30154	P31751
O75554	P08621
O75390	P61421
Q01970	Q14332
O14512	P40238
Q13387	Q96JG8
406882	Q2Q1W2
Q13573	Q7L1Q6
Q05516	Q99684
Q9Y228	Q9Y6E0
P05107	Q8WYR1
P08047	Q9BYW1
Q02078	Q15796
P01106	P61073
Q15047	Q96SN7
O43292	Q13526
P38405	Q96RD1
O96017	P06400
P56524	P58876
Q96D09	Q9P2H0
P60709	P62760
P09884	P49642
P63261	Q14315
P17612	Q04206
O15273	Q9NP98
O00574	P13500
O14807	O15211
O60925	P55854
O60831	O75915
Q15910	Q9UBC3
O95299	Q9NX14
P15311	Q96BK5
P35968	P42224
406939	P15692
O15269	P13569
P27361	Q9NYA1
O00442	P61254
P84103	Q15365
P35637	Q15365
P01889	Q14697
P98175	Q12926
P0CG48	P15976
P27361	P50151
P16220	Q9Y6F9
O75326	P05556
P15311	Q92574
P18124	Q04206
O14508	P42229
P52272	Q16629
P68133	Q9Y4A5
O75197	Q9GZT5
P54725	Q12933
Q14164	Q9H173
P16333	Q96EV8
P41732	Q9Y664
P08311	Q9UIV8
Q86U86	Q9UJX2
O75569	P29353
Q13618	Q86VP6
O15031	P60763
Q9UM73	Q9UPT6
P46781	Q13233
P19438	P51397
P31946	P40818
P17948	Q9HCE7
P50539	Q6XUX3
P13569	P53675
P10144	P11362
406980	P54253
Q01892	Q92793
P05388	Q07020
406984	Q9Y2M5
P21283	Q96G23
Q13216	Q13619
P35609	Q13627
Q15047	Q4VC44
P63218	Q99677
O15116	Q14684
P06401	Q8WYK2
P36888	P51692
P62158	Q9Y283
P00540	P10301
O95817	Q14203
O43929	Q13415
P40225	P42701
O15551	P56750
Q68CP9	Q9P2D1
P04156	Q14011
O95999	Q9BXL7
P31151	Q9P286
Q99570	Q99624
P23508	P30153
Q13885	Q9UI14
P50150	P63092
P13569	Q9Y6N5
P07900	P10809
Q15654	Q99836
P26010	Q9Y3P9
P61513	P62888
O15131	P12956
P28300	P98160
P19544	Q06710
P01889	P55072
P26196	Q13315
Q16539	Q16828
P08311	P25116
P16220	Q00534
P35222	P36402
P62324	Q9UIV1
P05412	P53778
Q00005	Q13936
A4UGR9	Q9UET6
P0C0S8	Q8WUI4
P45983	P99999
Q13151	Q16659
O14727	P34931
P84103	Q13247
O96013	Q32MK0
P12814	P60709
P28335	Q13936
P19838	P27708
Q14781	Q71DI3
P19838	Q00005
O60671	O75943
Q12929	Q9UL45
P02766	P98164
A8K6C2	Q9UHF4
P53350	Q9H8V3
O00459	Q9NSB8
P07900	Q15628
P45877	Q9NRR5
P01106	Q9Y4W2
P35900	Q9BUW7
P08138	P52566
P28749	Q9UPP1
P25054	P36544
P35222	Q01826
P60953	Q9H0H5
P00533	P08253
P08151	P48730
P63000	P63261
P36542	Q9UJM3
Q9UKE5	Q9Y230
P62241	P62753
Q10570	Q6ZVL6
Q14194	Q9Y2M5
P49257	Q8NI22
P36897	P98082
P19338	Q92597
Q16891	Q9Y6M9
O15511	P59998
O14908	Q01995
P23229	Q9UQP3
