#tail	head	edge_flux
Q4VC05	Q01201	7.02753e-07
O15455	Q9Y3B3	7.02734e-07
A7KAX9	P62993	7.02726e-07
A7KAX9	P60953	7.02726e-07
P46939	Q9Y4J8	7.02716e-07
P46939	Q14118	7.02716e-07
P46939	Q13884	7.02716e-07
P46939	O60941	7.02716e-07
P46939	O95477	7.02716e-07
P63151	P62714	7.02470e-07
O14791	P01871	7.02466e-07
Q8WXG1	P42224	7.02461e-07
Q8WXG1	O75626	7.02461e-07
O75190	P05783	7.02375e-07
O75190	P11142	7.02375e-07
O75190	Q9HCU9	7.02375e-07
P16278	Q9NSA3	7.02208e-07
Q8N5R6	O75525	7.02075e-07
P02771	P42574	7.01883e-07
Q13950	P40763	7.01714e-07
Q13950	Q15796	7.01714e-07
Q13950	P10275	7.01714e-07
Q13950	P17931	7.01714e-07
Q13950	P84022	7.01714e-07
Q13950	Q13485	7.01714e-07
Q13950	Q8N6K7	7.01714e-07
O14901	P54253	7.01695e-07
Q13501	Q9HAU4	7.01561e-07
Q13501	Q969Q1	7.01561e-07
Q13501	Q96GM8	7.01561e-07
O75347	P18146	7.01541e-07
Q9NRX4	Q8WZA2	7.01539e-07
Q9NRX4	Q5T5P2	7.01539e-07
P62834	P61586	7.01510e-07
P62834	Q96FS4	7.01510e-07
P62834	P41134	7.01510e-07
O75448	O14788	7.01351e-07
O75448	Q9UK32	7.01351e-07
O75448	P49841	7.01351e-07
Q8TEQ6	P62318	7.01344e-07
Q8TEQ6	Q9UHI6	7.01344e-07
Q8TEQ6	Q99683	7.01344e-07
Q8TEQ6	P62304	7.01344e-07
Q8TEQ6	P62314	7.01344e-07
Q8TEQ6	P06730	7.01344e-07
Q8TEQ6	Q16637	7.01344e-07
Q8TEQ6	P14678	7.01344e-07
Q8TEQ6	P45985	7.01344e-07
Q8TEQ6	P57678	7.01344e-07
Q8TEQ6	P45983	7.01344e-07
P09496	P10242	7.01181e-07
Q9BXM7	Q12931	7.01148e-07
Q9BXM7	Q15388	7.01148e-07
Q9BXM7	Q14457	7.01148e-07
Q9BXM7	Q9GZQ8	7.01148e-07
Q9BXM7	O60260	7.01148e-07
P61981	P07101	7.01148e-07
O14625	Q6V1X1	7.01133e-07
P40306	P21246	7.01030e-07
P54252	Q9UMX0	7.00788e-07
P54252	Q9BSU1	7.00788e-07
P54252	P0CG48	7.00788e-07
P54252	P51665	7.00788e-07
P54252	P54727	7.00788e-07
P54252	P55072	7.00788e-07
P07355	Q9Y375	7.00761e-07
O94856	P55157	7.00574e-07
O94856	O95433	7.00574e-07
O94856	Q9H2G2	7.00574e-07
P20702	Q05397	7.00473e-07
P20702	P46109	7.00473e-07
P20702	P46108	7.00473e-07
P20702	P12931	7.00473e-07
P20702	P56945	7.00473e-07
Q9Y265	P63092	7.00443e-07
Q9Y265	Q9WJR5	7.00443e-07
Q9Y265	O60739	7.00443e-07
Q9Y265	P62330	7.00443e-07
Q9Y265	Q8NAP1	7.00443e-07
Q9Y265	P10275	7.00443e-07
Q9Y265	Q6ZRS2	7.00443e-07
Q9Y265	Q9NRQ2	7.00443e-07
Q9Y265	P30480	7.00443e-07
Q9Y265	Q13573	7.00443e-07
Q9Y265	P35398	7.00443e-07
Q9Y265	Q99459	7.00443e-07
P55289	P49716	7.00402e-07
P78357	P55157	7.00291e-07
P78357	Q9H2G2	7.00291e-07
P78357	O95433	7.00291e-07
Q13635	P14635	7.00279e-07
Q13635	Q99835	7.00279e-07
Q13635	P25098	7.00279e-07
Q92769	O60341	7.00262e-07
Q92769	Q9UKL0	7.00262e-07
Q92769	Q14164	7.00262e-07
Q92769	P06748	7.00262e-07
Q92769	P51532	7.00262e-07
Q92769	O76071	7.00262e-07
Q92769	Q8TAQ2	7.00262e-07
Q92769	Q969G3	7.00262e-07
Q99684	P54253	7.00129e-07
Q99684	Q13547	7.00129e-07
O75807	P05198	7.00008e-07
O75807	P36873	7.00008e-07
O75807	P36897	7.00008e-07
O75807	O15105	7.00008e-07
Q9HD67	O15496	6.99864e-07
P61981	P07359	6.99761e-07
P36575	P12931	6.99664e-07
P36575	O00203	6.99664e-07
Q9UIA9	P49790	6.99613e-07
Q9UIA9	P62826	6.99613e-07
Q9UIA9	Q96KG9	6.99613e-07
