#tail	head	edge_flux
Q9H0E2	O43187	2.13202e-04
Q9H0E2	Q96S55	2.13202e-04
Q9H0E2	Q96PU5	2.13202e-04
Q9H0E2	Q9NR28	2.13202e-04
Q9H0E2	Q03135	2.13202e-04
P42574	O60551	2.10702e-04
P42574	Q13043	2.06180e-04
P42574	P43146	2.06180e-04
P42574	Q13153	2.06180e-04
P42574	Q13233	2.06180e-04
P42574	Q13188	2.06180e-04
Q9H0E2	P58753	1.93724e-04
Q9H0E2	Q99836	1.93724e-04
Q13158	P48729	1.90422e-04
Q15750	Q9UKV8	1.89365e-04
Q15750	Q15014	1.89365e-04
Q15750	Q9UBU8	1.89365e-04
Q15750	Q9H9G7	1.89365e-04
Q15750	Q96CA5	1.89365e-04
Q15750	P36897	1.89365e-04
Q15750	O15105	1.89365e-04
Q15750	Q15326	1.89365e-04
Q15750	O43541	1.89365e-04
P51617	Q15750	1.85563e-04
P51617	Q9H0E2	1.85563e-04
P51617	Q13526	1.85563e-04
P51617	Q9Y6K9	1.85563e-04
P51617	Q96FA3	1.85563e-04
P51617	Q92985	1.85563e-04
P51617	Q8N2H9	1.85563e-04
P51617	Q9NYJ8	1.85563e-04
P51617	Q13501	1.85563e-04
P51617	Q9NWZ3	1.85563e-04
P51617	Q99836	1.85563e-04
P51617	Q9Y4K3	1.85563e-04
P51617	P08138	1.85563e-04
P51617	O14920	1.85563e-04
P51617	O43318	1.85563e-04
P51617	Q99558	1.85563e-04
P51617	Q06187	1.85563e-04
P51617	O43187	1.85563e-04
P51617	Q9HAT8	1.85563e-04
P51617	Q9Y616	1.85563e-04
Q13158	P19474	1.82256e-04
Q13158	P51398	1.82256e-04
Q13158	Q92844	1.82256e-04
Q13158	Q7Z434	1.82256e-04
Q13158	P51617	1.82256e-04
Q13158	P15311	1.82256e-04
P51617	P0CG48	1.79669e-04
P04150	Q9Y3R0	1.78769e-04
P04150	P10275	1.78769e-04
P04150	P07900	1.78769e-04
P04150	P31947	1.78769e-04
P04150	O75582	1.78769e-04
P04150	P06239	1.78769e-04
P04150	Q15654	1.78769e-04
P04150	P51692	1.78769e-04
Q99836	Q96FA3	1.77222e-04
Q99836	Q14653	1.77222e-04
Q99836	Q15654	1.77222e-04
Q99836	Q15306	1.77222e-04
Q99836	Q9UGK3	1.77222e-04
Q99836	P43405	1.77222e-04
Q99836	Q9Y608	1.77222e-04
Q99836	P41182	1.77222e-04
Q99836	P27986	1.77222e-04
Q99836	Q6IA17	1.77222e-04
Q99836	P18146	1.77222e-04
Q99836	P63000	1.77222e-04
P42574	P62258	1.76956e-04
P51617	Q8N5C8	1.75813e-04
P46734	Q14203	1.73584e-04
P46734	P26373	1.73584e-04
P04150	P04234	1.73091e-04
P04150	P01730	1.73091e-04
P42574	P25963	1.72624e-04
P42574	Q7L5N1	1.72624e-04
P42574	P45984	1.72624e-04
P42574	P45983	1.72624e-04
Q99836	P68363	1.72469e-04
Q99836	Q71U36	1.72469e-04
Q99836	P50991	1.72469e-04
Q99836	P50990	1.72469e-04
Q99836	P78371	1.72469e-04
Q99836	P26196	1.72469e-04
Q99836	P07900	1.72469e-04
Q99836	Q8WWM7	1.72469e-04
Q99836	Q99832	1.72469e-04
Q99836	P62258	1.72469e-04
Q99836	Q12874	1.72469e-04
Q99836	P17066	1.72469e-04
Q99836	P07437	1.72469e-04
Q99836	P11142	1.72469e-04
Q99836	P34931	1.72469e-04
Q9UL54	P52564	1.67560e-04
Q9UL54	P62993	1.67560e-04
Q9UL54	P46734	1.67560e-04
Q99836	Q9H0E2	1.61031e-04
Q9H0E2	Q8WYJ6	1.60962e-04
Q9H0E2	O43251	1.60962e-04
Q9H0E2	O14503	1.60962e-04
Q9H0E2	Q8TD26	1.60962e-04
Q9H0E2	Q15047	1.60962e-04
Q9H0E2	P47710	1.60962e-04
Q9H0E2	Q05516	1.60962e-04
Q9H0E2	O15119	1.60962e-04
Q9H0E2	Q9UKY1	1.60962e-04
Q9H0E2	Q86UW6	1.60962e-04
Q9H0E2	Q93062	1.60962e-04
Q9H0E2	Q6ZVM7	1.60962e-04
