#tail	head	edge_flux
Q15554	Q9BSI4	3.08486e-07
Q15554	Q8NEM0	3.08486e-07
Q15554	Q13472	3.08486e-07
Q15554	Q9NUX5	3.08486e-07
Q15554	Q8IY92	3.08486e-07
Q15554	Q9NYB0	3.08486e-07
O94761	Q06609	3.08479e-07
P25490	Q00987	3.08472e-07
P25490	Q13573	3.08472e-07
P0C0S5	Q15906	3.08449e-07
P0C0S5	O95619	3.08449e-07
P0C0S5	Q96RL1	3.08449e-07
P0C0S5	Q9Y230	3.08449e-07
P0C0S5	P62875	3.08449e-07
P0C0S5	O96019	3.08449e-07
P0C0S5	Q9NPF5	3.08449e-07
P0C0S5	Q08AD1	3.08449e-07
P0C0S5	Q9Y5B9	3.08449e-07
P0C0S5	Q9NQS7	3.08449e-07
P0C0S5	Q08945	3.08449e-07
P0C0S5	Q8IYW5	3.08449e-07
P0C0S5	Q9Y265	3.08449e-07
Q8N726	P62140	3.08440e-07
O75528	Q9H213	3.08420e-07
O75528	O00422	3.08420e-07
O75528	Q9BRR6	3.08420e-07
O75528	O75822	3.08420e-07
O75528	P12956	3.08420e-07
O75528	O75478	3.08420e-07
O75528	P22670	3.08420e-07
O75528	Q8WYH8	3.08420e-07
O75528	P11142	3.08420e-07
Q9Y6I7	Q9H2X6	3.08399e-07
P62899	Q15843	3.08393e-07
Q15113	P61769	3.08383e-07
Q52LR7	Q9Y230	3.08371e-07
Q13492	Q9NX02	3.08298e-07
P24723	Q9NYF0	3.08290e-07
P24723	Q9NRA0	3.08290e-07
P24723	Q16236	3.08290e-07
P24723	Q9GZQ8	3.08290e-07
P24723	P11234	3.08290e-07
P24723	Q9H492	3.08290e-07
P24723	Q8TAA9	3.08290e-07
P24723	Q8IWT0	3.08290e-07
P24723	P12931	3.08290e-07
P24723	Q96B18	3.08290e-07
P24723	Q9ULK5	3.08290e-07
P24723	P46527	3.08290e-07
P24723	P19883	3.08290e-07
P24723	P24941	3.08290e-07
P24723	P02545	3.08290e-07
P24723	P62993	3.08290e-07
P24723	Q9H0R8	3.08290e-07
P24723	Q5SW24	3.08290e-07
O00425	Q9UHX1	3.08289e-07
